['jhr01', 202546721, 'impression', '3', 240725152L, datetime.datetime(2013, 5, 20, 9, 56, 16), 0.216861653158764, False, 'best']
['jhr01', 202546721, 'impression', '7', 240686446L, datetime.datetime(2013, 5, 20, 9, 56, 16), 0.132025506984046, False, 'best']
['jhr01', 202546721, 'impression', '2', 240701095L, datetime.datetime(2013, 5, 20, 9, 56, 16), 0.306503588615072, False, 'best']
['jhr01', 202546721, 'impression', '10', 240779438L, datetime.datetime(2013, 5, 20, 9, 56, 16), 0.0309109714325931, False, 'best']
['jhr01', 202546721, 'impression', '9', 240759307L, datetime.datetime(2013, 5, 20, 9, 56, 16), 0.0753395729995861, False, 'best']
['jhr01', 202546721, 'impression', '8', 240745849L, datetime.datetime(2013, 5, 20, 9, 56, 16), 0.0777758670182356, False, 'best']
['jhr01', 202546721, 'impression', '5', 240815371L, datetime.datetime(2013, 5, 20, 9, 56, 16), 0.204082800749602, False, 'best']
['jhr01', 202546721, 'impression', '6', 240631184L, datetime.datetime(2013, 5, 20, 9, 56, 16), 0.193849452707461, False, 'best']
['jhr01', 202546721, 'impression', '4', 240643938L, datetime.datetime(2013, 5, 20, 9, 56, 16), 0.214064789800288, False, 'best']

