['kmohanta', 202555875, 'impression', '1', 240766426L, datetime.datetime(2013, 5, 21, 15, 35, 10), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'impression', '3', 240767241L, datetime.datetime(2013, 5, 21, 15, 35, 10), 0.165832000668002, False, 'best']
['kmohanta', 202555875, 'impression', '7', 240767339L, datetime.datetime(2013, 5, 21, 15, 35, 10), 0.0967197695479225, False, 'best']
['kmohanta', 202555875, 'impression', '9', 240774465L, datetime.datetime(2013, 5, 21, 15, 35, 10), 0.0722687363631596, False, 'best']
['kmohanta', 202555875, 'impression', '2', 240799993L, datetime.datetime(2013, 5, 21, 15, 35, 10), 0.316699132135283, False, 'best']
['kmohanta', 202555875, 'impression', '6', 240767827L, datetime.datetime(2013, 5, 21, 15, 35, 10), 0.101734351217285, False, 'best']
['kmohanta', 202555875, 'impression', '4', 240769608L, datetime.datetime(2013, 5, 21, 15, 35, 10), 0.163949961207343, False, 'best']
['kmohanta', 202555875, 'impression', '5', 240768561L, datetime.datetime(2013, 5, 21, 15, 35, 10), 0.124349052669826, False, 'best']
['kmohanta', 202555875, 'impression', '8', 240766545L, datetime.datetime(2013, 5, 21, 15, 35, 10), 0.0879931711015565, False, 'best']
['kmohanta', 202555875, 'shortlist', '3', 240767241L, datetime.datetime(2013, 5, 21, 15, 35, 36), 0.165832000668002, False, 'best']
['kmohanta', 202555875, 'hide', '6', 240767827L, datetime.datetime(2013, 5, 21, 15, 35, 49), 0.101734351217285, False, 'best']
['kmohanta', 202555875, 'impression', '5', 240767339L, datetime.datetime(2013, 5, 21, 15, 36, 16), 0.0967197695479225, False, 'time']
['kmohanta', 202555875, 'impression', '7', 240766545L, datetime.datetime(2013, 5, 21, 15, 36, 16), 0.0879931711015565, False, 'time']
['kmohanta', 202555875, 'impression', '4', 240768561L, datetime.datetime(2013, 5, 21, 15, 36, 16), 0.124349052669826, False, 'time']
['kmohanta', 202555875, 'impression', '8', 240766426L, datetime.datetime(2013, 5, 21, 15, 36, 16), 0.565726285583084, False, 'time']
['kmohanta', 202555875, 'impression', '6', 240767241L, datetime.datetime(2013, 5, 21, 15, 36, 16), 0.165832000668002, False, 'time']
['kmohanta', 202555875, 'impression', '1', 240799993L, datetime.datetime(2013, 5, 21, 15, 36, 16), 0.316699132135283, False, 'time']
