['anouska-early', 202581785, 'impression', '19', 241299662L, datetime.datetime(2013, 5, 27, 11, 11, 5), 0.0821110551032103, False, 'best']
['anouska-early', 202581785, 'impression', '18', 241300549L, datetime.datetime(2013, 5, 27, 11, 11, 5), 0.0851063807900816, False, 'best']
['anouska-early', 202581785, 'impression', '12', 241328023L, datetime.datetime(2013, 5, 27, 11, 11, 5), 0.188900058401841, False, 'best']
['anouska-early', 202581785, 'impression', '1', 241314133L, datetime.datetime(2013, 5, 27, 11, 11, 5), 0.600076216532986, False, 'best']
['anouska-early', 202581785, 'impression', '15', 241341104L, datetime.datetime(2013, 5, 27, 11, 11, 5), 0.130903076673504, False, 'best']
['anouska-early', 202581785, 'impression', '11', 241370753L, datetime.datetime(2013, 5, 27, 11, 11, 5), 0.19868602100327, False, 'best']
['anouska-early', 202581785, 'view_full_application_via_name', '12', 241328023L, datetime.datetime(2013, 5, 27, 11, 11, 20), 0.188900058401841, False, 'best']
['anouska-early', 202581785, 'impression', '20', 241302861L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.0755498407105204, False, 'best']
['anouska-early', 202581785, 'impression', '16', 241370714L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.125128251772482, False, 'best']
['anouska-early', 202581785, 'impression', '4', 241335855L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.385619813229208, False, 'best']
['anouska-early', 202581785, 'impression', '14', 241384891L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.144408584226392, False, 'best']
['anouska-early', 202581785, 'impression', '2', 241353576L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.451530277724405, False, 'best']
['anouska-early', 202581785, 'impression', '19', 241299662L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.0821110551032103, False, 'best']
['anouska-early', 202581785, 'impression', '6', 241328096L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.2507945876019, False, 'best']
['anouska-early', 202581785, 'impression', '13', 241299319L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.157595027144339, True, 'best']
