['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 23, 3, 30, 46), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '5', 240973309L, datetime.datetime(2013, 5, 23, 3, 36, 13), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982654L, datetime.datetime(2013, 5, 23, 3, 36, 13), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 23, 3, 36, 13), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '3', 240982759L, datetime.datetime(2013, 5, 23, 3, 36, 13), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'impression', '4', 240994637L, datetime.datetime(2013, 5, 23, 3, 36, 13), 0.0567930060881193, False, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 23, 3, 43, 42), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '4', 240994637L, datetime.datetime(2013, 5, 23, 3, 43, 42), 0.0567930060881193, False, 'best']
['sbtb', 202565454, 'impression', '3', 240982759L, datetime.datetime(2013, 5, 23, 3, 43, 42), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'impression', '5', 240973309L, datetime.datetime(2013, 5, 23, 3, 43, 42), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982654L, datetime.datetime(2013, 5, 23, 3, 43, 42), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'view_full_application_via_name', '2', 240982654L, datetime.datetime(2013, 5, 23, 3, 43, 48), 0.322102609995077, False, 'best']

['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 23, 5, 6, 21), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '4', 240994637L, datetime.datetime(2013, 5, 23, 5, 6, 21), 0.0567930060881193, False, 'best']
['sbtb', 202565454, 'impression', '3', 240982759L, datetime.datetime(2013, 5, 23, 5, 6, 21), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'impression', '5', 240973309L, datetime.datetime(2013, 5, 23, 5, 6, 21), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982654L, datetime.datetime(2013, 5, 23, 5, 6, 21), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982654L, datetime.datetime(2013, 5, 23, 5, 6, 22), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'view_full_application_via_name', '4', 240994637L, datetime.datetime(2013, 5, 23, 5, 6, 38), 0.0567930060881193, False, 'best']
['sbtb', 202565454, 'view_full_application_via_name', '4', 240994637L, datetime.datetime(2013, 5, 23, 5, 6, 39), 0.0567930060881193, False, 'best']
['sbtb', 202565454, 'impression', '3', 240982759L, datetime.datetime(2013, 5, 23, 5, 9, 36), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'impression', '4', 240973309L, datetime.datetime(2013, 5, 23, 5, 9, 36), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 23, 5, 9, 36), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982654L, datetime.datetime(2013, 5, 23, 5, 9, 36), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'view_full_application_via_name', '4', 240973309L, datetime.datetime(2013, 5, 23, 5, 9, 50), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982654L, datetime.datetime(2013, 5, 23, 5, 10, 14), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'impression', '3', 240982759L, datetime.datetime(2013, 5, 23, 5, 10, 14), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 23, 5, 10, 14), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '4', 240973309L, datetime.datetime(2013, 5, 23, 5, 10, 14), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'view_full_application_via_name', '3', 240982759L, datetime.datetime(2013, 5, 23, 5, 10, 15), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'impression', '4', 240994637L, datetime.datetime(2013, 5, 23, 5, 21, 19), 0.0567930060881193, False, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 23, 5, 21, 19), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982654L, datetime.datetime(2013, 5, 23, 5, 21, 19), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'impression', '5', 240973309L, datetime.datetime(2013, 5, 23, 5, 21, 19), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '3', 240982759L, datetime.datetime(2013, 5, 23, 5, 21, 19), 0.215266485774516, True, 'best']

