['beautigalleria', 202587869, 'impression', '4', 241437791L, datetime.datetime(2013, 5, 28, 0, 27, 2), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241438084L, datetime.datetime(2013, 5, 28, 0, 27, 2), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241438791L, datetime.datetime(2013, 5, 28, 0, 27, 4), 0.258409814568578, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241438791L, datetime.datetime(2013, 5, 28, 0, 27, 6), 0.258409814568578, False, 'time']
['beautigalleria', 202587869, 'impression', '2', 241438295L, datetime.datetime(2013, 5, 28, 0, 27, 7), 0.602104906577791, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '2', 241438295L, datetime.datetime(2013, 5, 28, 0, 27, 11), 0.602104906577791, False, 'time']
['beautigalleria', 202587869, 'view_full_application', '2', 241438295L, datetime.datetime(2013, 5, 28, 0, 27, 13), 0.602104906577791, False, 'time']
['beautigalleria', 202587869, 'impression', '2', 241438084L, datetime.datetime(2013, 5, 28, 0, 28, 34), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241437791L, datetime.datetime(2013, 5, 28, 0, 28, 34), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241438295L, datetime.datetime(2013, 5, 28, 0, 28, 34), 0.602104906577791, False, 'time']
['beautigalleria', 202587869, 'impression', '5', 241437649L, datetime.datetime(2013, 5, 28, 0, 28, 34), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241437788L, datetime.datetime(2013, 5, 28, 0, 28, 34), 0.438962003866315, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '4', 241437788L, datetime.datetime(2013, 5, 28, 0, 28, 56), 0.438962003866315, False, 'time']
['beautigalleria', 202587869, 'view_full_application', '4', 241437788L, datetime.datetime(2013, 5, 28, 0, 29, 3), 0.438962003866315, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241437791L, datetime.datetime(2013, 5, 28, 0, 29, 56), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'impression', '2', 241438084L, datetime.datetime(2013, 5, 28, 0, 29, 56), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241438295L, datetime.datetime(2013, 5, 28, 0, 29, 56), 0.602104906577791, False, 'time']
['beautigalleria', 202587869, 'impression', '5', 241437649L, datetime.datetime(2013, 5, 28, 0, 29, 56), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241437788L, datetime.datetime(2013, 5, 28, 0, 29, 56), 0.438962003866315, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241437788L, datetime.datetime(2013, 5, 28, 0, 29, 58), 0.438962003866315, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '5', 241437649L, datetime.datetime(2013, 5, 28, 0, 30, 3), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'view_full_application', '5', 241437649L, datetime.datetime(2013, 5, 28, 0, 30, 8), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'impression', '5', 241437649L, datetime.datetime(2013, 5, 28, 0, 32, 46), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241437791L, datetime.datetime(2013, 5, 28, 0, 32, 46), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241438084L, datetime.datetime(2013, 5, 28, 0, 32, 46), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'impression', '2', 241438295L, datetime.datetime(2013, 5, 28, 0, 32, 46), 0.602104906577791, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241439002L, datetime.datetime(2013, 5, 28, 0, 32, 46), 0.304738853154457, False, 'time']

['beautigalleria', 202587869, 'impression', '7', 241439633L, datetime.datetime(2013, 5, 28, 3, 32, 52), 0.558049981696718, False, 'time']
['beautigalleria', 202587869, 'impression', '13', 241437649L, datetime.datetime(2013, 5, 28, 3, 32, 52), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241445936L, datetime.datetime(2013, 5, 28, 3, 32, 52), 0.238068813794573, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241444834L, datetime.datetime(2013, 5, 28, 3, 32, 52), 0.225287982108192, False, 'time']
['beautigalleria', 202587869, 'impression', '5', 241442991L, datetime.datetime(2013, 5, 28, 3, 32, 52), 0.276716973977264, False, 'time']
['beautigalleria', 202587869, 'impression', '9', 241439002L, datetime.datetime(2013, 5, 28, 3, 32, 52), 0.304738853154457, False, 'time']
['beautigalleria', 202587869, 'impression', '10', 241438295L, datetime.datetime(2013, 5, 28, 3, 32, 52), 0.602104906577791, False, 'time']
['beautigalleria', 202587869, 'impression', '11', 241438084L, datetime.datetime(2013, 5, 28, 3, 32, 52), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'impression', '12', 241437791L, datetime.datetime(2013, 5, 28, 3, 32, 52), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241447796L, datetime.datetime(2013, 5, 28, 3, 32, 52), 0.292426750606594, False, 'time']
['beautigalleria', 202587869, 'impression', '2', 241447173L, datetime.datetime(2013, 5, 28, 3, 32, 52), 0.497008652252639, False, 'time']
['beautigalleria', 202587869, 'impression', '8', 241439424L, datetime.datetime(2013, 5, 28, 3, 32, 52), 0.425536103826855, False, 'time']
['beautigalleria', 202587869, 'impression', '6', 241442930L, datetime.datetime(2013, 5, 28, 3, 32, 52), 0.240041484649584, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '2', 241447173L, datetime.datetime(2013, 5, 28, 3, 33, 9), 0.497008652252639, False, 'time']
['beautigalleria', 202587869, 'view_full_application', '2', 241447173L, datetime.datetime(2013, 5, 28, 3, 33, 32), 0.497008652252639, False, 'time']
['beautigalleria', 202587869, 'impression', '5', 241442991L, datetime.datetime(2013, 5, 28, 3, 36, 4), 0.276716973977264, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241444834L, datetime.datetime(2013, 5, 28, 3, 36, 4), 0.225287982108192, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241445936L, datetime.datetime(2013, 5, 28, 3, 36, 4), 0.238068813794573, False, 'time']
['beautigalleria', 202587869, 'impression', '7', 241439633L, datetime.datetime(2013, 5, 28, 3, 36, 4), 0.558049981696718, False, 'time']
['beautigalleria', 202587869, 'impression', '13', 241437649L, datetime.datetime(2013, 5, 28, 3, 36, 4), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241445936L, datetime.datetime(2013, 5, 28, 3, 36, 4), 0.238068813794573, False, 'time']
['beautigalleria', 202587869, 'impression', '6', 241442930L, datetime.datetime(2013, 5, 28, 3, 36, 4), 0.240041484649584, False, 'time']
['beautigalleria', 202587869, 'impression', '2', 241447173L, datetime.datetime(2013, 5, 28, 3, 36, 4), 0.497008652252639, False, 'time']
['beautigalleria', 202587869, 'impression', '8', 241439424L, datetime.datetime(2013, 5, 28, 3, 36, 4), 0.425536103826855, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241447796L, datetime.datetime(2013, 5, 28, 3, 36, 4), 0.292426750606594, False, 'time']
['beautigalleria', 202587869, 'impression', '12', 241437791L, datetime.datetime(2013, 5, 28, 3, 36, 4), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'impression', '11', 241438084L, datetime.datetime(2013, 5, 28, 3, 36, 4), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'impression', '9', 241439002L, datetime.datetime(2013, 5, 28, 3, 36, 4), 0.304738853154457, False, 'time']
['beautigalleria', 202587869, 'impression', '10', 241438295L, datetime.datetime(2013, 5, 28, 3, 36, 4), 0.602104906577791, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '3', 241445936L, datetime.datetime(2013, 5, 28, 3, 36, 18), 0.238068813794573, False, 'time']
['beautigalleria', 202587869, 'view_full_application', '3', 241445936L, datetime.datetime(2013, 5, 28, 3, 36, 25), 0.238068813794573, False, 'time']
['beautigalleria', 202587869, 'impression', '8', 241439424L, datetime.datetime(2013, 5, 28, 3, 38, 48), 0.425536103826855, False, 'time']
['beautigalleria', 202587869, 'impression', '6', 241442930L, datetime.datetime(2013, 5, 28, 3, 38, 48), 0.240041484649584, False, 'time']
['beautigalleria', 202587869, 'impression', '2', 241447173L, datetime.datetime(2013, 5, 28, 3, 38, 48), 0.497008652252639, False, 'time']
['beautigalleria', 202587869, 'impression', '10', 241438295L, datetime.datetime(2013, 5, 28, 3, 38, 48), 0.602104906577791, False, 'time']
['beautigalleria', 202587869, 'impression', '9', 241439002L, datetime.datetime(2013, 5, 28, 3, 38, 48), 0.304738853154457, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241444834L, datetime.datetime(2013, 5, 28, 3, 38, 48), 0.225287982108192, False, 'time']
['beautigalleria', 202587869, 'impression', '5', 241442991L, datetime.datetime(2013, 5, 28, 3, 38, 48), 0.276716973977264, False, 'time']
['beautigalleria', 202587869, 'impression', '12', 241437791L, datetime.datetime(2013, 5, 28, 3, 38, 48), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'impression', '11', 241438084L, datetime.datetime(2013, 5, 28, 3, 38, 48), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'impression', '7', 241439633L, datetime.datetime(2013, 5, 28, 3, 38, 48), 0.558049981696718, False, 'time']
['beautigalleria', 202587869, 'impression', '13', 241437649L, datetime.datetime(2013, 5, 28, 3, 38, 48), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241445936L, datetime.datetime(2013, 5, 28, 3, 38, 48), 0.238068813794573, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241447796L, datetime.datetime(2013, 5, 28, 3, 38, 48), 0.292426750606594, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241447796L, datetime.datetime(2013, 5, 28, 3, 39, 4), 0.292426750606594, False, 'time']
['beautigalleria', 202587869, 'impression', '2', 241447173L, datetime.datetime(2013, 5, 28, 3, 39, 7), 0.497008652252639, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '4', 241444834L, datetime.datetime(2013, 5, 28, 3, 39, 11), 0.225287982108192, False, 'time']
['beautigalleria', 202587869, 'view_full_application', '4', 241444834L, datetime.datetime(2013, 5, 28, 3, 39, 39), 0.225287982108192, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241444834L, datetime.datetime(2013, 5, 28, 3, 47, 18), 0.225287982108192, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241442991L, datetime.datetime(2013, 5, 28, 3, 47, 18), 0.276716973977264, False, 'time']
['beautigalleria', 202587869, 'impression', '8', 241439002L, datetime.datetime(2013, 5, 28, 3, 47, 18), 0.304738853154457, False, 'time']
['beautigalleria', 202587869, 'impression', '9', 241438295L, datetime.datetime(2013, 5, 28, 3, 47, 18), 0.602104906577791, False, 'time']
['beautigalleria', 202587869, 'impression', '5', 241442930L, datetime.datetime(2013, 5, 28, 3, 47, 18), 0.240041484649584, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241447173L, datetime.datetime(2013, 5, 28, 3, 47, 18), 0.497008652252639, False, 'time']
['beautigalleria', 202587869, 'impression', '7', 241439424L, datetime.datetime(2013, 5, 28, 3, 47, 18), 0.425536103826855, False, 'time']
['beautigalleria', 202587869, 'impression', '11', 241437791L, datetime.datetime(2013, 5, 28, 3, 47, 18), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'impression', '10', 241438084L, datetime.datetime(2013, 5, 28, 3, 47, 18), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'impression', '12', 241437649L, datetime.datetime(2013, 5, 28, 3, 47, 18), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'impression', '6', 241439633L, datetime.datetime(2013, 5, 28, 3, 47, 18), 0.558049981696718, False, 'time']
['beautigalleria', 202587869, 'impression', '2', 241445936L, datetime.datetime(2013, 5, 28, 3, 47, 18), 0.238068813794573, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '3', 241444834L, datetime.datetime(2013, 5, 28, 3, 47, 28), 0.225287982108192, False, 'time']
['beautigalleria', 202587869, 'shortlist', '3', 241444834L, datetime.datetime(2013, 5, 28, 3, 47, 35), 0.225287982108192, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '3', 241444834L, datetime.datetime(2013, 5, 28, 3, 47, 35), 0.225287982108192, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241444834L, datetime.datetime(2013, 5, 28, 3, 47, 43), 0.225287982108192, False, 'time']
['beautigalleria', 202587869, 'impression', None, 241444834L, datetime.datetime(2013, 5, 28, 3, 47, 43), 0.225287982108192, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '4', 241442991L, datetime.datetime(2013, 5, 28, 3, 47, 50), 0.276716973977264, False, 'time']
['beautigalleria', 202587869, 'view_full_application', '4', 241442991L, datetime.datetime(2013, 5, 28, 3, 47, 57), 0.276716973977264, False, 'time']
['beautigalleria', 202587869, 'impression', '2', 241445936L, datetime.datetime(2013, 5, 28, 3, 48, 28), 0.238068813794573, False, 'time']
['beautigalleria', 202587869, 'impression', '6', 241439633L, datetime.datetime(2013, 5, 28, 3, 48, 28), 0.558049981696718, False, 'time']
['beautigalleria', 202587869, 'impression', '12', 241437649L, datetime.datetime(2013, 5, 28, 3, 48, 28), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'impression', '11', 241437791L, datetime.datetime(2013, 5, 28, 3, 48, 28), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'impression', '10', 241438084L, datetime.datetime(2013, 5, 28, 3, 48, 28), 0.308301404783085, False, 'time']
