['theuniz', 202594102, 'impression', '6', 241575517L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.0981522181120228, False, 'time']
['theuniz', 202594102, 'impression', '12', 241574300L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.147885378888037, False, 'time']
['theuniz', 202594102, 'impression', '7', 241574967L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.0731710599512676, False, 'time']
['theuniz', 202594102, 'impression', '9', 241574850L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.209269990897877, False, 'time']
['theuniz', 202594102, 'impression', '15', 241573763L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.133582034861025, False, 'time']
['theuniz', 202594102, 'impression', '20', 241573440L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.281326262404671, False, 'time']
['theuniz', 202594102, 'impression', '3', 241575704L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.0860570954470148, False, 'time']
['theuniz', 202594102, 'impression', '14', 241573945L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.296679902307842, False, 'time']
['theuniz', 202594102, 'shortlist', '10', 241574787L, datetime.datetime(2013, 5, 29, 11, 51, 53), 0.211026407876195, True, 'time']
['theuniz', 202594102, 'view_full_application_via_name', '10', 241574787L, datetime.datetime(2013, 5, 29, 11, 51, 55), 0.211026407876195, True, 'time']

