['shelovesboutique', 202592981, 'send_message', '10', 241547799L, datetime.datetime(2013, 5, 29, 5, 21, 7), 0.0134264483463458, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '10', 241547799L, datetime.datetime(2013, 5, 29, 5, 21, 30), 0.0134264483463458, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '9', 241547881L, datetime.datetime(2013, 5, 29, 5, 21, 31), 0.0249428693299934, False, 'time']
['shelovesboutique', 202592981, 'send_message', '9', 241547881L, datetime.datetime(2013, 5, 29, 5, 21, 33), 0.0249428693299934, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '9', 241547881L, datetime.datetime(2013, 5, 29, 5, 21, 51), 0.0249428693299934, False, 'time']

['shelovesboutique', 202592981, 'impression', '17', 241548525L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.012590291051657, False, 'time']
['shelovesboutique', 202592981, 'impression', '9', 241551027L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0168591454846621, False, 'time']
['shelovesboutique', 202592981, 'impression', '12', 241550510L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0301723883509936, False, 'time']
['shelovesboutique', 202592981, 'impression', '13', 241550154L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0152977231268664, False, 'time']
['shelovesboutique', 202592981, 'impression', '11', 241550772L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0152530764679001, False, 'time']
['shelovesboutique', 202592981, 'impression', '10', 241550897L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0344491114055078, False, 'time']
['shelovesboutique', 202592981, 'impression', '8', 241551057L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0383133764399634, False, 'time']
['shelovesboutique', 202592981, 'impression', '3', 241552503L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0241830918413676, False, 'time']
['shelovesboutique', 202592981, 'impression', '4', 241551824L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.078652763285133, True, 'time']
['shelovesboutique', 202592981, 'impression', '14', 241549680L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0276355376781339, False, 'time']
['shelovesboutique', 202592981, 'impression', '19', 241548351L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0143070152060257, False, 'time']
['shelovesboutique', 202592981, 'impression', '2', 241552522L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0295137657088294, False, 'time']
['shelovesboutique', 202592981, 'impression', '7', 241551096L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0293728944460683, False, 'time']
['shelovesboutique', 202592981, 'impression', '6', 241551478L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0229366980562947, False, 'time']
['shelovesboutique', 202592981, 'impression', '5', 241551796L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.032040905264777, False, 'time']
['shelovesboutique', 202592981, 'impression', '16', 241548938L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0395362337179647, False, 'time']
['shelovesboutique', 202592981, 'impression', '18', 241548520L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.026924057629982, False, 'time']
['shelovesboutique', 202592981, 'impression', '20', 241548137L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0248420756598889, False, 'time']
['shelovesboutique', 202592981, 'impression', '1', 241552552L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0101923843471813, False, 'time']
['shelovesboutique', 202592981, 'impression', '15', 241549372L, datetime.datetime(2013, 5, 29, 6, 3, 29), 0.0621333191104064, False, 'time']
['shelovesboutique', 202592981, 'impression', '20', 241548137L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0248420756598889, False, 'time']
['shelovesboutique', 202592981, 'impression', '1', 241552552L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0101923843471813, False, 'time']
['shelovesboutique', 202592981, 'impression', '16', 241548938L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0395362337179647, False, 'time']
['shelovesboutique', 202592981, 'impression', '15', 241549372L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0621333191104064, False, 'time']
['shelovesboutique', 202592981, 'impression', '18', 241548520L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.026924057629982, False, 'time']
['shelovesboutique', 202592981, 'impression', '5', 241551796L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.032040905264777, False, 'time']
['shelovesboutique', 202592981, 'impression', '12', 241550510L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0301723883509936, False, 'time']
['shelovesboutique', 202592981, 'impression', '4', 241551824L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.078652763285133, True, 'time']
['shelovesboutique', 202592981, 'impression', '10', 241550897L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0344491114055078, False, 'time']
['shelovesboutique', 202592981, 'impression', '19', 241548351L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0143070152060257, False, 'time']
['shelovesboutique', 202592981, 'impression', '14', 241549680L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0276355376781339, False, 'time']
['shelovesboutique', 202592981, 'impression', '8', 241551057L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0383133764399634, False, 'time']
['shelovesboutique', 202592981, 'impression', '11', 241550772L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0152530764679001, False, 'time']
['shelovesboutique', 202592981, 'impression', '3', 241552503L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0241830918413676, False, 'time']
['shelovesboutique', 202592981, 'impression', '13', 241550154L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0152977231268664, False, 'time']
['shelovesboutique', 202592981, 'impression', '17', 241548525L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.012590291051657, False, 'time']
['shelovesboutique', 202592981, 'impression', '9', 241551027L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0168591454846621, False, 'time']
['shelovesboutique', 202592981, 'impression', '7', 241551096L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0293728944460683, False, 'time']
['shelovesboutique', 202592981, 'impression', '6', 241551478L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0229366980562947, False, 'time']
['shelovesboutique', 202592981, 'impression', '2', 241552522L, datetime.datetime(2013, 5, 29, 6, 5, 47), 0.0295137657088294, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '1', 241552552L, datetime.datetime(2013, 5, 29, 6, 5, 48), 0.0101923843471813, False, 'time']
['shelovesboutique', 202592981, 'send_message', '1', 241552552L, datetime.datetime(2013, 5, 29, 6, 5, 50), 0.0101923843471813, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '1', 241552552L, datetime.datetime(2013, 5, 29, 6, 6, 15), 0.0101923843471813, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '2', 241552522L, datetime.datetime(2013, 5, 29, 6, 6, 16), 0.0295137657088294, False, 'time']
['shelovesboutique', 202592981, 'send_message', '2', 241552522L, datetime.datetime(2013, 5, 29, 6, 6, 18), 0.0295137657088294, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '2', 241552522L, datetime.datetime(2013, 5, 29, 6, 6, 31), 0.0295137657088294, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '3', 241552503L, datetime.datetime(2013, 5, 29, 6, 6, 35), 0.0241830918413676, False, 'time']
['shelovesboutique', 202592981, 'send_message', '3', 241552503L, datetime.datetime(2013, 5, 29, 6, 6, 36), 0.0241830918413676, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '3', 241552503L, datetime.datetime(2013, 5, 29, 6, 6, 44), 0.0241830918413676, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '4', 241551824L, datetime.datetime(2013, 5, 29, 6, 6, 46), 0.078652763285133, True, 'time']
['shelovesboutique', 202592981, 'send_message', '4', 241551824L, datetime.datetime(2013, 5, 29, 6, 6, 48), 0.078652763285133, True, 'time']
['shelovesboutique', 202592981, 'expand_tile', '4', 241551824L, datetime.datetime(2013, 5, 29, 6, 6, 59), 0.078652763285133, True, 'time']
['shelovesboutique', 202592981, 'expand_tile', '5', 241551796L, datetime.datetime(2013, 5, 29, 6, 7, 1), 0.032040905264777, False, 'time']
['shelovesboutique', 202592981, 'send_message', '5', 241551796L, datetime.datetime(2013, 5, 29, 6, 7, 3), 0.032040905264777, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '5', 241551796L, datetime.datetime(2013, 5, 29, 6, 7, 25), 0.032040905264777, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '6', 241551478L, datetime.datetime(2013, 5, 29, 6, 7, 27), 0.0229366980562947, False, 'time']
['shelovesboutique', 202592981, 'send_message', '6', 241551478L, datetime.datetime(2013, 5, 29, 6, 7, 28), 0.0229366980562947, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '6', 241551478L, datetime.datetime(2013, 5, 29, 6, 11, 37), 0.0229366980562947, False, 'time']

['shelovesboutique', 202592981, 'impression', '18', 241548525L, datetime.datetime(2013, 5, 29, 7, 6, 49), 0.012590291051657, False, 'time']
['shelovesboutique', 202592981, 'impression', '10', 241551027L, datetime.datetime(2013, 5, 29, 7, 6, 49), 0.0168591454846621, False, 'time']
['shelovesboutique', 202592981, 'impression', '7', 241551478L, datetime.datetime(2013, 5, 29, 7, 6, 49), 0.0229366980562947, False, 'time']
['shelovesboutique', 202592981, 'impression', '3', 241552522L, datetime.datetime(2013, 5, 29, 7, 6, 49), 0.0295137657088294, False, 'time']
