['jamesbeau', 202560645, 'impression', '9', 240867923L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.0758351364915558, False, 'best']
['jamesbeau', 202560645, 'impression', '17', 240866867L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.0577368498331944, False, 'best']
['jamesbeau', 202560645, 'impression', '10', 240868901L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.0745380826359322, True, 'best']
['jamesbeau', 202560645, 'impression', '8', 240867796L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.0795150835304591, False, 'best']
['jamesbeau', 202560645, 'impression', '16', 240867106L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.0583194081278342, False, 'best']
['jamesbeau', 202560645, 'impression', '5', 240867813L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.0896768382699566, False, 'best']
['jamesbeau', 202560645, 'impression', '13', 240867621L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.0713359458771133, False, 'best']
['jamesbeau', 202560645, 'impression', '20', 240870048L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.048111757513559, False, 'best']
['jamesbeau', 202560645, 'impression', '11', 240907298L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.0738233571904723, False, 'best']
['jamesbeau', 202560645, 'impression', '4', 240867809L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'impression', '15', 240867459L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.061920793029268, False, 'best']
['jamesbeau', 202560645, 'impression', '12', 240875025L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.0713702289827385, False, 'best']
['jamesbeau', 202560645, 'impression', '1', 240869608L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.139640153659762, False, 'best']
['jamesbeau', 202560645, 'impression', '14', 240867962L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.0711246168908146, False, 'best']
['jamesbeau', 202560645, 'impression', '18', 240871480L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.0517153160111561, False, 'best']
['jamesbeau', 202560645, 'impression', '6', 240868349L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.0829921698820791, False, 'best']
['jamesbeau', 202560645, 'impression', '2', 240867297L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.134066205892769, False, 'best']

['jamesbeau', 202560645, 'impression', '13', 240867621L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.0713359458771133, False, 'best']
['jamesbeau', 202560645, 'impression', '20', 240870048L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.048111757513559, False, 'best']
['jamesbeau', 202560645, 'impression', '5', 240867813L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.0896768382699566, False, 'best']
['jamesbeau', 202560645, 'impression', '9', 240867923L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.0758351364915558, False, 'best']
['jamesbeau', 202560645, 'impression', '3', 240869196L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.111425942595132, True, 'best']
['jamesbeau', 202560645, 'impression', '19', 240867124L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.0496137981932153, False, 'best']
['jamesbeau', 202560645, 'impression', '7', 240867859L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.082567982727739, False, 'best']
['jamesbeau', 202560645, 'impression', '11', 240907298L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.0738233571904723, False, 'best']
['jamesbeau', 202560645, 'impression', '4', 240867809L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'impression', '2', 240867297L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.134066205892769, False, 'best']
['jamesbeau', 202560645, 'impression', '1', 240869608L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.139640153659762, False, 'best']
['jamesbeau', 202560645, 'impression', '18', 240871480L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.0517153160111561, False, 'best']
['jamesbeau', 202560645, 'impression', '14', 240867962L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.0711246168908146, False, 'best']
['jamesbeau', 202560645, 'impression', '6', 240868349L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.0829921698820791, False, 'best']
['jamesbeau', 202560645, 'impression', '12', 240875025L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.0713702289827385, False, 'best']
['jamesbeau', 202560645, 'impression', '15', 240867459L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.061920793029268, False, 'best']
['jamesbeau', 202560645, 'impression', '10', 240868901L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.0745380826359322, True, 'best']
['jamesbeau', 202560645, 'impression', '16', 240867106L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.0583194081278342, False, 'best']
['jamesbeau', 202560645, 'impression', '8', 240867796L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.0795150835304591, False, 'best']
['jamesbeau', 202560645, 'impression', '17', 240866867L, datetime.datetime(2013, 5, 22, 4, 28, 23), 0.0577368498331944, False, 'best']
['jamesbeau', 202560645, 'impression', '19', 240867809L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0999596588979136, False, 'time']
['jamesbeau', 202560645, 'impression', '3', 240907298L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0738233571904723, False, 'time']
['jamesbeau', 202560645, 'impression', '1', 240948835L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0404282641680318, False, 'time']
['jamesbeau', 202560645, 'impression', '6', 240875025L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0713702289827385, False, 'time']
['jamesbeau', 202560645, 'impression', '8', 240870048L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.048111757513559, False, 'time']
['jamesbeau', 202560645, 'impression', '18', 240867813L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0896768382699566, False, 'time']
['jamesbeau', 202560645, 'impression', '5', 240884660L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0318359767442939, False, 'time']
['jamesbeau', 202560645, 'impression', '20', 240867796L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0795150835304591, False, 'time']
['jamesbeau', 202560645, 'impression', '14', 240867937L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0440747127611615, False, 'time']
['jamesbeau', 202560645, 'impression', '11', 240868901L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0745380826359322, True, 'time']
['jamesbeau', 202560645, 'impression', '15', 240867923L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0758351364915558, False, 'time']
['jamesbeau', 202560645, 'impression', '10', 240869196L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.111425942595132, True, 'time']
['jamesbeau', 202560645, 'impression', '16', 240867891L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0304455507146457, False, 'time']
['jamesbeau', 202560645, 'impression', '17', 240867859L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.082567982727739, False, 'time']
['jamesbeau', 202560645, 'impression', '13', 240867962L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0711246168908146, False, 'time']
['jamesbeau', 202560645, 'impression', '9', 240869608L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.139640153659762, False, 'time']
['jamesbeau', 202560645, 'impression', '12', 240868349L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0829921698820791, False, 'time']
['jamesbeau', 202560645, 'impression', '2', 240909671L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0448096148669003, False, 'time']
['jamesbeau', 202560645, 'impression', '7', 240871480L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0517153160111561, False, 'time']
['jamesbeau', 202560645, 'impression', '4', 240904005L, datetime.datetime(2013, 5, 22, 4, 28, 35), 0.0324923598855259, False, 'time']

['jamesbeau', 202560645, 'impression', '5', 240884660L, datetime.datetime(2013, 5, 22, 5, 0, 58), 0.0318359767442939, False, 'time']
['jamesbeau', 202560645, 'impression', '18', 240867813L, datetime.datetime(2013, 5, 22, 5, 0, 58), 0.0896768382699566, False, 'time']
['jamesbeau', 202560645, 'impression', '8', 240870048L, datetime.datetime(2013, 5, 22, 5, 0, 58), 0.048111757513559, False, 'time']
['jamesbeau', 202560645, 'impression', '4', 240904005L, datetime.datetime(2013, 5, 22, 5, 0, 58), 0.0324923598855259, False, 'time']
['jamesbeau', 202560645, 'impression', '7', 240871480L, datetime.datetime(2013, 5, 22, 5, 0, 58), 0.0517153160111561, False, 'time']
['jamesbeau', 202560645, 'impression', '13', 240867962L, datetime.datetime(2013, 5, 22, 5, 0, 58), 0.0711246168908146, False, 'time']
['jamesbeau', 202560645, 'impression', '2', 240909671L, datetime.datetime(2013, 5, 22, 5, 0, 58), 0.0448096148669003, False, 'time']
['jamesbeau', 202560645, 'impression', '9', 240869608L, datetime.datetime(2013, 5, 22, 5, 0, 58), 0.139640153659762, False, 'time']
