['jonathonknight', 202575921, 'impression', '18', 241160466L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0131697279376455, False, 'time']
['jonathonknight', 202575921, 'impression', '5', 241162342L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0374575395111953, False, 'time']
['jonathonknight', 202575921, 'impression', '7', 241162211L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0229907900352165, False, 'time']
['jonathonknight', 202575921, 'impression', '13', 241161167L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0503010239480937, False, 'time']
['jonathonknight', 202575921, 'impression', '12', 241161298L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0489389434858476, False, 'time']
['jonathonknight', 202575921, 'impression', '9', 241161669L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0230726823128541, False, 'time']
['jonathonknight', 202575921, 'impression', '4', 241162361L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0166946325530705, False, 'time']
['jonathonknight', 202575921, 'impression', '19', 241160454L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0745206797153205, False, 'time']
['jonathonknight', 202575921, 'impression', '6', 241162250L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0318376533004525, False, 'time']
['jonathonknight', 202575921, 'impression', '20', 241160410L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0364892161830019, False, 'time']
['jonathonknight', 202575921, 'impression', '10', 241161520L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0200783959605466, False, 'time']
['jonathonknight', 202575921, 'impression', '11', 241161459L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0711351103464882, False, 'time']
['jonathonknight', 202575921, 'impression', '1', 241163254L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0472271088501971, False, 'time']

['jonathonknight', 202575921, 'impression', '5', 241231016L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.00480136442614857, False, 'time']
['jonathonknight', 202575921, 'impression', '16', 241175672L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.128330992523408, False, 'time']
['jonathonknight', 202575921, 'impression', '12', 241189073L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.0384575824904028, False, 'time']
['jonathonknight', 202575921, 'impression', '15', 241178584L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.0171864014528767, False, 'time']
['jonathonknight', 202575921, 'impression', '7', 241198723L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.0869703136097953, False, 'time']
['jonathonknight', 202575921, 'impression', '11', 241189631L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.0196958737586738, False, 'time']
['jonathonknight', 202575921, 'impression', '18', 241174064L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.0498582647192631, False, 'time']
['jonathonknight', 202575921, 'impression', '17', 241174711L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.0752865986348936, False, 'time']
['jonathonknight', 202575921, 'impression', '6', 241213202L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.0361488449191975, False, 'time']
['jonathonknight', 202575921, 'impression', '2', 241334156L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.05159170270504, False, 'time']
['jonathonknight', 202575921, 'impression', '4', 241254235L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.0337187817960453, False, 'time']
['jonathonknight', 202575921, 'impression', '19', 241174025L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.0228807644353463, False, 'time']
['jonathonknight', 202575921, 'impression', '20', 241173213L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.0112490907460291, False, 'time']
['jonathonknight', 202575921, 'impression', '8', 241195384L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.0129552291683851, False, 'time']
['jonathonknight', 202575921, 'impression', '9', 241194974L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.025161561557814, False, 'time']
['jonathonknight', 202575921, 'impression', '1', 241342673L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.00761879131518442, False, 'time']
['jonathonknight', 202575921, 'impression', '10', 241191291L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.00503719187602071, False, 'time']
['jonathonknight', 202575921, 'impression', '14', 241180535L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.0596902978597224, False, 'time']
['jonathonknight', 202575921, 'impression', '13', 241185929L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.0237861813628941, False, 'time']
['jonathonknight', 202575921, 'impression', '3', 241333499L, datetime.datetime(2013, 5, 27, 3, 51, 12), 0.0229825953214012, False, 'time']
['jonathonknight', 202575921, 'impression', '1', 241342673L, datetime.datetime(2013, 5, 27, 3, 51, 16), 0.00761879131518442, False, 'time']

