['eriiczhao', 202590162, 'impression', '4', 241566499L, datetime.datetime(2013, 5, 29, 14, 12, 45), 0.0334333538689494, True, 'time']
['eriiczhao', 202590162, 'impression', '2', 241577994L, datetime.datetime(2013, 5, 29, 14, 12, 45), 0.0345737648759295, False, 'time']
['eriiczhao', 202590162, 'view_full_application_via_name', '4', 241566499L, datetime.datetime(2013, 5, 29, 14, 12, 49), 0.0334333538689494, True, 'time']
['eriiczhao', 202590162, 'impression', '13', 241494394L, datetime.datetime(2013, 5, 29, 14, 19, 6), 0.0457501165708903, False, 'time']
['eriiczhao', 202590162, 'impression', '7', 241520700L, datetime.datetime(2013, 5, 29, 14, 19, 6), 0.0681505171301324, False, 'time']
['eriiczhao', 202590162, 'impression', '11', 241495481L, datetime.datetime(2013, 5, 29, 14, 19, 6), 0.0672767329834426, False, 'time']
['eriiczhao', 202590162, 'impression', '1', 241587244L, datetime.datetime(2013, 5, 29, 14, 19, 6), 0.0580759672624146, False, 'time']
['eriiczhao', 202590162, 'impression', '2', 241585527L, datetime.datetime(2013, 5, 29, 14, 19, 6), 0.0408361638580178, False, 'time']
['eriiczhao', 202590162, 'impression', '14', 241494188L, datetime.datetime(2013, 5, 29, 14, 19, 6), 0.065521022418122, False, 'time']
['eriiczhao', 202590162, 'impression', '12', 241494953L, datetime.datetime(2013, 5, 29, 14, 19, 6), 0.0486422424350147, False, 'time']
['eriiczhao', 202590162, 'impression', '10', 241497997L, datetime.datetime(2013, 5, 29, 14, 19, 6), 0.0303713155363274, False, 'time']
['eriiczhao', 202590162, 'impression', '9', 241500626L, datetime.datetime(2013, 5, 29, 14, 19, 6), 0.0722195789334183, False, 'time']
['eriiczhao', 202590162, 'impression', '3', 241577994L, datetime.datetime(2013, 5, 29, 14, 19, 6), 0.0345737648759295, False, 'time']
['eriiczhao', 202590162, 'impression', '5', 241566499L, datetime.datetime(2013, 5, 29, 14, 19, 6), 0.0334333538689494, True, 'time']
['eriiczhao', 202590162, 'impression', '6', 241549291L, datetime.datetime(2013, 5, 29, 14, 19, 6), 0.0248006699176499, False, 'time']
['eriiczhao', 202590162, 'impression', '8', 241503063L, datetime.datetime(2013, 5, 29, 14, 19, 6), 0.0577860120940321, False, 'time']
['eriiczhao', 202590162, 'impression', '4', 241570981L, datetime.datetime(2013, 5, 29, 14, 19, 6), 0.0437628143530951, False, 'time']
['eriiczhao', 202590162, 'view_full_application_via_name', '1', 241587244L, datetime.datetime(2013, 5, 29, 14, 19, 9), 0.0580759672624146, False, 'time']
['eriiczhao', 202590162, 'impression', '4', 241570981L, datetime.datetime(2013, 5, 29, 14, 19, 57), 0.0437628143530951, False, 'time']
['eriiczhao', 202590162, 'impression', '9', 241500626L, datetime.datetime(2013, 5, 29, 14, 19, 57), 0.0722195789334183, False, 'time']
['eriiczhao', 202590162, 'impression', '12', 241494953L, datetime.datetime(2013, 5, 29, 14, 19, 57), 0.0486422424350147, False, 'time']
['eriiczhao', 202590162, 'impression', '14', 241494188L, datetime.datetime(2013, 5, 29, 14, 19, 57), 0.065521022418122, False, 'time']
['eriiczhao', 202590162, 'impression', '10', 241497997L, datetime.datetime(2013, 5, 29, 14, 19, 57), 0.0303713155363274, False, 'time']
['eriiczhao', 202590162, 'impression', '11', 241495481L, datetime.datetime(2013, 5, 29, 14, 19, 57), 0.0672767329834426, False, 'time']
['eriiczhao', 202590162, 'impression', '1', 241587244L, datetime.datetime(2013, 5, 29, 14, 19, 57), 0.0580759672624146, False, 'time']
['eriiczhao', 202590162, 'impression', '2', 241585527L, datetime.datetime(2013, 5, 29, 14, 19, 57), 0.0408361638580178, False, 'time']
['eriiczhao', 202590162, 'impression', '13', 241494394L, datetime.datetime(2013, 5, 29, 14, 19, 57), 0.0457501165708903, False, 'time']
['eriiczhao', 202590162, 'impression', '7', 241520700L, datetime.datetime(2013, 5, 29, 14, 19, 57), 0.0681505171301324, False, 'time']
['eriiczhao', 202590162, 'impression', '3', 241577994L, datetime.datetime(2013, 5, 29, 14, 19, 57), 0.0345737648759295, False, 'time']
['eriiczhao', 202590162, 'impression', '5', 241566499L, datetime.datetime(2013, 5, 29, 14, 19, 57), 0.0334333538689494, True, 'time']
['eriiczhao', 202590162, 'impression', '6', 241549291L, datetime.datetime(2013, 5, 29, 14, 19, 57), 0.0248006699176499, False, 'time']
['eriiczhao', 202590162, 'impression', '8', 241503063L, datetime.datetime(2013, 5, 29, 14, 19, 57), 0.0577860120940321, False, 'time']

['eriiczhao', 202590162, 'impression', '15', 241494188L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.065521022418122, False, 'time']
['eriiczhao', 202590162, 'impression', '11', 241497997L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.0303713155363274, False, 'time']
['eriiczhao', 202590162, 'impression', '10', 241500626L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.0722195789334183, False, 'time']
['eriiczhao', 202590162, 'impression', '13', 241494953L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.0486422424350147, False, 'time']
['eriiczhao', 202590162, 'impression', '14', 241494394L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.0457501165708903, False, 'time']
['eriiczhao', 202590162, 'impression', '8', 241520700L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.0681505171301324, False, 'time']
['eriiczhao', 202590162, 'impression', '6', 241566499L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.0334333538689494, True, 'time']
['eriiczhao', 202590162, 'impression', '4', 241577994L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.0345737648759295, False, 'time']
['eriiczhao', 202590162, 'impression', '7', 241549291L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.0248006699176499, False, 'time']
['eriiczhao', 202590162, 'impression', '9', 241503063L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.0577860120940321, False, 'time']
['eriiczhao', 202590162, 'impression', '2', 241587244L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.0580759672624146, False, 'time']
['eriiczhao', 202590162, 'impression', '1', 241590137L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.00497182907668417, False, 'time']
['eriiczhao', 202590162, 'impression', '3', 241585527L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.0408361638580178, False, 'time']
['eriiczhao', 202590162, 'impression', '12', 241495481L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.0672767329834426, False, 'time']
['eriiczhao', 202590162, 'impression', '5', 241570981L, datetime.datetime(2013, 5, 29, 15, 8, 57), 0.0437628143530951, False, 'time']
['eriiczhao', 202590162, 'expand_tile', '6', 241566499L, datetime.datetime(2013, 5, 29, 15, 9, 3), 0.0334333538689494, True, 'time']
['eriiczhao', 202590162, 'hire', '6', 241566499L, datetime.datetime(2013, 5, 29, 15, 9, 7), 0.0334333538689494, True, 'time']

