['leaf_lao', 202584921, 'hide', '6', 241372860L, datetime.datetime(2013, 5, 27, 8, 7, 31), 0.0748175629441474, False, 'best']
['leaf_lao', 202584921, 'expand_tile', '2', 241380302L, datetime.datetime(2013, 5, 27, 8, 7, 46), 0.120476498309119, False, 'best']
['leaf_lao', 202584921, 'view_full_application', '2', 241380302L, datetime.datetime(2013, 5, 27, 8, 7, 51), 0.120476498309119, False, 'best']
['leaf_lao', 202584921, 'impression', '3', 241380822L, datetime.datetime(2013, 5, 27, 8, 9, 46), 0.0920612705107018, False, 'best']
['leaf_lao', 202584921, 'impression', '5', 241377002L, datetime.datetime(2013, 5, 27, 8, 9, 46), 0.0383442209156881, False, 'best']
['leaf_lao', 202584921, 'impression', '1', 241371232L, datetime.datetime(2013, 5, 27, 8, 9, 46), 0.13793889343812, False, 'best']
['leaf_lao', 202584921, 'impression', '2', 241380302L, datetime.datetime(2013, 5, 27, 8, 9, 46), 0.120476498309119, False, 'best']
['leaf_lao', 202584921, 'impression', '4', 241375961L, datetime.datetime(2013, 5, 27, 8, 9, 46), 0.0674299005087397, False, 'best']
['leaf_lao', 202584921, 'hide', '1', 241371232L, datetime.datetime(2013, 5, 27, 8, 9, 55), 0.13793889343812, False, 'best']
['leaf_lao', 202584921, 'view_full_application_via_name', '5', 241377002L, datetime.datetime(2013, 5, 27, 8, 10, 5), 0.0383442209156881, False, 'best']
['leaf_lao', 202584921, 'impression', '5', 241372860L, datetime.datetime(2013, 5, 27, 8, 10, 51), 0.0748175629441474, False, 'best']
['leaf_lao', 202584921, 'impression', '1', 241371232L, datetime.datetime(2013, 5, 27, 8, 10, 51), 0.13793889343812, False, 'best']
['leaf_lao', 202584921, 'impression', '2', 241380302L, datetime.datetime(2013, 5, 27, 8, 10, 51), 0.120476498309119, False, 'best']
['leaf_lao', 202584921, 'impression', '4', 241375961L, datetime.datetime(2013, 5, 27, 8, 10, 51), 0.0674299005087397, False, 'best']
['leaf_lao', 202584921, 'impression', '3', 241380822L, datetime.datetime(2013, 5, 27, 8, 10, 51), 0.0920612705107018, False, 'best']
['leaf_lao', 202584921, 'impression', '2', 241380302L, datetime.datetime(2013, 5, 27, 8, 21, 3), 0.120476498309119, False, 'best']
['leaf_lao', 202584921, 'impression', '4', 241375961L, datetime.datetime(2013, 5, 27, 8, 21, 3), 0.0674299005087397, False, 'best']
['leaf_lao', 202584921, 'impression', '3', 241380822L, datetime.datetime(2013, 5, 27, 8, 21, 3), 0.0920612705107018, False, 'best']
['leaf_lao', 202584921, 'impression', '1', 241371232L, datetime.datetime(2013, 5, 27, 8, 21, 3), 0.13793889343812, False, 'best']
['leaf_lao', 202584921, 'impression', '5', 241372860L, datetime.datetime(2013, 5, 27, 8, 21, 3), 0.0748175629441474, False, 'best']

['leaf_lao', 202584921, 'impression', '2', 241446238L, datetime.datetime(2013, 5, 28, 8, 16, 40), 0.232144886547133, False, 'best']
['leaf_lao', 202584921, 'impression', '7', 241390339L, datetime.datetime(2013, 5, 28, 8, 16, 40), 0.14861995375949, False, 'best']
['leaf_lao', 202584921, 'impression', '16', 241393797L, datetime.datetime(2013, 5, 28, 8, 16, 40), 0.0653244367701493, False, 'best']
['leaf_lao', 202584921, 'impression', '6', 241408683L, datetime.datetime(2013, 5, 28, 8, 16, 40), 0.167009145120873, False, 'best']
['leaf_lao', 202584921, 'impression', '11', 241380822L, datetime.datetime(2013, 5, 28, 8, 16, 40), 0.0920612705107018, False, 'best']
['leaf_lao', 202584921, 'impression', '12', 241405812L, datetime.datetime(2013, 5, 28, 8, 16, 40), 0.0840141995800763, False, 'best']
['leaf_lao', 202584921, 'impression', '10', 241413356L, datetime.datetime(2013, 5, 28, 8, 16, 40), 0.0976477539755299, False, 'best']
['leaf_lao', 202584921, 'impression', '18', 241393912L, datetime.datetime(2013, 5, 28, 8, 16, 40), 0.0435549815594845, False, 'best']
