['mirzashahnaz', 202569677, 'impression', '1', 241280402L, datetime.datetime(2013, 5, 28, 18, 37, 55), 0.331959815510552, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241100994L, datetime.datetime(2013, 5, 28, 18, 37, 55), 0.686611856941938, False, 'time']
['mirzashahnaz', 202569677, 'impression', '4', 241045820L, datetime.datetime(2013, 5, 28, 18, 37, 55), 0.203669893118469, False, 'time']
['mirzashahnaz', 202569677, 'impression', '3', 241046765L, datetime.datetime(2013, 5, 28, 18, 37, 55), 0.294099610497063, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241044404L, datetime.datetime(2013, 5, 28, 18, 37, 55), 0.32154048773709, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application_via_name', '1', 241280402L, datetime.datetime(2013, 5, 28, 18, 37, 56), 0.331959815510552, False, 'time']

['mirzashahnaz', 202569677, 'impression', '4', 241045820L, datetime.datetime(2013, 5, 29, 3, 24, 9), 0.203669893118469, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241100994L, datetime.datetime(2013, 5, 29, 3, 24, 9), 0.686611856941938, False, 'time']
['mirzashahnaz', 202569677, 'impression', '3', 241046765L, datetime.datetime(2013, 5, 29, 3, 24, 9), 0.294099610497063, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241044404L, datetime.datetime(2013, 5, 29, 3, 24, 9), 0.32154048773709, False, 'time']
['mirzashahnaz', 202569677, 'impression', '1', 241280402L, datetime.datetime(2013, 5, 29, 3, 24, 9), 0.331959815510552, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application_via_name', '1', 241280402L, datetime.datetime(2013, 5, 29, 3, 24, 25), 0.331959815510552, False, 'time']
['mirzashahnaz', 202569677, 'impression', '1', 241280402L, datetime.datetime(2013, 5, 29, 3, 30, 44), 0.331959815510552, False, 'time']
['mirzashahnaz', 202569677, 'impression', '4', 241045820L, datetime.datetime(2013, 5, 29, 3, 30, 44), 0.203669893118469, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241100994L, datetime.datetime(2013, 5, 29, 3, 30, 44), 0.686611856941938, False, 'time']
['mirzashahnaz', 202569677, 'impression', '3', 241046765L, datetime.datetime(2013, 5, 29, 3, 30, 44), 0.294099610497063, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241044404L, datetime.datetime(2013, 5, 29, 3, 30, 44), 0.32154048773709, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application_via_name', '2', 241100994L, datetime.datetime(2013, 5, 29, 3, 30, 47), 0.686611856941938, False, 'time']

['mirzashahnaz', 202569677, 'impression', '1', 241280402L, datetime.datetime(2013, 5, 29, 12, 7, 19), 0.331959815510552, False, 'time']
['mirzashahnaz', 202569677, 'impression', '3', 241046765L, datetime.datetime(2013, 5, 29, 12, 7, 19), 0.294099610497063, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241044404L, datetime.datetime(2013, 5, 29, 12, 7, 19), 0.32154048773709, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241100994L, datetime.datetime(2013, 5, 29, 12, 7, 19), 0.686611856941938, False, 'time']
