['threebyone', 202561298, 'impression', '12', 240882110L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.278300094886172, False, 'time']
['threebyone', 202561298, 'impression', '4', 240918368L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.149786926987648, False, 'time']
['threebyone', 202561298, 'impression', '5', 240916926L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.129695142423137, False, 'time']
['threebyone', 202561298, 'impression', '18', 240874415L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.0310270177759055, False, 'time']
['threebyone', 202561298, 'impression', '10', 240886034L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.547967065401932, False, 'time']
['threebyone', 202561298, 'impression', '11', 240885311L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.143582853313009, False, 'time']
['threebyone', 202561298, 'impression', '3', 240923144L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.160106321194682, False, 'time']
['threebyone', 202561298, 'impression', '15', 240878262L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.106180592459254, False, 'time']
['threebyone', 202561298, 'impression', '8', 240893826L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.141798201694453, False, 'time']
['threebyone', 202561298, 'impression', '16', 240876707L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.101554727620878, False, 'time']
['threebyone', 202561298, 'impression', '2', 240926422L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.0714500013200406, False, 'time']
['threebyone', 202561298, 'impression', '9', 240891438L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.116842793962946, False, 'time']

['threebyone', 202561298, 'impression', '8', 240916926L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.129695142423137, False, 'time']
['threebyone', 202561298, 'impression', '20', 240874415L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.0310270177759055, False, 'time']
['threebyone', 202561298, 'impression', '1', 241030164L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.0469823849733267, False, 'time']
['threebyone', 202561298, 'impression', '7', 240918368L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.149786926987648, False, 'time']
['threebyone', 202561298, 'impression', '12', 240891438L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.116842793962946, False, 'time']
['threebyone', 202561298, 'impression', '5', 240926422L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.0714500013200406, False, 'time']
['threebyone', 202561298, 'impression', '11', 240893826L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.141798201694453, False, 'time']
['threebyone', 202561298, 'impression', '6', 240923144L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.160106321194682, False, 'time']
['threebyone', 202561298, 'impression', '14', 240885311L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.143582853313009, False, 'time']
['threebyone', 202561298, 'impression', '13', 240886034L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.547967065401932, False, 'time']
['threebyone', 202561298, 'impression', '18', 240878262L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.106180592459254, False, 'time']
['threebyone', 202561298, 'impression', '3', 241011656L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.271730080715972, False, 'time']
['threebyone', 202561298, 'impression', '4', 240938893L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.20621582814619, False, 'time']
['threebyone', 202561298, 'impression', '17', 240880213L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.100879344517804, False, 'time']
['threebyone', 202561298, 'impression', '19', 240875729L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.177802615253949, False, 'time']
['threebyone', 202561298, 'impression', '15', 240882110L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.278300094886172, False, 'time']
['threebyone', 202561298, 'impression', '9', 240910076L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.072258941729035, False, 'time']
['threebyone', 202561298, 'impression', '2', 241017052L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.137967400304389, False, 'time']
['threebyone', 202561298, 'impression', '10', 240902055L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.119108310241582, False, 'time']
['threebyone', 202561298, 'impression', '16', 240881292L, datetime.datetime(2013, 5, 22, 22, 50, 15), 0.047012149779909, False, 'time']

