['sratrade', 202588338, 'impression', '17', 241471874L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.0863815705744874, False, 'best']
['sratrade', 202588338, 'impression', '6', 241510269L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.166233701351052, True, 'best']
['sratrade', 202588338, 'impression', '1', 241448670L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.362447260345726, False, 'best']
['sratrade', 202588338, 'impression', '7', 241450785L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.130889698442642, False, 'best']
['sratrade', 202588338, 'impression', '3', 241448231L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.17432151797083, False, 'best']
['sratrade', 202588338, 'impression', '4', 241490996L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.17130308358147, False, 'best']
['sratrade', 202588338, 'impression', '14', 241448622L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.0995847053185118, False, 'best']
['sratrade', 202588338, 'impression', '5', 241448303L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.17021384131334, False, 'best']
['sratrade', 202588338, 'impression', '9', 241450237L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.121071961638648, False, 'best']
['sratrade', 202588338, 'impression', '10', 241455008L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.113259817877351, False, 'best']
['sratrade', 202588338, 'impression', '15', 241448491L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.0910252672092831, False, 'best']
['sratrade', 202588338, 'impression', '18', 241474279L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.0853218070458309, False, 'best']
['sratrade', 202588338, 'expand_tile', '6', 241510269L, datetime.datetime(2013, 5, 28, 21, 27, 37), 0.166233701351052, True, 'best']
['sratrade', 202588338, 'collapse_tile', '6', 241510269L, datetime.datetime(2013, 5, 28, 21, 28, 29), 0.166233701351052, True, 'best']
['sratrade', 202588338, 'collapse_tile', '7', 241450785L, datetime.datetime(2013, 5, 28, 21, 28, 31), 0.130889698442642, False, 'best']
['sratrade', 202588338, 'expand_tile', '7', 241450785L, datetime.datetime(2013, 5, 28, 21, 28, 31), 0.130889698442642, False, 'best']
['sratrade', 202588338, 'expand_tile', '6', 241510269L, datetime.datetime(2013, 5, 28, 21, 28, 32), 0.166233701351052, True, 'best']
['sratrade', 202588338, 'collapse_tile', '6', 241510269L, datetime.datetime(2013, 5, 28, 21, 28, 39), 0.166233701351052, True, 'best']
['sratrade', 202588338, 'expand_tile', '6', 241510269L, datetime.datetime(2013, 5, 28, 21, 28, 41), 0.166233701351052, True, 'best']
['sratrade', 202588338, 'send_message', '6', 241510269L, datetime.datetime(2013, 5, 28, 21, 30, 52), 0.166233701351052, True, 'best']
['sratrade', 202588338, 'expand_tile', '6', 241510269L, datetime.datetime(2013, 5, 28, 21, 33, 1), 0.166233701351052, True, 'best']

