['headhunterm', 202559973, 'view_full_application_via_message', '1', 240855912L, datetime.datetime(2013, 5, 20, 21, 18, 55), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240857834L, datetime.datetime(2013, 5, 20, 21, 23, 34), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240855912L, datetime.datetime(2013, 5, 20, 21, 23, 34), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240865471L, datetime.datetime(2013, 5, 20, 21, 23, 34), 0.159773286487568, False, 'best']
['headhunterm', 202559973, 'impression', '4', 240862541L, datetime.datetime(2013, 5, 20, 21, 23, 34), 0.0298626162288913, False, 'best']

['headhunterm', 202559973, 'impression', '4', 240862541L, datetime.datetime(2013, 5, 20, 22, 52, 12), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240865471L, datetime.datetime(2013, 5, 20, 22, 52, 12), 0.159773286487568, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240857834L, datetime.datetime(2013, 5, 20, 22, 52, 12), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240855912L, datetime.datetime(2013, 5, 20, 22, 52, 12), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240855912L, datetime.datetime(2013, 5, 20, 22, 52, 23), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'view_full_application_via_message', '1', 240855912L, datetime.datetime(2013, 5, 20, 22, 52, 25), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240857834L, datetime.datetime(2013, 5, 20, 22, 54, 9), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240855912L, datetime.datetime(2013, 5, 20, 22, 54, 9), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240865471L, datetime.datetime(2013, 5, 20, 22, 54, 9), 0.159773286487568, False, 'best']
['headhunterm', 202559973, 'impression', '4', 240862541L, datetime.datetime(2013, 5, 20, 22, 54, 9), 0.0298626162288913, False, 'best']

['headhunterm', 202559973, 'impression', '4', 240857834L, datetime.datetime(2013, 5, 21, 11, 45, 56), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240875342L, datetime.datetime(2013, 5, 21, 11, 45, 56), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240915187L, datetime.datetime(2013, 5, 21, 11, 45, 56), 0.187128026019262, False, 'best']
['headhunterm', 202559973, 'impression', '7', 240877363L, datetime.datetime(2013, 5, 21, 11, 45, 56), 0.0603180981897257, False, 'best']
['headhunterm', 202559973, 'impression', '8', 240862541L, datetime.datetime(2013, 5, 21, 11, 45, 56), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'impression', '5', 240865471L, datetime.datetime(2013, 5, 21, 11, 45, 56), 0.159773286487568, False, 'best']
['headhunterm', 202559973, 'impression', '6', 240912153L, datetime.datetime(2013, 5, 21, 11, 45, 56), 0.0817237039640775, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240855912L, datetime.datetime(2013, 5, 21, 11, 45, 56), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'expand_tile', '1', 240875342L, datetime.datetime(2013, 5, 21, 11, 47, 7), 0.303361181830259, False, 'best']
