['intervisiontv', 202557453, 'impression', '5', 240797059L, datetime.datetime(2013, 5, 21, 5, 16, 59), 0.086594038090499, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240887375L, datetime.datetime(2013, 5, 21, 5, 16, 59), 0.589897679057041, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240801655L, datetime.datetime(2013, 5, 21, 5, 16, 59), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 240805584L, datetime.datetime(2013, 5, 21, 5, 16, 59), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240887395L, datetime.datetime(2013, 5, 21, 5, 16, 59), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 240824424L, datetime.datetime(2013, 5, 21, 5, 16, 59), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'view_full_application_via_message', '2', 240887395L, datetime.datetime(2013, 5, 21, 5, 17, 6), 0.362077361844407, False, 'best']

['intervisiontv', 202557453, 'impression', '4', 240824424L, datetime.datetime(2013, 5, 21, 23, 15, 11), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240887395L, datetime.datetime(2013, 5, 21, 23, 15, 11), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 240805584L, datetime.datetime(2013, 5, 21, 23, 15, 11), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '5', 240797059L, datetime.datetime(2013, 5, 21, 23, 15, 11), 0.086594038090499, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240887375L, datetime.datetime(2013, 5, 21, 23, 15, 11), 0.589897679057041, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240801655L, datetime.datetime(2013, 5, 21, 23, 15, 11), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'view_full_application_via_name', '2', 240887395L, datetime.datetime(2013, 5, 21, 23, 15, 19), 0.362077361844407, False, 'best']

['intervisiontv', 202557453, 'impression', '5', 240824424L, datetime.datetime(2013, 5, 22, 0, 6, 13), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240887395L, datetime.datetime(2013, 5, 22, 0, 6, 13), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240887375L, datetime.datetime(2013, 5, 22, 0, 6, 13), 0.589897679057041, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 240797059L, datetime.datetime(2013, 5, 22, 0, 6, 13), 0.086594038090499, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 240801655L, datetime.datetime(2013, 5, 22, 0, 6, 13), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240967397L, datetime.datetime(2013, 5, 22, 0, 6, 13), 0.483354787487546, False, 'best']
['intervisiontv', 202557453, 'impression', '7', 240805584L, datetime.datetime(2013, 5, 22, 0, 6, 13), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'view_full_application_via_name', '2', 240967397L, datetime.datetime(2013, 5, 22, 0, 6, 17), 0.483354787487546, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240887395L, datetime.datetime(2013, 5, 22, 0, 10, 37), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '5', 240824424L, datetime.datetime(2013, 5, 22, 0, 10, 37), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240967397L, datetime.datetime(2013, 5, 22, 0, 10, 37), 0.483354787487546, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240887375L, datetime.datetime(2013, 5, 22, 0, 10, 37), 0.589897679057041, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 240797059L, datetime.datetime(2013, 5, 22, 0, 10, 37), 0.086594038090499, False, 'best']
['intervisiontv', 202557453, 'impression', '7', 240805584L, datetime.datetime(2013, 5, 22, 0, 10, 37), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 240801655L, datetime.datetime(2013, 5, 22, 0, 10, 37), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'view_full_application_via_name', '1', 240887375L, datetime.datetime(2013, 5, 22, 0, 10, 44), 0.589897679057041, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240887395L, datetime.datetime(2013, 5, 22, 0, 23, 15), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '5', 240824424L, datetime.datetime(2013, 5, 22, 0, 23, 15), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 240797059L, datetime.datetime(2013, 5, 22, 0, 23, 15), 0.086594038090499, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240887375L, datetime.datetime(2013, 5, 22, 0, 23, 15), 0.589897679057041, False, 'best']
['intervisiontv', 202557453, 'impression', '7', 240805584L, datetime.datetime(2013, 5, 22, 0, 23, 15), 0.0459319175887046, False, 'best']
