['janeyjosh', 202545090, 'impression', '5', 240536095L, datetime.datetime(2013, 5, 16, 11, 58, 29), 0.188237446292619, False, 'best']
['janeyjosh', 202545090, 'impression', '3', 240535315L, datetime.datetime(2013, 5, 16, 11, 58, 29), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'impression', '9', 240536706L, datetime.datetime(2013, 5, 16, 11, 58, 29), 0.0762078464666087, False, 'best']
['janeyjosh', 202545090, 'impression', '7', 240536578L, datetime.datetime(2013, 5, 16, 11, 58, 29), 0.348313515144908, False, 'best']
['janeyjosh', 202545090, 'impression', '1', 240535220L, datetime.datetime(2013, 5, 16, 11, 58, 29), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'impression', '8', 240536703L, datetime.datetime(2013, 5, 16, 11, 58, 29), 0.0663401322472486, False, 'best']
['janeyjosh', 202545090, 'impression', '6', 240536309L, datetime.datetime(2013, 5, 16, 11, 58, 29), 0.0525926203602796, False, 'best']
['janeyjosh', 202545090, 'impression', '11', 240537863L, datetime.datetime(2013, 5, 16, 11, 58, 29), 0.0576862199400525, False, 'best']
['janeyjosh', 202545090, 'view_full_application_via_message', '3', 240535315L, datetime.datetime(2013, 5, 16, 12, 0, 12), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'view_full_application_via_message', '3', 240535315L, datetime.datetime(2013, 5, 16, 12, 0, 19), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'impression', '11', 240537863L, datetime.datetime(2013, 5, 16, 12, 3, 27), 0.0576862199400525, False, 'best']
['janeyjosh', 202545090, 'impression', '1', 240535220L, datetime.datetime(2013, 5, 16, 12, 3, 27), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'impression', '7', 240536578L, datetime.datetime(2013, 5, 16, 12, 3, 27), 0.348313515144908, False, 'best']
['janeyjosh', 202545090, 'impression', '9', 240536706L, datetime.datetime(2013, 5, 16, 12, 3, 27), 0.0762078464666087, False, 'best']
['janeyjosh', 202545090, 'impression', '3', 240535315L, datetime.datetime(2013, 5, 16, 12, 3, 27), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'impression', '2', 240535231L, datetime.datetime(2013, 5, 16, 12, 3, 27), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'impression', '10', 240537500L, datetime.datetime(2013, 5, 16, 12, 3, 27), 0.207713591009055, False, 'best']
['janeyjosh', 202545090, 'impression', '4', 240535685L, datetime.datetime(2013, 5, 16, 12, 3, 27), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'impression', '5', 240536095L, datetime.datetime(2013, 5, 16, 12, 3, 27), 0.188237446292619, False, 'best']
['janeyjosh', 202545090, 'impression', '6', 240536309L, datetime.datetime(2013, 5, 16, 12, 3, 27), 0.0525926203602796, False, 'best']
['janeyjosh', 202545090, 'impression', '8', 240536703L, datetime.datetime(2013, 5, 16, 12, 3, 27), 0.0663401322472486, False, 'best']

['janeyjosh', 202545090, 'impression', '5', 240536703L, datetime.datetime(2013, 5, 17, 2, 33, 5), 0.0663401322472486, False, 'best']
['janeyjosh', 202545090, 'impression', '4', 240536309L, datetime.datetime(2013, 5, 17, 2, 33, 5), 0.0525926203602796, False, 'best']
['janeyjosh', 202545090, 'impression', '7', 240537500L, datetime.datetime(2013, 5, 17, 2, 33, 5), 0.207713591009055, False, 'best']
['janeyjosh', 202545090, 'impression', '2', 240535231L, datetime.datetime(2013, 5, 17, 2, 33, 5), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'impression', '13', 240542403L, datetime.datetime(2013, 5, 17, 2, 33, 5), 0.169999628228591, False, 'best']
['janeyjosh', 202545090, 'impression', '12', 240540203L, datetime.datetime(2013, 5, 17, 2, 33, 5), 0.344818249394121, False, 'best']
['janeyjosh', 202545090, 'impression', '6', 240536706L, datetime.datetime(2013, 5, 17, 2, 33, 5), 0.0762078464666087, False, 'best']
['janeyjosh', 202545090, 'impression', '14', 240548847L, datetime.datetime(2013, 5, 17, 2, 33, 5), 0.185687101094798, False, 'best']
['janeyjosh', 202545090, 'impression', '17', 240555851L, datetime.datetime(2013, 5, 17, 2, 33, 5), 0.147204540221277, False, 'best']
['janeyjosh', 202545090, 'impression', '8', 240537863L, datetime.datetime(2013, 5, 17, 2, 33, 5), 0.0576862199400525, False, 'best']
['janeyjosh', 202545090, 'impression', '3', 240536095L, datetime.datetime(2013, 5, 17, 2, 33, 5), 0.188237446292619, False, 'best']
['janeyjosh', 202545090, 'impression', '15', 240548965L, datetime.datetime(2013, 5, 17, 2, 33, 5), 0.0567991058129492, False, 'best']
['janeyjosh', 202545090, 'impression', '10', 240539657L, datetime.datetime(2013, 5, 17, 2, 33, 5), 0.153638921797833, False, 'best']
['janeyjosh', 202545090, 'impression', '11', 240539997L, datetime.datetime(2013, 5, 17, 2, 33, 5), 0.274871874194045, False, 'best']
