['tapdance', 202553000, 'impression', '8', 240704586L, datetime.datetime(2013, 5, 19, 10, 16, 30), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'impression', '6', 240711612L, datetime.datetime(2013, 5, 19, 10, 16, 30), 0.0300467502315945, False, 'time']
['tapdance', 202553000, 'impression', '3', 240733698L, datetime.datetime(2013, 5, 19, 10, 16, 30), 0.0409857763272987, False, 'time']
['tapdance', 202553000, 'impression', '6', 240733698L, datetime.datetime(2013, 5, 19, 10, 16, 57), 0.0409857763272987, False, 'best']
['tapdance', 202553000, 'impression', '9', 240711612L, datetime.datetime(2013, 5, 19, 10, 16, 57), 0.0300467502315945, False, 'best']
['tapdance', 202553000, 'impression', '10', 240739301L, datetime.datetime(2013, 5, 19, 10, 16, 57), 0.0226598027721891, False, 'best']
['tapdance', 202553000, 'impression', '5', 240702947L, datetime.datetime(2013, 5, 19, 10, 16, 57), 0.0560896560115339, False, 'best']
['tapdance', 202553000, 'impression', '8', 240710583L, datetime.datetime(2013, 5, 19, 10, 16, 57), 0.0349111701498908, False, 'best']
['tapdance', 202553000, 'impression', '3', 240704538L, datetime.datetime(2013, 5, 19, 10, 16, 57), 0.0989776669347951, False, 'best']
['tapdance', 202553000, 'impression', '1', 240704586L, datetime.datetime(2013, 5, 19, 10, 16, 57), 0.109639047129486, False, 'best']
['tapdance', 202553000, 'impression', '7', 240742151L, datetime.datetime(2013, 5, 19, 10, 16, 57), 0.03632160115783, False, 'best']
['tapdance', 202553000, 'impression', '2', 240728384L, datetime.datetime(2013, 5, 19, 10, 16, 57), 0.100759945324346, False, 'best']
['tapdance', 202553000, 'impression', '12', 240703353L, datetime.datetime(2013, 5, 19, 10, 16, 57), 0.0150081184850569, False, 'best']
['tapdance', 202553000, 'impression', '11', 240702009L, datetime.datetime(2013, 5, 19, 10, 16, 57), 0.0190270699220532, False, 'best']
['tapdance', 202553000, 'impression', '4', 240715392L, datetime.datetime(2013, 5, 19, 10, 16, 57), 0.0752068579403339, False, 'best']
['tapdance', 202553000, 'expand_tile', '2', 240728384L, datetime.datetime(2013, 5, 19, 10, 17, 36), 0.100759945324346, False, 'best']
['tapdance', 202553000, 'view_full_application', '2', 240728384L, datetime.datetime(2013, 5, 19, 10, 18, 16), 0.100759945324346, False, 'best']
['tapdance', 202553000, 'impression', '2', 240739301L, datetime.datetime(2013, 5, 19, 10, 20, 19), 0.0226598027721891, False, 'time']
['tapdance', 202553000, 'impression', '7', 240710583L, datetime.datetime(2013, 5, 19, 10, 20, 19), 0.0349111701498908, False, 'time']
['tapdance', 202553000, 'impression', '9', 240704538L, datetime.datetime(2013, 5, 19, 10, 20, 19), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '8', 240704586L, datetime.datetime(2013, 5, 19, 10, 20, 19), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'impression', '6', 240711612L, datetime.datetime(2013, 5, 19, 10, 20, 19), 0.0300467502315945, False, 'time']
['tapdance', 202553000, 'impression', '3', 240733698L, datetime.datetime(2013, 5, 19, 10, 20, 19), 0.0409857763272987, False, 'time']
['tapdance', 202553000, 'impression', '10', 240703353L, datetime.datetime(2013, 5, 19, 10, 20, 19), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'impression', '11', 240702947L, datetime.datetime(2013, 5, 19, 10, 20, 19), 0.0560896560115339, False, 'time']
