['inkyd', 202587769, 'impression', '5', 241436549L, datetime.datetime(2013, 5, 28, 0, 8, 57), 0.0495945945327705, False, 'best']

['inkyd', 202587769, 'view_full_application_via_name', '6', 241436587L, datetime.datetime(2013, 5, 28, 0, 51, 21), 0.0389145511604398, False, 'best']
['inkyd', 202587769, 'impression', '3', 241436508L, datetime.datetime(2013, 5, 28, 0, 52, 11), 0.0649307157428897, False, 'best']
['inkyd', 202587769, 'impression', '4', 241436549L, datetime.datetime(2013, 5, 28, 0, 52, 11), 0.0495945945327705, False, 'best']
['inkyd', 202587769, 'impression', '2', 241436217L, datetime.datetime(2013, 5, 28, 0, 52, 11), 0.0733854241471573, False, 'best']
['inkyd', 202587769, 'impression', '1', 241436539L, datetime.datetime(2013, 5, 28, 0, 52, 11), 0.0782781519974393, False, 'best']
['inkyd', 202587769, 'view_full_application_via_name', '1', 241436539L, datetime.datetime(2013, 5, 28, 0, 55, 58), 0.0782781519974393, False, 'best']
['inkyd', 202587769, 'impression', '4', 241436549L, datetime.datetime(2013, 5, 28, 0, 56, 37), 0.0495945945327705, False, 'best']
['inkyd', 202587769, 'impression', '1', 241436539L, datetime.datetime(2013, 5, 28, 0, 56, 37), 0.0782781519974393, False, 'best']
['inkyd', 202587769, 'impression', '5', 241439733L, datetime.datetime(2013, 5, 28, 0, 56, 37), 0.0244058796801463, False, 'best']
['inkyd', 202587769, 'impression', '3', 241436508L, datetime.datetime(2013, 5, 28, 0, 56, 37), 0.0649307157428897, False, 'best']
['inkyd', 202587769, 'impression', '2', 241436217L, datetime.datetime(2013, 5, 28, 0, 56, 37), 0.0733854241471573, False, 'best']
['inkyd', 202587769, 'view_full_application_via_name', '2', 241436217L, datetime.datetime(2013, 5, 28, 0, 58, 15), 0.0733854241471573, False, 'best']

['inkyd', 202587769, 'impression', '8', 241439733L, datetime.datetime(2013, 5, 28, 8, 0, 20), 0.0244058796801463, False, 'best']
['inkyd', 202587769, 'impression', '5', 241436508L, datetime.datetime(2013, 5, 28, 8, 0, 20), 0.0649307157428897, False, 'best']
['inkyd', 202587769, 'impression', '7', 241445565L, datetime.datetime(2013, 5, 28, 8, 0, 20), 0.0292288749481661, False, 'best']
['inkyd', 202587769, 'impression', '2', 241454119L, datetime.datetime(2013, 5, 28, 8, 0, 20), 0.0928222297002976, False, 'best']
['inkyd', 202587769, 'impression', '4', 241436217L, datetime.datetime(2013, 5, 28, 8, 0, 20), 0.0733854241471573, False, 'best']
['inkyd', 202587769, 'impression', '1', 241458043L, datetime.datetime(2013, 5, 28, 8, 0, 20), 0.215803361570813, False, 'best']
['inkyd', 202587769, 'impression', '6', 241436549L, datetime.datetime(2013, 5, 28, 8, 0, 20), 0.0495945945327705, False, 'best']
['inkyd', 202587769, 'impression', '9', 241455116L, datetime.datetime(2013, 5, 28, 8, 0, 20), 0.0128416196764953, False, 'best']
['inkyd', 202587769, 'impression', '3', 241436539L, datetime.datetime(2013, 5, 28, 8, 0, 20), 0.0782781519974393, False, 'best']
['inkyd', 202587769, 'hide', '1', 241458043L, datetime.datetime(2013, 5, 28, 8, 0, 29), 0.215803361570813, False, 'best']
['inkyd', 202587769, 'hide', '2', 241454119L, datetime.datetime(2013, 5, 28, 8, 0, 33), 0.0928222297002976, False, 'best']
['inkyd', 202587769, 'hide', '7', 241445565L, datetime.datetime(2013, 5, 28, 8, 0, 50), 0.0292288749481661, False, 'best']

