['lazzaros', 202580993, 'impression', '4', 241283714L, datetime.datetime(2013, 5, 26, 12, 59, 52), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 26, 12, 59, 52), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '3', 241283829L, datetime.datetime(2013, 5, 26, 12, 59, 52), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241295465L, datetime.datetime(2013, 5, 26, 12, 59, 52), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'expand_tile', '2', 241283862L, datetime.datetime(2013, 5, 26, 12, 59, 57), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'view_full_application', '2', 241283862L, datetime.datetime(2013, 5, 26, 13, 0), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '1', 241295465L, datetime.datetime(2013, 5, 26, 13, 2, 48), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'impression', '4', 241283714L, datetime.datetime(2013, 5, 26, 13, 2, 48), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283829L, datetime.datetime(2013, 5, 26, 13, 2, 48), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 26, 13, 2, 48), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 26, 13, 3, 2), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '1', 241295465L, datetime.datetime(2013, 5, 26, 13, 3, 2), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283829L, datetime.datetime(2013, 5, 26, 13, 3, 2), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'impression', '4', 241283714L, datetime.datetime(2013, 5, 26, 13, 3, 2), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241295465L, datetime.datetime(2013, 5, 26, 13, 4, 1), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 26, 13, 4, 1), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '4', 241283714L, datetime.datetime(2013, 5, 26, 13, 4, 1), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283829L, datetime.datetime(2013, 5, 26, 13, 4, 1), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'view_full_application_via_name', '1', 241295465L, datetime.datetime(2013, 5, 26, 13, 4, 5), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283829L, datetime.datetime(2013, 5, 26, 13, 7, 43), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 26, 13, 7, 43), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '1', 241295465L, datetime.datetime(2013, 5, 26, 13, 7, 43), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'impression', '4', 241283714L, datetime.datetime(2013, 5, 26, 13, 7, 43), 0.203560397608665, False, 'time']

['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 26, 13, 46, 46), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '4', 241283714L, datetime.datetime(2013, 5, 26, 13, 46, 46), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241295465L, datetime.datetime(2013, 5, 26, 13, 46, 46), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283829L, datetime.datetime(2013, 5, 26, 13, 46, 46), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'view_full_application_via_name', '2', 241283862L, datetime.datetime(2013, 5, 26, 13, 46, 51), 0.365737248582674, True, 'time']

['lazzaros', 202580993, 'impression', '4', 241283714L, datetime.datetime(2013, 5, 26, 14, 49, 25), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 26, 14, 49, 25), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '1', 241295465L, datetime.datetime(2013, 5, 26, 14, 49, 25), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283829L, datetime.datetime(2013, 5, 26, 14, 49, 25), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'expand_tile', '1', 241295465L, datetime.datetime(2013, 5, 26, 14, 49, 27), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'view_full_application', '1', 241295465L, datetime.datetime(2013, 5, 26, 14, 49, 29), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283829L, datetime.datetime(2013, 5, 26, 14, 49, 44), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 26, 14, 49, 44), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '4', 241283714L, datetime.datetime(2013, 5, 26, 14, 49, 44), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241295465L, datetime.datetime(2013, 5, 26, 14, 49, 44), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'view_full_application_via_name', '2', 241283862L, datetime.datetime(2013, 5, 26, 14, 49, 50), 0.365737248582674, True, 'time']

