['martylwhite', 202586565, 'impression', '3', 241413685L, datetime.datetime(2013, 5, 27, 18, 15, 27), 0.195387364075943, True, 'time']
['martylwhite', 202586565, 'impression', '7', 241412488L, datetime.datetime(2013, 5, 27, 18, 15, 27), 0.105881218400996, False, 'time']
['martylwhite', 202586565, 'impression', '5', 241412824L, datetime.datetime(2013, 5, 27, 18, 15, 27), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '4', 241413230L, datetime.datetime(2013, 5, 27, 18, 15, 27), 0.104640760296971, False, 'time']
['martylwhite', 202586565, 'impression', '6', 241412686L, datetime.datetime(2013, 5, 27, 18, 15, 37), 0.207846967063467, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241420484L, datetime.datetime(2013, 5, 27, 18, 15, 37), 0.047147310555888, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241416438L, datetime.datetime(2013, 5, 27, 18, 15, 37), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241413685L, datetime.datetime(2013, 5, 27, 18, 15, 37), 0.195387364075943, True, 'time']
['martylwhite', 202586565, 'impression', '7', 241412488L, datetime.datetime(2013, 5, 27, 18, 15, 37), 0.105881218400996, False, 'time']
['martylwhite', 202586565, 'impression', '4', 241413230L, datetime.datetime(2013, 5, 27, 18, 15, 37), 0.104640760296971, False, 'time']
['martylwhite', 202586565, 'impression', '5', 241412824L, datetime.datetime(2013, 5, 27, 18, 15, 37), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241420484L, datetime.datetime(2013, 5, 27, 18, 15, 40), 0.047147310555888, False, 'time']

['martylwhite', 202586565, 'impression', '3', 241413685L, datetime.datetime(2013, 5, 27, 21, 14, 58), 0.195387364075943, True, 'time']
['martylwhite', 202586565, 'impression', '5', 241412824L, datetime.datetime(2013, 5, 27, 21, 15, 5), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '4', 241416438L, datetime.datetime(2013, 5, 27, 21, 15, 25), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241422304L, datetime.datetime(2013, 5, 27, 21, 15, 25), 0.190217137950844, False, 'time']
['martylwhite', 202586565, 'impression', '6', 241413230L, datetime.datetime(2013, 5, 27, 21, 15, 25), 0.104640760296971, False, 'time']
['martylwhite', 202586565, 'impression', '7', 241412824L, datetime.datetime(2013, 5, 27, 21, 15, 25), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '8', 241412686L, datetime.datetime(2013, 5, 27, 21, 15, 25), 0.207846967063467, False, 'time']
['martylwhite', 202586565, 'impression', '9', 241412488L, datetime.datetime(2013, 5, 27, 21, 15, 25), 0.105881218400996, False, 'time']
['martylwhite', 202586565, 'impression', '5', 241413685L, datetime.datetime(2013, 5, 27, 21, 15, 25), 0.195387364075943, True, 'time']
['martylwhite', 202586565, 'impression', '2', 241423672L, datetime.datetime(2013, 5, 27, 21, 15, 25), 0.12945072079312, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241432269L, datetime.datetime(2013, 5, 27, 21, 15, 25), 0.159810559486944, False, 'time']
['martylwhite', 202586565, 'view_full_application_via_name', '1', 241432269L, datetime.datetime(2013, 5, 27, 21, 15, 37), 0.159810559486944, False, 'time']

['martylwhite', 202586565, 'impression', '7', 241412824L, datetime.datetime(2013, 5, 27, 22, 27, 37), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '6', 241413230L, datetime.datetime(2013, 5, 27, 22, 27, 37), 0.104640760296971, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241432269L, datetime.datetime(2013, 5, 27, 22, 27, 37), 0.159810559486944, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241423672L, datetime.datetime(2013, 5, 27, 22, 27, 37), 0.12945072079312, False, 'time']
['martylwhite', 202586565, 'impression', '5', 241413685L, datetime.datetime(2013, 5, 27, 22, 27, 37), 0.195387364075943, True, 'time']
['martylwhite', 202586565, 'impression', '9', 241412488L, datetime.datetime(2013, 5, 27, 22, 27, 37), 0.105881218400996, False, 'time']
['martylwhite', 202586565, 'impression', '4', 241416438L, datetime.datetime(2013, 5, 27, 22, 27, 37), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241422304L, datetime.datetime(2013, 5, 27, 22, 27, 37), 0.190217137950844, False, 'time']
['martylwhite', 202586565, 'impression', '8', 241412686L, datetime.datetime(2013, 5, 27, 22, 27, 37), 0.207846967063467, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241422304L, datetime.datetime(2013, 5, 27, 22, 27, 42), 0.190217137950844, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241423672L, datetime.datetime(2013, 5, 27, 22, 27, 42), 0.12945072079312, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241423672L, datetime.datetime(2013, 5, 27, 22, 27, 42), 0.12945072079312, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241422304L, datetime.datetime(2013, 5, 27, 22, 27, 45), 0.190217137950844, False, 'time']
['martylwhite', 202586565, 'view_full_application_via_name', '1', 241432269L, datetime.datetime(2013, 5, 27, 22, 27, 47), 0.159810559486944, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241413685L, datetime.datetime(2013, 5, 27, 22, 28, 41), 0.195387364075943, True, 'time']
['martylwhite', 202586565, 'impression', '1', 241432269L, datetime.datetime(2013, 5, 27, 22, 28, 41), 0.159810559486944, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241416438L, datetime.datetime(2013, 5, 27, 22, 28, 41), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'impression', '5', 241412824L, datetime.datetime(2013, 5, 27, 22, 28, 41), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '4', 241413230L, datetime.datetime(2013, 5, 27, 22, 28, 41), 0.104640760296971, False, 'time']
['martylwhite', 202586565, 'impression', '7', 241412488L, datetime.datetime(2013, 5, 27, 22, 28, 41), 0.105881218400996, False, 'time']
['martylwhite', 202586565, 'impression', '6', 241412686L, datetime.datetime(2013, 5, 27, 22, 28, 41), 0.207846967063467, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241432269L, datetime.datetime(2013, 5, 27, 22, 28, 42), 0.159810559486944, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241432269L, datetime.datetime(2013, 5, 27, 22, 28, 43), 0.159810559486944, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241416438L, datetime.datetime(2013, 5, 27, 22, 28, 44), 0.178756655971903, False, 'time']

['martylwhite', 202586565, 'impression', '3', 241416438L, datetime.datetime(2013, 5, 27, 23, 39, 25), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241436359L, datetime.datetime(2013, 5, 27, 23, 39, 25), 0.147033311630205, False, 'time']
['martylwhite', 202586565, 'impression', '6', 241412824L, datetime.datetime(2013, 5, 27, 23, 39, 25), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '5', 241413230L, datetime.datetime(2013, 5, 27, 23, 39, 25), 0.104640760296971, False, 'time']
['martylwhite', 202586565, 'impression', '8', 241412488L, datetime.datetime(2013, 5, 27, 23, 39, 25), 0.105881218400996, False, 'time']
['martylwhite', 202586565, 'impression', '4', 241413685L, datetime.datetime(2013, 5, 27, 23, 39, 25), 0.195387364075943, True, 'time']
['martylwhite', 202586565, 'impression', '7', 241412686L, datetime.datetime(2013, 5, 27, 23, 39, 25), 0.207846967063467, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241436016L, datetime.datetime(2013, 5, 27, 23, 39, 25), 0.225881791103784, False, 'time']
['martylwhite', 202586565, 'expand_tile', '2', 241436016L, datetime.datetime(2013, 5, 27, 23, 39, 40), 0.225881791103784, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241436016L, datetime.datetime(2013, 5, 27, 23, 40, 41), 0.225881791103784, False, 'time']
['martylwhite', 202586565, 'expand_tile', '2', 241436016L, datetime.datetime(2013, 5, 27, 23, 40, 42), 0.225881791103784, False, 'time']
