['neversleeping', 202584706, 'expand_tile', '1', 241365580L, datetime.datetime(2013, 5, 28, 7, 12, 34), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'collapse_tile', '1', 241365580L, datetime.datetime(2013, 5, 28, 7, 12, 40), 0.40708002765161, False, 'best']

['neversleeping', 202584706, 'impression', '4', 241372618L, datetime.datetime(2013, 5, 28, 8, 57, 27), 0.133235564454895, False, 'best']
['neversleeping', 202584706, 'impression', '5', 241369337L, datetime.datetime(2013, 5, 28, 8, 57, 27), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 28, 8, 57, 27), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '3', 241372331L, datetime.datetime(2013, 5, 28, 8, 57, 27), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'impression', '2', 241365731L, datetime.datetime(2013, 5, 28, 8, 57, 27), 0.23217279455482, False, 'best']
['neversleeping', 202584706, 'expand_tile', '3', 241372331L, datetime.datetime(2013, 5, 28, 8, 58, 25), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'impression', '3', 241372331L, datetime.datetime(2013, 5, 28, 9, 0, 29), 0.20062619276247, False, 'best']

['neversleeping', 202584706, 'impression', '3', 241372331L, datetime.datetime(2013, 5, 28, 17, 13, 12), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 28, 17, 13, 12), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '2', 241365731L, datetime.datetime(2013, 5, 28, 17, 13, 12), 0.23217279455482, False, 'best']
['neversleeping', 202584706, 'impression', '5', 241369337L, datetime.datetime(2013, 5, 28, 17, 13, 12), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'impression', '4', 241372618L, datetime.datetime(2013, 5, 28, 17, 13, 12), 0.133235564454895, False, 'best']
['neversleeping', 202584706, 'expand_tile', '1', 241365580L, datetime.datetime(2013, 5, 28, 17, 13, 16), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'view_full_application', '1', 241365580L, datetime.datetime(2013, 5, 28, 17, 13, 22), 0.40708002765161, False, 'best']

['neversleeping', 202584706, 'impression', '2', 241365731L, datetime.datetime(2013, 5, 29, 6, 13, 39), 0.23217279455482, False, 'best']
['neversleeping', 202584706, 'impression', '5', 241369337L, datetime.datetime(2013, 5, 29, 6, 13, 39), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'impression', '4', 241372618L, datetime.datetime(2013, 5, 29, 6, 13, 39), 0.133235564454895, False, 'best']
['neversleeping', 202584706, 'impression', '3', 241372331L, datetime.datetime(2013, 5, 29, 6, 13, 39), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 29, 6, 13, 39), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '3', 241372331L, datetime.datetime(2013, 5, 29, 6, 13, 44), 0.20062619276247, False, 'best']

