['vinny168', 202544606, 'impression', '6', 240563591L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.0912040400587071, False, 'time']
['vinny168', 202544606, 'impression', '20', 240532018L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.244248465497988, False, 'time']
['vinny168', 202544606, 'impression', '16', 240537857L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.186690466070148, False, 'time']
['vinny168', 202544606, 'impression', '8', 240561194L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.0695287251937839, False, 'time']
['vinny168', 202544606, 'impression', '12', 240540511L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.183595494205801, False, 'time']
['vinny168', 202544606, 'impression', '11', 240544492L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.132300566986825, False, 'time']
['vinny168', 202544606, 'impression', '17', 240535933L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.174115878706454, False, 'time']
['vinny168', 202544606, 'impression', '13', 240540376L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.130235432237166, False, 'time']
['vinny168', 202544606, 'impression', '10', 240544659L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.451230663928138, False, 'time']
['vinny168', 202544606, 'impression', '1', 240697618L, datetime.datetime(2013, 5, 19, 14, 27, 10), 0.298865332292431, False, 'time']
['vinny168', 202544606, 'impression', '2', 240626459L, datetime.datetime(2013, 5, 19, 14, 27, 10), 0.0361752395421396, False, 'time']
['vinny168', 202544606, 'impression', '12', 240540511L, datetime.datetime(2013, 5, 19, 14, 27, 10), 0.183595494205801, False, 'time']
['vinny168', 202544606, 'impression', '11', 240544492L, datetime.datetime(2013, 5, 19, 14, 27, 10), 0.132300566986825, False, 'time']
['vinny168', 202544606, 'impression', '8', 240561194L, datetime.datetime(2013, 5, 19, 14, 27, 10), 0.0695287251937839, False, 'time']
['vinny168', 202544606, 'impression', '16', 240537857L, datetime.datetime(2013, 5, 19, 14, 27, 10), 0.186690466070148, False, 'time']
['vinny168', 202544606, 'impression', '7', 240562026L, datetime.datetime(2013, 5, 19, 14, 27, 10), 0.370709440003564, False, 'time']
['vinny168', 202544606, 'impression', '5', 240566817L, datetime.datetime(2013, 5, 19, 14, 27, 10), 0.175047959950084, False, 'time']
