['lukeywn', 202574491, 'view_full_application_via_message', '7', 241140051L, datetime.datetime(2013, 5, 24, 9, 10, 22), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '10', 241139922L, datetime.datetime(2013, 5, 24, 9, 34, 17), 0.35209001791646, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 9, 34, 17), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 9, 34, 17), 0.204973592695504, False, 'time']
['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 9, 34, 17), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 9, 34, 17), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 9, 34, 17), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 9, 34, 17), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241156830L, datetime.datetime(2013, 5, 24, 9, 34, 17), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 9, 34, 17), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 9, 34, 17), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 9, 43, 47), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 9, 43, 47), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 9, 43, 47), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 9, 43, 47), 0.204973592695504, False, 'time']
['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 9, 43, 47), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 9, 43, 47), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '10', 241139922L, datetime.datetime(2013, 5, 24, 9, 43, 47), 0.35209001791646, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 9, 43, 47), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 9, 43, 47), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241156830L, datetime.datetime(2013, 5, 24, 9, 43, 47), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'view_full_application_via_name', '9', 241139941L, datetime.datetime(2013, 5, 24, 9, 43, 53), 0.584712020137894, False, 'time']

['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 10, 20, 46), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241156830L, datetime.datetime(2013, 5, 24, 10, 20, 46), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 10, 20, 46), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 10, 20, 46), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 10, 20, 46), 0.204973592695504, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 10, 20, 46), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 10, 20, 46), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 10, 20, 46), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '10', 241139922L, datetime.datetime(2013, 5, 24, 10, 20, 46), 0.35209001791646, False, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 10, 20, 46), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 10, 41, 5), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 10, 41, 5), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 10, 41, 5), 0.204973592695504, False, 'time']
