['l_suza', 202580013, 'impression', '16', 241258415L, datetime.datetime(2013, 5, 25, 9, 6, 21), 0.00528519156770951, False, 'time']
['l_suza', 202580013, 'impression', '13', 241258436L, datetime.datetime(2013, 5, 25, 9, 6, 21), 0.00086780893105716, False, 'time']
['l_suza', 202580013, 'impression', '15', 241258428L, datetime.datetime(2013, 5, 25, 9, 6, 21), 0.000958838417523142, False, 'time']
['l_suza', 202580013, 'impression', '17', 241258388L, datetime.datetime(2013, 5, 25, 9, 6, 21), 0.00241626657301933, False, 'time']
['l_suza', 202580013, 'impression', '1', 241259248L, datetime.datetime(2013, 5, 25, 9, 7, 20), 0.00152689148766761, False, 'time']
['l_suza', 202580013, 'impression', '6', 241258682L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.00407176976835038, False, 'time']
['l_suza', 202580013, 'impression', '18', 241258335L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.00110578025145556, False, 'time']
['l_suza', 202580013, 'impression', '7', 241258658L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.00175014234210564, False, 'time']
['l_suza', 202580013, 'impression', '1', 241259248L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.00152689148766761, False, 'time']
['l_suza', 202580013, 'impression', '15', 241258415L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.00528519156770951, False, 'time']
['l_suza', 202580013, 'impression', '16', 241258388L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.00241626657301933, False, 'time']
['l_suza', 202580013, 'impression', '12', 241258436L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.00086780893105716, False, 'time']
['l_suza', 202580013, 'impression', '14', 241258428L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.000958838417523142, False, 'time']
['l_suza', 202580013, 'impression', '3', 241259082L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.00227879248388199, False, 'time']
['l_suza', 202580013, 'impression', '10', 241258528L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.00113040076824246, False, 'time']
['l_suza', 202580013, 'impression', '11', 241258499L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.00203364440540057, False, 'time']
['l_suza', 202580013, 'impression', '17', 241258382L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.00259622049388185, False, 'time']
['l_suza', 202580013, 'impression', '8', 241258595L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.00151128922282409, False, 'time']
['l_suza', 202580013, 'impression', '2', 241259109L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.000876439863083581, False, 'time']
['l_suza', 202580013, 'impression', '13', 241258432L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.000138011303869903, False, 'time']
['l_suza', 202580013, 'impression', '5', 241258705L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.00180045715530931, False, 'time']
['l_suza', 202580013, 'impression', '9', 241258561L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.0039392119453924, False, 'time']
['l_suza', 202580013, 'impression', '4', 241258991L, datetime.datetime(2013, 5, 25, 9, 8, 52), 0.00428336241536025, False, 'time']
['l_suza', 202580013, 'impression', '6', 241259082L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00227879248388199, False, 'time']
['l_suza', 202580013, 'impression', '13', 241258528L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00113040076824246, False, 'time']
['l_suza', 202580013, 'impression', '18', 241258415L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00528519156770951, False, 'time']
['l_suza', 202580013, 'impression', '9', 241258682L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00407176976835038, False, 'time']
['l_suza', 202580013, 'impression', '3', 241259387L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00134986936141413, False, 'time']
['l_suza', 202580013, 'impression', '4', 241259248L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00152689148766761, False, 'time']
['l_suza', 202580013, 'impression', '10', 241258658L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00175014234210564, False, 'time']
['l_suza', 202580013, 'impression', '8', 241258705L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00180045715530931, False, 'time']
['l_suza', 202580013, 'impression', '12', 241258561L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.0039392119453924, False, 'time']
['l_suza', 202580013, 'impression', '16', 241258432L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.000138011303869903, False, 'time']
['l_suza', 202580013, 'impression', '11', 241258595L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00151128922282409, False, 'time']
['l_suza', 202580013, 'impression', '2', 241259567L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00252354273047303, False, 'time']
['l_suza', 202580013, 'impression', '20', 241258382L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00259622049388185, False, 'time']
['l_suza', 202580013, 'impression', '1', 241259820L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00192696747881621, False, 'time']
['l_suza', 202580013, 'impression', '5', 241259109L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.000876439863083581, False, 'time']
['l_suza', 202580013, 'impression', '14', 241258499L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00203364440540057, False, 'time']
['l_suza', 202580013, 'impression', '15', 241258436L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00086780893105716, False, 'time']
['l_suza', 202580013, 'impression', '19', 241258388L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00241626657301933, False, 'time']
['l_suza', 202580013, 'impression', '17', 241258428L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.000958838417523142, False, 'time']
['l_suza', 202580013, 'impression', '7', 241258991L, datetime.datetime(2013, 5, 25, 9, 10, 29), 0.00428336241536025, False, 'time']
['l_suza', 202580013, 'impression', '16', 241259934L, datetime.datetime(2013, 5, 25, 9, 18, 27), 0.00147013034722822, False, 'best']
['l_suza', 202580013, 'impression', '20', 241258428L, datetime.datetime(2013, 5, 25, 9, 18, 27), 0.000958838417523142, False, 'best']
['l_suza', 202580013, 'impression', '8', 241258388L, datetime.datetime(2013, 5, 25, 9, 18, 27), 0.00241626657301933, False, 'best']
['l_suza', 202580013, 'impression', '9', 241259082L, datetime.datetime(2013, 5, 25, 9, 18, 27), 0.00227879248388199, False, 'best']
['l_suza', 202580013, 'impression', '18', 241258528L, datetime.datetime(2013, 5, 25, 9, 18, 27), 0.00113040076824246, False, 'best']
['l_suza', 202580013, 'impression', '4', 241258561L, datetime.datetime(2013, 5, 25, 9, 18, 27), 0.0039392119453924, False, 'best']
['l_suza', 202580013, 'impression', '12', 241258705L, datetime.datetime(2013, 5, 25, 9, 18, 27), 0.00180045715530931, False, 'best']
