['papagel', 202572255, 'impression', '2', 241090852L, datetime.datetime(2013, 5, 27, 9, 14, 33), 0.424846945527184, False, 'best']
['papagel', 202572255, 'impression', '1', 241094215L, datetime.datetime(2013, 5, 27, 9, 14, 33), 0.534213402260029, False, 'best']
['papagel', 202572255, 'impression', '1', 241094215L, datetime.datetime(2013, 5, 27, 9, 17), 0.534213402260029, False, 'best']
['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 27, 9, 17), 0.325533127940592, False, 'best']
['papagel', 202572255, 'impression', '2', 241090852L, datetime.datetime(2013, 5, 27, 9, 17), 0.424846945527184, False, 'best']
['papagel', 202572255, 'impression', '6', 241132018L, datetime.datetime(2013, 5, 27, 9, 17), 0.162544790888167, False, 'best']
['papagel', 202572255, 'impression', '4', 241092883L, datetime.datetime(2013, 5, 27, 9, 17), 0.306284471225278, False, 'best']
['papagel', 202572255, 'impression', '7', 241101892L, datetime.datetime(2013, 5, 27, 9, 17), 0.0988740607057532, False, 'best']
['papagel', 202572255, 'impression', '5', 241092332L, datetime.datetime(2013, 5, 27, 9, 17), 0.304834236043886, False, 'best']

