['scottmacea', 202550938, 'impression', '18', 240652805L, datetime.datetime(2013, 5, 17, 19, 52, 30), 0.123517990488164, False, 'time']
['scottmacea', 202550938, 'impression', '18', 240652805L, datetime.datetime(2013, 5, 17, 19, 52, 48), 0.123517990488164, False, 'time']
['scottmacea', 202550938, 'impression', '18', 240652805L, datetime.datetime(2013, 5, 17, 19, 52, 48), 0.123517990488164, False, 'time']
['scottmacea', 202550938, 'expand_tile', '18', 240652805L, datetime.datetime(2013, 5, 17, 19, 52, 49), 0.123517990488164, False, 'time']
['scottmacea', 202550938, 'impression', '19', 240652724L, datetime.datetime(2013, 5, 17, 19, 53, 34), 0.0441036878987792, False, 'time']
['scottmacea', 202550938, 'impression', '19', 240652724L, datetime.datetime(2013, 5, 17, 19, 53, 34), 0.0441036878987792, False, 'time']
['scottmacea', 202550938, 'expand_tile', '19', 240652724L, datetime.datetime(2013, 5, 17, 19, 53, 35), 0.0441036878987792, False, 'time']
['scottmacea', 202550938, 'impression', '20', 240652692L, datetime.datetime(2013, 5, 17, 19, 54, 35), 0.224912568483777, False, 'time']
['scottmacea', 202550938, 'shortlist', '20', 240652692L, datetime.datetime(2013, 5, 17, 19, 54, 35), 0.224912568483777, False, 'time']
['scottmacea', 202550938, 'expand_tile', '20', 240652692L, datetime.datetime(2013, 5, 17, 19, 54, 35), 0.224912568483777, False, 'time']
['scottmacea', 202550938, 'impression', '1', 240654893L, datetime.datetime(2013, 5, 17, 19, 54, 50), 0.081531324130288, False, 'time']
['scottmacea', 202550938, 'impression', '2', 240654688L, datetime.datetime(2013, 5, 17, 19, 54, 50), 0.112345400760161, False, 'time']
['scottmacea', 202550938, 'impression', '3', 240654349L, datetime.datetime(2013, 5, 17, 19, 54, 50), 0.116898951137757, False, 'time']
['scottmacea', 202550938, 'impression', '7', 240653903L, datetime.datetime(2013, 5, 17, 19, 54, 50), 0.219958057450453, False, 'time']
['scottmacea', 202550938, 'impression', '8', 240653561L, datetime.datetime(2013, 5, 17, 19, 54, 50), 0.178042948902462, False, 'time']
['scottmacea', 202550938, 'impression', '9', 240653112L, datetime.datetime(2013, 5, 17, 19, 54, 50), 0.0530416457187257, False, 'time']
['scottmacea', 202550938, 'impression', '5', 240654311L, datetime.datetime(2013, 5, 17, 19, 54, 50), 0.110849892991976, False, 'time']
['scottmacea', 202550938, 'impression', '10', 240652952L, datetime.datetime(2013, 5, 17, 19, 54, 50), 0.0840319564758249, False, 'time']
['scottmacea', 202550938, 'impression', '6', 240654060L, datetime.datetime(2013, 5, 17, 19, 54, 50), 0.044369291798996, False, 'time']
['scottmacea', 202550938, 'impression', '4', 240654328L, datetime.datetime(2013, 5, 17, 19, 54, 50), 0.268850917461229, False, 'time']
['scottmacea', 202550938, 'impression', '11', 240652868L, datetime.datetime(2013, 5, 17, 19, 54, 50), 0.155010714928309, False, 'time']
['scottmacea', 202550938, 'impression', '12', 240652860L, datetime.datetime(2013, 5, 17, 19, 54, 50), 0.0237565078784444, False, 'time']
['scottmacea', 202550938, 'impression', '13', 240652692L, datetime.datetime(2013, 5, 17, 19, 54, 50), 0.224912568483777, False, 'time']
['scottmacea', 202550938, 'impression', '2', 240654688L, datetime.datetime(2013, 5, 17, 19, 54, 51), 0.112345400760161, False, 'time']
['scottmacea', 202550938, 'expand_tile', '1', 240654893L, datetime.datetime(2013, 5, 17, 19, 54, 55), 0.081531324130288, False, 'time']
['scottmacea', 202550938, 'impression', '1', 240654893L, datetime.datetime(2013, 5, 17, 19, 55, 29), 0.081531324130288, False, 'time']
['scottmacea', 202550938, 'impression', '1', 240654893L, datetime.datetime(2013, 5, 17, 19, 55, 30), 0.081531324130288, False, 'time']
['scottmacea', 202550938, 'expand_tile', '1', 240654893L, datetime.datetime(2013, 5, 17, 19, 55, 30), 0.081531324130288, False, 'time']
['scottmacea', 202550938, 'impression', '2', 240654688L, datetime.datetime(2013, 5, 17, 19, 55, 30), 0.112345400760161, False, 'time']
['scottmacea', 202550938, 'impression', '2', 240654688L, datetime.datetime(2013, 5, 17, 19, 55, 47), 0.112345400760161, False, 'time']
['scottmacea', 202550938, 'impression', '2', 240654688L, datetime.datetime(2013, 5, 17, 19, 55, 47), 0.112345400760161, False, 'time']
['scottmacea', 202550938, 'expand_tile', '3', 240654349L, datetime.datetime(2013, 5, 17, 19, 55, 49), 0.116898951137757, False, 'time']
['scottmacea', 202550938, 'impression', '3', 240654349L, datetime.datetime(2013, 5, 17, 19, 56, 20), 0.116898951137757, False, 'time']
['scottmacea', 202550938, 'expand_tile', '3', 240654349L, datetime.datetime(2013, 5, 17, 19, 56, 21), 0.116898951137757, False, 'time']
['scottmacea', 202550938, 'impression', '3', 240654349L, datetime.datetime(2013, 5, 17, 19, 56, 21), 0.116898951137757, False, 'time']
['scottmacea', 202550938, 'impression', '4', 240654328L, datetime.datetime(2013, 5, 17, 19, 56, 21), 0.268850917461229, False, 'time']
['scottmacea', 202550938, 'expand_tile', '4', 240654328L, datetime.datetime(2013, 5, 17, 19, 56, 23), 0.268850917461229, False, 'time']
['scottmacea', 202550938, 'impression', '4', 240654328L, datetime.datetime(2013, 5, 17, 19, 57, 6), 0.268850917461229, False, 'time']
['scottmacea', 202550938, 'impression', '4', 240654328L, datetime.datetime(2013, 5, 17, 19, 57, 6), 0.268850917461229, False, 'time']
['scottmacea', 202550938, 'expand_tile', '4', 240654328L, datetime.datetime(2013, 5, 17, 19, 57, 7), 0.268850917461229, False, 'time']
['scottmacea', 202550938, 'expand_tile', '5', 240654311L, datetime.datetime(2013, 5, 17, 19, 57, 10), 0.110849892991976, False, 'time']
['scottmacea', 202550938, 'impression', '5', 240654311L, datetime.datetime(2013, 5, 17, 19, 57, 54), 0.110849892991976, False, 'time']
['scottmacea', 202550938, 'impression', '5', 240654311L, datetime.datetime(2013, 5, 17, 19, 57, 54), 0.110849892991976, False, 'time']
['scottmacea', 202550938, 'impression', '6', 240654060L, datetime.datetime(2013, 5, 17, 19, 57, 55), 0.044369291798996, False, 'time']
['scottmacea', 202550938, 'expand_tile', '5', 240654311L, datetime.datetime(2013, 5, 17, 19, 57, 55), 0.110849892991976, False, 'time']
['scottmacea', 202550938, 'expand_tile', '6', 240654060L, datetime.datetime(2013, 5, 17, 19, 57, 56), 0.044369291798996, False, 'time']
['scottmacea', 202550938, 'impression', '6', 240654060L, datetime.datetime(2013, 5, 17, 19, 58, 58), 0.044369291798996, False, 'time']
['scottmacea', 202550938, 'impression', '6', 240654060L, datetime.datetime(2013, 5, 17, 19, 58, 59), 0.044369291798996, False, 'time']
['scottmacea', 202550938, 'expand_tile', '6', 240654060L, datetime.datetime(2013, 5, 17, 19, 58, 59), 0.044369291798996, False, 'time']
['scottmacea', 202550938, 'expand_tile', '7', 240653903L, datetime.datetime(2013, 5, 17, 19, 59), 0.219958057450453, False, 'time']
['scottmacea', 202550938, 'collapse_tile', '7', 240653903L, datetime.datetime(2013, 5, 17, 19, 59, 5), 0.219958057450453, False, 'time']
['scottmacea', 202550938, 'expand_tile', '7', 240653903L, datetime.datetime(2013, 5, 17, 19, 59, 7), 0.219958057450453, False, 'time']
['scottmacea', 202550938, 'collapse_tile', '7', 240653903L, datetime.datetime(2013, 5, 17, 19, 59, 9), 0.219958057450453, False, 'time']
['scottmacea', 202550938, 'expand_tile', '7', 240653903L, datetime.datetime(2013, 5, 17, 19, 59, 11), 0.219958057450453, False, 'time']
['scottmacea', 202550938, 'shortlist', '7', 240653903L, datetime.datetime(2013, 5, 17, 20, 0, 6), 0.219958057450453, False, 'time']
['scottmacea', 202550938, 'expand_tile', '7', 240653903L, datetime.datetime(2013, 5, 17, 20, 0, 6), 0.219958057450453, False, 'time']
['scottmacea', 202550938, 'impression', '6', 240652868L, datetime.datetime(2013, 5, 17, 20, 0, 17), 0.155010714928309, False, 'time']
['scottmacea', 202550938, 'impression', '7', 240652860L, datetime.datetime(2013, 5, 17, 20, 0, 17), 0.0237565078784444, False, 'time']
['scottmacea', 202550938, 'impression', '8', 240652692L, datetime.datetime(2013, 5, 17, 20, 0, 17), 0.224912568483777, False, 'time']
['scottmacea', 202550938, 'impression', '5', 240652952L, datetime.datetime(2013, 5, 17, 20, 0, 17), 0.0840319564758249, False, 'time']
['scottmacea', 202550938, 'impression', '2', 240653903L, datetime.datetime(2013, 5, 17, 20, 0, 17), 0.219958057450453, False, 'time']
['scottmacea', 202550938, 'impression', '4', 240653112L, datetime.datetime(2013, 5, 17, 20, 0, 17), 0.0530416457187257, False, 'time']
['scottmacea', 202550938, 'impression', '3', 240653561L, datetime.datetime(2013, 5, 17, 20, 0, 17), 0.178042948902462, False, 'time']
['scottmacea', 202550938, 'impression', '1', 240655236L, datetime.datetime(2013, 5, 17, 20, 0, 17), 0.221705061939086, False, 'time']
