['supportmycomp', 202538813, 'impression', '17', 240407383L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0585460211933621, False, 'time']
['supportmycomp', 202538813, 'impression', '8', 240417065L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0749892359558958, False, 'time']
['supportmycomp', 202538813, 'impression', '9', 240416691L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0832136324308416, False, 'time']
['supportmycomp', 202538813, 'impression', '4', 240434469L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.03082097588123, False, 'time']
['supportmycomp', 202538813, 'impression', '15', 240409643L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0149494517178478, False, 'time']
['supportmycomp', 202538813, 'impression', '18', 240407318L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.10139350261272, False, 'time']
['supportmycomp', 202538813, 'impression', '10', 240414285L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0026613099377875, False, 'time']
['supportmycomp', 202538813, 'impression', '14', 240410562L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0599091491703874, False, 'time']
['supportmycomp', 202538813, 'impression', '6', 240421287L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0149474423364498, False, 'time']
['supportmycomp', 202538813, 'impression', '3', 240435824L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0637842593112629, False, 'time']
['supportmycomp', 202538813, 'impression', '11', 240412463L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0232475633397953, False, 'time']
['supportmycomp', 202538813, 'impression', '7', 240420978L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0123981893197843, False, 'time']
['supportmycomp', 202538813, 'impression', '12', 240411905L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0112793957042023, False, 'time']
['supportmycomp', 202538813, 'impression', '18', 240407318L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.10139350261272, False, 'time']
['supportmycomp', 202538813, 'impression', '14', 240410562L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0599091491703874, False, 'time']
['supportmycomp', 202538813, 'impression', '10', 240414285L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0026613099377875, False, 'time']
['supportmycomp', 202538813, 'impression', '15', 240409643L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0149494517178478, False, 'time']
['supportmycomp', 202538813, 'impression', '4', 240434469L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.03082097588123, False, 'time']
['supportmycomp', 202538813, 'impression', '9', 240416691L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0832136324308416, False, 'time']
['supportmycomp', 202538813, 'impression', '8', 240417065L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0749892359558958, False, 'time']
['supportmycomp', 202538813, 'impression', '17', 240407383L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0585460211933621, False, 'time']
['supportmycomp', 202538813, 'impression', '16', 240409010L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0304526894060081, False, 'time']
['supportmycomp', 202538813, 'impression', '6', 240421287L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0149474423364498, False, 'time']
['supportmycomp', 202538813, 'impression', '20', 240403977L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0926244334756401, False, 'time']
['supportmycomp', 202538813, 'impression', '19', 240404539L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.00509458112963209, False, 'time']
['supportmycomp', 202538813, 'impression', '2', 240439126L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0221051850981452, False, 'time']
['supportmycomp', 202538813, 'impression', '1', 240447321L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0155918183176049, False, 'time']
['supportmycomp', 202538813, 'impression', '5', 240432348L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.0165508177106349, False, 'time']
['supportmycomp', 202538813, 'impression', '13', 240411789L, datetime.datetime(2013, 5, 15, 12, 8, 44), 0.031555930326049, False, 'time']
['supportmycomp', 202538813, 'impression', '4', 240435824L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0637842593112629, False, 'time']
['supportmycomp', 202538813, 'impression', '13', 240411905L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0112793957042023, False, 'time']
['supportmycomp', 202538813, 'impression', '8', 240420978L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0123981893197843, False, 'time']
['supportmycomp', 202538813, 'impression', '12', 240412463L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0232475633397953, False, 'time']
['supportmycomp', 202538813, 'impression', '7', 240421287L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0149474423364498, False, 'time']
['supportmycomp', 202538813, 'impression', '20', 240404539L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.00509458112963209, False, 'time']
['supportmycomp', 202538813, 'impression', '3', 240439126L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0221051850981452, False, 'time']
['supportmycomp', 202538813, 'impression', '17', 240409010L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0304526894060081, False, 'time']
['supportmycomp', 202538813, 'impression', '10', 240416691L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0832136324308416, False, 'time']
['supportmycomp', 202538813, 'impression', '18', 240407383L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0585460211933621, False, 'time']
['supportmycomp', 202538813, 'impression', '9', 240417065L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0749892359558958, False, 'time']
['supportmycomp', 202538813, 'impression', '5', 240434469L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.03082097588123, False, 'time']
['supportmycomp', 202538813, 'impression', '1', 240449537L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0250200545760151, False, 'time']
['supportmycomp', 202538813, 'impression', '14', 240411789L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.031555930326049, False, 'time']
['supportmycomp', 202538813, 'impression', '2', 240447321L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0155918183176049, False, 'time']
['supportmycomp', 202538813, 'impression', '6', 240432348L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0165508177106349, False, 'time']
['supportmycomp', 202538813, 'impression', '15', 240410562L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0599091491703874, False, 'time']
['supportmycomp', 202538813, 'impression', '16', 240409643L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0149494517178478, False, 'time']
['supportmycomp', 202538813, 'impression', '19', 240407318L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.10139350261272, False, 'time']
['supportmycomp', 202538813, 'impression', '11', 240414285L, datetime.datetime(2013, 5, 15, 12, 12, 17), 0.0026613099377875, False, 'time']

['supportmycomp', 202538813, 'impression', '13', 240411789L, datetime.datetime(2013, 5, 15, 15, 11, 9), 0.031555930326049, False, 'time']
['supportmycomp', 202538813, 'impression', '1', 240449537L, datetime.datetime(2013, 5, 15, 15, 11, 9), 0.0250200545760151, False, 'time']
['supportmycomp', 202538813, 'impression', '18', 240407318L, datetime.datetime(2013, 5, 15, 15, 11, 9), 0.10139350261272, False, 'time']
['supportmycomp', 202538813, 'impression', '10', 240414285L, datetime.datetime(2013, 5, 15, 15, 11, 9), 0.0026613099377875, False, 'time']
['supportmycomp', 202538813, 'impression', '15', 240409643L, datetime.datetime(2013, 5, 15, 15, 11, 9), 0.0149494517178478, False, 'time']
['supportmycomp', 202538813, 'impression', '14', 240410562L, datetime.datetime(2013, 5, 15, 15, 11, 9), 0.0599091491703874, False, 'time']
['supportmycomp', 202538813, 'impression', '7', 240420978L, datetime.datetime(2013, 5, 15, 15, 11, 9), 0.0123981893197843, False, 'time']
['supportmycomp', 202538813, 'impression', '11', 240412463L, datetime.datetime(2013, 5, 15, 15, 11, 9), 0.0232475633397953, False, 'time']
['supportmycomp', 202538813, 'impression', '12', 240411905L, datetime.datetime(2013, 5, 15, 15, 11, 9), 0.0112793957042023, False, 'time']
['supportmycomp', 202538813, 'impression', '3', 240435824L, datetime.datetime(2013, 5, 15, 15, 11, 9), 0.0637842593112629, False, 'time']
['supportmycomp', 202538813, 'impression', '5', 240432348L, datetime.datetime(2013, 5, 15, 15, 11, 9), 0.0165508177106349, False, 'time']
