['astroboy123', 202568019, 'view_full_application_via_name', '2', 241085266L, datetime.datetime(2013, 5, 23, 9, 34, 54), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'view_full_application_via_name', '2', 241085266L, datetime.datetime(2013, 5, 23, 9, 34, 56), 0.132560543167905, False, 'time']

['astroboy123', 202568019, 'impression', '6', 241018514L, datetime.datetime(2013, 5, 23, 18, 57, 2), 0.0259979949688074, False, 'time']
['astroboy123', 202568019, 'impression', '8', 241014448L, datetime.datetime(2013, 5, 23, 18, 57, 2), 0.07157454499178, False, 'time']
['astroboy123', 202568019, 'impression', '1', 241086211L, datetime.datetime(2013, 5, 23, 18, 57, 2), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'impression', '7', 241014596L, datetime.datetime(2013, 5, 23, 18, 57, 2), 0.0203257409239421, False, 'time']
['astroboy123', 202568019, 'impression', '11', 241013602L, datetime.datetime(2013, 5, 23, 18, 57, 2), 0.0216296254510617, False, 'time']
['astroboy123', 202568019, 'impression', '5', 241022481L, datetime.datetime(2013, 5, 23, 18, 57, 2), 0.01242466622842, False, 'time']
['astroboy123', 202568019, 'impression', '2', 241085266L, datetime.datetime(2013, 5, 23, 18, 57, 2), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'impression', '10', 241014215L, datetime.datetime(2013, 5, 23, 18, 57, 2), 0.0599966137592486, False, 'time']
['astroboy123', 202568019, 'impression', '4', 241036478L, datetime.datetime(2013, 5, 23, 18, 57, 2), 0.0523592555670619, False, 'time']
['astroboy123', 202568019, 'impression', '9', 241014331L, datetime.datetime(2013, 5, 23, 18, 57, 2), 0.0669857186596949, False, 'time']
['astroboy123', 202568019, 'impression', '3', 241085211L, datetime.datetime(2013, 5, 23, 18, 57, 2), 0.0189279665099872, False, 'time']

['astroboy123', 202568019, 'impression', '13', 241013602L, datetime.datetime(2013, 5, 25, 13, 18, 32), 0.0216296254510617, False, 'time']
['astroboy123', 202568019, 'impression', '7', 241022481L, datetime.datetime(2013, 5, 25, 13, 18, 32), 0.01242466622842, False, 'time']
['astroboy123', 202568019, 'impression', '5', 241085211L, datetime.datetime(2013, 5, 25, 13, 18, 32), 0.0189279665099872, False, 'time']
['astroboy123', 202568019, 'impression', '11', 241014331L, datetime.datetime(2013, 5, 25, 13, 18, 32), 0.0669857186596949, False, 'time']
['astroboy123', 202568019, 'impression', '12', 241014215L, datetime.datetime(2013, 5, 25, 13, 18, 32), 0.0599966137592486, False, 'time']
['astroboy123', 202568019, 'impression', '4', 241085266L, datetime.datetime(2013, 5, 25, 13, 18, 32), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'impression', '1', 241168556L, datetime.datetime(2013, 5, 25, 13, 18, 32), 0.032237539113573, False, 'time']
['astroboy123', 202568019, 'impression', '10', 241014448L, datetime.datetime(2013, 5, 25, 13, 18, 32), 0.07157454499178, False, 'time']
['astroboy123', 202568019, 'impression', '2', 241086211L, datetime.datetime(2013, 5, 25, 13, 18, 32), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'impression', '9', 241014596L, datetime.datetime(2013, 5, 25, 13, 18, 32), 0.0203257409239421, False, 'time']
['astroboy123', 202568019, 'impression', '3', 241085712L, datetime.datetime(2013, 5, 25, 13, 18, 32), 0.0199469401923491, True, 'time']
['astroboy123', 202568019, 'impression', '8', 241018514L, datetime.datetime(2013, 5, 25, 13, 18, 32), 0.0259979949688074, False, 'time']
['astroboy123', 202568019, 'impression', '6', 241036478L, datetime.datetime(2013, 5, 25, 13, 18, 32), 0.0523592555670619, False, 'time']
['astroboy123', 202568019, 'impression', '6', 241036478L, datetime.datetime(2013, 5, 25, 13, 20, 55), 0.0523592555670619, False, 'time']
