['heinevik', 202590486, 'impression', '5', 241509100L, datetime.datetime(2013, 5, 28, 19, 16, 50), 0.139383802829096, False, 'best']
['heinevik', 202590486, 'impression', '3', 241517218L, datetime.datetime(2013, 5, 28, 19, 16, 50), 0.154527831312407, False, 'best']
['heinevik', 202590486, 'impression', '6', 241506942L, datetime.datetime(2013, 5, 28, 19, 16, 50), 0.120768038064311, False, 'best']
['heinevik', 202590486, 'impression', '9', 241507453L, datetime.datetime(2013, 5, 28, 19, 16, 50), 0.0500072165782287, False, 'best']
['heinevik', 202590486, 'impression', '4', 241511914L, datetime.datetime(2013, 5, 28, 19, 16, 50), 0.147810545681926, False, 'best']
['heinevik', 202590486, 'hide', '1', 241506605L, datetime.datetime(2013, 5, 28, 19, 16, 51), 0.241882567014381, False, 'best']
['heinevik', 202590486, 'hide', '3', 241517218L, datetime.datetime(2013, 5, 28, 19, 16, 52), 0.154527831312407, False, 'best']
['heinevik', 202590486, 'hide', '5', 241509100L, datetime.datetime(2013, 5, 28, 19, 16, 53), 0.139383802829096, False, 'best']
['heinevik', 202590486, 'hide', '4', 241511914L, datetime.datetime(2013, 5, 28, 19, 16, 53), 0.147810545681926, False, 'best']
['heinevik', 202590486, 'hide', '6', 241506942L, datetime.datetime(2013, 5, 28, 19, 16, 54), 0.120768038064311, False, 'best']
['heinevik', 202590486, 'hide', '7', 241509809L, datetime.datetime(2013, 5, 28, 19, 16, 55), 0.103961198813112, False, 'best']
['heinevik', 202590486, 'hide', '8', 241513350L, datetime.datetime(2013, 5, 28, 19, 16, 55), 0.101540649750766, False, 'best']
['heinevik', 202590486, 'hide', '9', 241507453L, datetime.datetime(2013, 5, 28, 19, 16, 57), 0.0500072165782287, False, 'best']
['heinevik', 202590486, 'expand_tile', '2', 241501367L, datetime.datetime(2013, 5, 28, 19, 16, 58), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'hire', '2', 241501367L, datetime.datetime(2013, 5, 28, 19, 17, 1), 0.232960498460517, True, 'best']

