['ally_c', 202559141, 'hide', '15', 240851156L, datetime.datetime(2013, 5, 21, 0, 30, 8), 0.233711268840892, False, 'best']
['ally_c', 202559141, 'hide', '16', 240845623L, datetime.datetime(2013, 5, 21, 0, 30, 9), 0.21278740526232, False, 'best']
['ally_c', 202559141, 'hide', '17', 240857896L, datetime.datetime(2013, 5, 21, 0, 30, 9), 0.207913207076781, False, 'best']
['ally_c', 202559141, 'hide', '18', 240846821L, datetime.datetime(2013, 5, 21, 0, 30, 10), 0.198488398197125, False, 'best']
['ally_c', 202559141, 'hide', '19', 240865898L, datetime.datetime(2013, 5, 21, 0, 30, 11), 0.197709357160471, False, 'best']
['ally_c', 202559141, 'hide', '20', 240851211L, datetime.datetime(2013, 5, 21, 0, 30, 12), 0.195737798142538, False, 'best']
['ally_c', 202559141, 'hide', '21', 240853530L, datetime.datetime(2013, 5, 21, 0, 30, 15), 0.19228312605196, False, 'best']
['ally_c', 202559141, 'hide', '22', 240856329L, datetime.datetime(2013, 5, 21, 0, 30, 16), 0.173422383575733, False, 'best']
['ally_c', 202559141, 'hide', '23', 240849567L, datetime.datetime(2013, 5, 21, 0, 30, 18), 0.169529004979453, False, 'best']
['ally_c', 202559141, 'hide', '24', 240844995L, datetime.datetime(2013, 5, 21, 0, 30, 22), 0.16736171554064, False, 'best']
['ally_c', 202559141, 'hide', '25', 240847238L, datetime.datetime(2013, 5, 21, 0, 30, 23), 0.150958771120001, False, 'best']
['ally_c', 202559141, 'hide', '26', 240866980L, datetime.datetime(2013, 5, 21, 0, 30, 24), 0.126977712617618, False, 'best']
['ally_c', 202559141, 'hide', '27', 240844897L, datetime.datetime(2013, 5, 21, 0, 30, 25), 0.11119967326062, False, 'best']
['ally_c', 202559141, 'hide', '28', 240846370L, datetime.datetime(2013, 5, 21, 0, 30, 27), 0.109734562908815, False, 'best']
['ally_c', 202559141, 'hide', '29', 240853234L, datetime.datetime(2013, 5, 21, 0, 30, 28), 0.108052269670657, False, 'best']
['ally_c', 202559141, 'hide', '30', 240845712L, datetime.datetime(2013, 5, 21, 0, 30, 31), 0.0727836886274719, False, 'best']
['ally_c', 202559141, 'hide', '31', 240849841L, datetime.datetime(2013, 5, 21, 0, 30, 32), 0.0709418805200411, False, 'best']
['ally_c', 202559141, 'hide', '32', 240843072L, datetime.datetime(2013, 5, 21, 0, 30, 34), 0.0490074915948664, False, 'best']

