['bookturtle', 202546496, 'impression', '4', 240562221L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.107725786809943, False, 'best']
['bookturtle', 202546496, 'impression', '8', 240562293L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.0564482929101726, False, 'best']
['bookturtle', 202546496, 'impression', '15', 240562568L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.166433783385221, False, 'best']
['bookturtle', 202546496, 'impression', '3', 240562195L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.142522828153402, False, 'best']
['bookturtle', 202546496, 'impression', '20', 240562648L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.119817357098723, False, 'best']
['bookturtle', 202546496, 'impression', '14', 240562512L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.0336906385102733, False, 'best']
['bookturtle', 202546496, 'impression', '12', 240562371L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.148606012303913, False, 'best']
['bookturtle', 202546496, 'impression', '5', 240562267L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.0514304483725979, False, 'best']
['bookturtle', 202546496, 'impression', '19', 240562640L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.0670307832990601, False, 'best']
['bookturtle', 202546496, 'impression', '17', 240562581L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.0976604833504544, False, 'best']
['bookturtle', 202546496, 'impression', '10', 240562322L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.122444917909442, False, 'best']
['bookturtle', 202546496, 'impression', '2', 240562071L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.147518590809199, False, 'best']
['bookturtle', 202546496, 'impression', '1', 240562001L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.102798311731546, False, 'best']
['bookturtle', 202546496, 'impression', '9', 240562304L, datetime.datetime(2013, 5, 17, 3, 53, 34), 0.0505880849615966, False, 'best']
['bookturtle', 202546496, 'expand_tile', '1', 240562001L, datetime.datetime(2013, 5, 17, 3, 53, 36), 0.102798311731546, False, 'best']
['bookturtle', 202546496, 'send_message', '1', 240562001L, datetime.datetime(2013, 5, 17, 3, 53, 50), 0.102798311731546, False, 'best']
['bookturtle', 202546496, 'expand_tile', '1', 240562001L, datetime.datetime(2013, 5, 17, 3, 54, 11), 0.102798311731546, False, 'best']
['bookturtle', 202546496, 'shortlist', '1', 240562001L, datetime.datetime(2013, 5, 17, 3, 54, 12), 0.102798311731546, False, 'best']
['bookturtle', 202546496, 'expand_tile', '1', 240562001L, datetime.datetime(2013, 5, 17, 3, 54, 12), 0.102798311731546, False, 'best']
['bookturtle', 202546496, 'expand_tile', '2', 240562071L, datetime.datetime(2013, 5, 17, 3, 54, 15), 0.147518590809199, False, 'best']
['bookturtle', 202546496, 'expand_tile', '4', 240562221L, datetime.datetime(2013, 5, 17, 3, 54, 32), 0.107725786809943, False, 'best']
['bookturtle', 202546496, 'expand_tile', '4', 240562221L, datetime.datetime(2013, 5, 17, 3, 54, 35), 0.107725786809943, False, 'best']
['bookturtle', 202546496, 'shortlist', '4', 240562221L, datetime.datetime(2013, 5, 17, 3, 54, 35), 0.107725786809943, False, 'best']
['bookturtle', 202546496, 'send_message', '4', 240562221L, datetime.datetime(2013, 5, 17, 3, 54, 36), 0.107725786809943, False, 'best']
['bookturtle', 202546496, 'expand_tile', '4', 240562221L, datetime.datetime(2013, 5, 17, 3, 54, 41), 0.107725786809943, False, 'best']
['bookturtle', 202546496, 'expand_tile', '5', 240562267L, datetime.datetime(2013, 5, 17, 3, 54, 46), 0.0514304483725979, False, 'best']
['bookturtle', 202546496, 'impression', '5', 240562267L, datetime.datetime(2013, 5, 17, 3, 54, 47), 0.0514304483725979, False, 'best']
['bookturtle', 202546496, 'expand_tile', '5', 240562267L, datetime.datetime(2013, 5, 17, 3, 54, 48), 0.0514304483725979, False, 'best']
['bookturtle', 202546496, 'impression', '6', 240562270L, datetime.datetime(2013, 5, 17, 3, 54, 48), 0.0197517371255219, False, 'best']
['bookturtle', 202546496, 'expand_tile', '6', 240562270L, datetime.datetime(2013, 5, 17, 3, 54, 50), 0.0197517371255219, False, 'best']
['bookturtle', 202546496, 'collapse_tile', '6', 240562270L, datetime.datetime(2013, 5, 17, 3, 55, 3), 0.0197517371255219, False, 'best']
['bookturtle', 202546496, 'view_full_application_via_name', '6', 240562270L, datetime.datetime(2013, 5, 17, 3, 55, 4), 0.0197517371255219, False, 'best']
['bookturtle', 202546496, 'impression', '5', 240562270L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.0197517371255219, False, 'best']
['bookturtle', 202546496, 'impression', '8', 240562304L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.0505880849615966, False, 'best']
['bookturtle', 202546496, 'impression', '1', 240562001L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.102798311731546, False, 'best']
['bookturtle', 202546496, 'impression', '20', 240562675L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.191993848451026, False, 'best']
['bookturtle', 202546496, 'impression', '10', 240562364L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.0842272631297165, False, 'best']
['bookturtle', 202546496, 'impression', '15', 240562575L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.106675957094998, False, 'best']
['bookturtle', 202546496, 'impression', '19', 240562648L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.119817357098723, False, 'best']
['bookturtle', 202546496, 'impression', '18', 240562640L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.0670307832990601, False, 'best']
['bookturtle', 202546496, 'impression', '11', 240562371L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.148606012303913, False, 'best']
['bookturtle', 202546496, 'impression', '13', 240562512L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.0336906385102733, False, 'best']
['bookturtle', 202546496, 'impression', '14', 240562568L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.166433783385221, False, 'best']
['bookturtle', 202546496, 'impression', '3', 240562195L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.142522828153402, False, 'best']
['bookturtle', 202546496, 'impression', '4', 240562221L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.107725786809943, False, 'best']
['bookturtle', 202546496, 'impression', '7', 240562293L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.0564482929101726, False, 'best']
['bookturtle', 202546496, 'impression', '9', 240562322L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.122444917909442, False, 'best']
['bookturtle', 202546496, 'impression', '2', 240562071L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.147518590809199, False, 'best']
['bookturtle', 202546496, 'impression', '16', 240562581L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.0976604833504544, False, 'best']
['bookturtle', 202546496, 'impression', '12', 240562460L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.108045148147109, False, 'best']
['bookturtle', 202546496, 'impression', '6', 240562271L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.0603798686070532, False, 'best']
['bookturtle', 202546496, 'impression', '17', 240562636L, datetime.datetime(2013, 5, 17, 3, 55, 15), 0.180591806840665, False, 'best']
['bookturtle', 202546496, 'impression', '20', 240562675L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.191993848451026, False, 'best']
['bookturtle', 202546496, 'impression', '1', 240562001L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.102798311731546, False, 'best']
['bookturtle', 202546496, 'impression', '8', 240562304L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.0505880849615966, False, 'best']
['bookturtle', 202546496, 'impression', '12', 240562460L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.108045148147109, False, 'best']
['bookturtle', 202546496, 'impression', '6', 240562271L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.0603798686070532, False, 'best']
['bookturtle', 202546496, 'impression', '17', 240562636L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.180591806840665, False, 'best']
['bookturtle', 202546496, 'impression', '5', 240562270L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.0197517371255219, False, 'best']
['bookturtle', 202546496, 'impression', '15', 240562575L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.106675957094998, False, 'best']
['bookturtle', 202546496, 'impression', '10', 240562364L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.0842272631297165, False, 'best']
['bookturtle', 202546496, 'impression', '9', 240562322L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.122444917909442, False, 'best']
['bookturtle', 202546496, 'impression', '16', 240562581L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.0976604833504544, False, 'best']
['bookturtle', 202546496, 'impression', '2', 240562071L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.147518590809199, False, 'best']
['bookturtle', 202546496, 'impression', '7', 240562293L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.0564482929101726, False, 'best']
['bookturtle', 202546496, 'impression', '4', 240562221L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.107725786809943, False, 'best']
['bookturtle', 202546496, 'impression', '3', 240562195L, datetime.datetime(2013, 5, 17, 3, 55, 33), 0.142522828153402, False, 'best']
