['igino', 202564813, 'impression', '5', 240955523L, datetime.datetime(2013, 5, 26, 8, 4, 31), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '1', 240962838L, datetime.datetime(2013, 5, 26, 8, 4, 31), 0.0162052408259942, False, 'time']
['igino', 202564813, 'impression', '6', 240952293L, datetime.datetime(2013, 5, 26, 8, 4, 31), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '2', 240961905L, datetime.datetime(2013, 5, 26, 8, 4, 31), 0.0546884409539629, False, 'time']
['igino', 202564813, 'impression', '3', 240960819L, datetime.datetime(2013, 5, 26, 8, 4, 31), 0.0434803138874423, False, 'time']
['igino', 202564813, 'impression', '1', 240962838L, datetime.datetime(2013, 5, 26, 8, 4, 32), 0.0162052408259942, False, 'time']
['igino', 202564813, 'impression', '1', 240962838L, datetime.datetime(2013, 5, 26, 8, 4, 33), 0.0162052408259942, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '2', 240961905L, datetime.datetime(2013, 5, 26, 8, 4, 35), 0.0546884409539629, False, 'time']
['igino', 202564813, 'impression', '3', 240960587L, datetime.datetime(2013, 5, 26, 8, 8, 39), 0.0289796466407438, False, 'time']
['igino', 202564813, 'impression', '5', 240952293L, datetime.datetime(2013, 5, 26, 8, 8, 39), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '2', 240960819L, datetime.datetime(2013, 5, 26, 8, 8, 39), 0.0434803138874423, False, 'time']
['igino', 202564813, 'impression', '4', 240955523L, datetime.datetime(2013, 5, 26, 8, 8, 39), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '1', 240961905L, datetime.datetime(2013, 5, 26, 8, 8, 39), 0.0546884409539629, False, 'time']
['igino', 202564813, 'impression', '1', 240961905L, datetime.datetime(2013, 5, 26, 8, 8, 41), 0.0546884409539629, False, 'time']
['igino', 202564813, 'shortlist', '1', 240961905L, datetime.datetime(2013, 5, 26, 8, 8, 42), 0.0546884409539629, False, 'time']
['igino', 202564813, 'impression', '3', 240960587L, datetime.datetime(2013, 5, 26, 8, 9), 0.0289796466407438, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '2', 240960819L, datetime.datetime(2013, 5, 26, 8, 9, 1), 0.0434803138874423, False, 'time']
['igino', 202564813, 'impression', '5', 240952293L, datetime.datetime(2013, 5, 26, 8, 14, 8), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '4', 240955523L, datetime.datetime(2013, 5, 26, 8, 14, 8), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '2', 240960819L, datetime.datetime(2013, 5, 26, 8, 14, 8), 0.0434803138874423, False, 'time']
['igino', 202564813, 'impression', '1', 240961905L, datetime.datetime(2013, 5, 26, 8, 14, 8), 0.0546884409539629, False, 'time']
['igino', 202564813, 'impression', '3', 240960587L, datetime.datetime(2013, 5, 26, 8, 14, 8), 0.0289796466407438, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '2', 240960819L, datetime.datetime(2013, 5, 26, 8, 14, 11), 0.0434803138874423, False, 'time']
['igino', 202564813, 'impression', '2', 240960819L, datetime.datetime(2013, 5, 26, 8, 14, 32), 0.0434803138874423, False, 'time']
['igino', 202564813, 'impression', '1', 240961905L, datetime.datetime(2013, 5, 26, 8, 14, 32), 0.0546884409539629, False, 'time']
['igino', 202564813, 'impression', '5', 240952293L, datetime.datetime(2013, 5, 26, 8, 14, 32), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '4', 240955523L, datetime.datetime(2013, 5, 26, 8, 14, 32), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '3', 240960587L, datetime.datetime(2013, 5, 26, 8, 14, 32), 0.0289796466407438, False, 'time']
['igino', 202564813, 'impression', '1', 240961905L, datetime.datetime(2013, 5, 26, 8, 14, 43), 0.0546884409539629, False, 'time']
['igino', 202564813, 'impression', '1', 240961905L, datetime.datetime(2013, 5, 26, 8, 14, 44), 0.0546884409539629, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '3', 240960587L, datetime.datetime(2013, 5, 26, 8, 14, 53), 0.0289796466407438, False, 'time']
['igino', 202564813, 'impression', '2', 240960819L, datetime.datetime(2013, 5, 26, 8, 15, 45), 0.0434803138874423, False, 'time']
['igino', 202564813, 'impression', '4', 240955523L, datetime.datetime(2013, 5, 26, 8, 15, 45), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '5', 240952293L, datetime.datetime(2013, 5, 26, 8, 15, 45), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '1', 240961905L, datetime.datetime(2013, 5, 26, 8, 15, 45), 0.0546884409539629, False, 'time']
['igino', 202564813, 'impression', '3', 240960587L, datetime.datetime(2013, 5, 26, 8, 15, 45), 0.0289796466407438, False, 'time']
['igino', 202564813, 'impression', '3', 240960587L, datetime.datetime(2013, 5, 26, 8, 15, 47), 0.0289796466407438, False, 'time']
['igino', 202564813, 'impression', '3', 240960587L, datetime.datetime(2013, 5, 26, 8, 15, 48), 0.0289796466407438, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '4', 240955523L, datetime.datetime(2013, 5, 26, 8, 15, 51), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '4', 240952293L, datetime.datetime(2013, 5, 26, 8, 16, 15), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '1', 240961905L, datetime.datetime(2013, 5, 26, 8, 16, 15), 0.0546884409539629, False, 'time']
['igino', 202564813, 'impression', '3', 240955523L, datetime.datetime(2013, 5, 26, 8, 16, 15), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '2', 240960819L, datetime.datetime(2013, 5, 26, 8, 16, 15), 0.0434803138874423, False, 'time']
