['stuayre', 202587496, 'impression', '8', 241448249L, datetime.datetime(2013, 5, 28, 13, 59, 31), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '3', 241433328L, datetime.datetime(2013, 5, 28, 13, 59, 31), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '6', 241433535L, datetime.datetime(2013, 5, 28, 13, 59, 31), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '5', 241434240L, datetime.datetime(2013, 5, 28, 13, 59, 31), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'impression', '2', 241433226L, datetime.datetime(2013, 5, 28, 13, 59, 31), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '4', 241445834L, datetime.datetime(2013, 5, 28, 13, 59, 31), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '7', 241433962L, datetime.datetime(2013, 5, 28, 13, 59, 31), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '1', 241432673L, datetime.datetime(2013, 5, 28, 13, 59, 31), 0.481866329248799, True, 'best']

['stuayre', 202587496, 'impression', '8', 241448249L, datetime.datetime(2013, 5, 28, 14, 53, 2), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '1', 241432673L, datetime.datetime(2013, 5, 28, 14, 53, 2), 0.481866329248799, True, 'best']
['stuayre', 202587496, 'impression', '7', 241433962L, datetime.datetime(2013, 5, 28, 14, 53, 2), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '4', 241445834L, datetime.datetime(2013, 5, 28, 14, 53, 2), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '2', 241433226L, datetime.datetime(2013, 5, 28, 14, 53, 2), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '6', 241433535L, datetime.datetime(2013, 5, 28, 14, 53, 2), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '5', 241434240L, datetime.datetime(2013, 5, 28, 14, 53, 2), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'impression', '3', 241433328L, datetime.datetime(2013, 5, 28, 14, 53, 2), 0.309960506966705, False, 'best']

['stuayre', 202587496, 'impression', '6', 241433535L, datetime.datetime(2013, 5, 28, 15, 33, 27), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '5', 241434240L, datetime.datetime(2013, 5, 28, 15, 33, 27), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'impression', '3', 241433328L, datetime.datetime(2013, 5, 28, 15, 33, 27), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '8', 241448249L, datetime.datetime(2013, 5, 28, 15, 33, 27), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '4', 241445834L, datetime.datetime(2013, 5, 28, 15, 33, 27), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '7', 241433962L, datetime.datetime(2013, 5, 28, 15, 33, 27), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '1', 241432673L, datetime.datetime(2013, 5, 28, 15, 33, 27), 0.481866329248799, True, 'best']
['stuayre', 202587496, 'impression', '2', 241433226L, datetime.datetime(2013, 5, 28, 15, 33, 27), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '8', 241448249L, datetime.datetime(2013, 5, 28, 15, 38, 54), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '5', 241434240L, datetime.datetime(2013, 5, 28, 15, 38, 54), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'impression', '6', 241433535L, datetime.datetime(2013, 5, 28, 15, 38, 54), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '4', 241445834L, datetime.datetime(2013, 5, 28, 15, 38, 54), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '2', 241433226L, datetime.datetime(2013, 5, 28, 15, 38, 54), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '3', 241433328L, datetime.datetime(2013, 5, 28, 15, 38, 54), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '7', 241433962L, datetime.datetime(2013, 5, 28, 15, 38, 54), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '1', 241432673L, datetime.datetime(2013, 5, 28, 15, 38, 54), 0.481866329248799, True, 'best']

['stuayre', 202587496, 'impression', '4', 241445834L, datetime.datetime(2013, 5, 28, 20, 39, 33), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '8', 241448249L, datetime.datetime(2013, 5, 28, 20, 39, 33), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '7', 241433962L, datetime.datetime(2013, 5, 28, 20, 39, 33), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '1', 241432673L, datetime.datetime(2013, 5, 28, 20, 39, 33), 0.481866329248799, True, 'best']
['stuayre', 202587496, 'impression', '2', 241433226L, datetime.datetime(2013, 5, 28, 20, 39, 33), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '6', 241433535L, datetime.datetime(2013, 5, 28, 20, 39, 33), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '5', 241434240L, datetime.datetime(2013, 5, 28, 20, 39, 33), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'impression', '3', 241433328L, datetime.datetime(2013, 5, 28, 20, 39, 33), 0.309960506966705, False, 'best']

['stuayre', 202587496, 'impression', '3', 241445834L, datetime.datetime(2013, 5, 29, 6, 22, 2), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '6', 241433962L, datetime.datetime(2013, 5, 29, 6, 22, 2), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '1', 241432673L, datetime.datetime(2013, 5, 29, 6, 22, 2), 0.481866329248799, True, 'best']
['stuayre', 202587496, 'impression', '2', 241433226L, datetime.datetime(2013, 5, 29, 6, 22, 2), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '5', 241433535L, datetime.datetime(2013, 5, 29, 6, 22, 2), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '4', 241434240L, datetime.datetime(2013, 5, 29, 6, 22, 2), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'impression', '7', 241448249L, datetime.datetime(2013, 5, 29, 6, 22, 2), 0.192863111476489, False, 'best']

['stuayre', 202587496, 'impression', '7', 241448249L, datetime.datetime(2013, 5, 29, 11, 20, 19), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '2', 241433226L, datetime.datetime(2013, 5, 29, 11, 20, 19), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '3', 241445834L, datetime.datetime(2013, 5, 29, 11, 20, 19), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '6', 241433962L, datetime.datetime(2013, 5, 29, 11, 20, 19), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '1', 241432673L, datetime.datetime(2013, 5, 29, 11, 20, 19), 0.481866329248799, True, 'best']
['stuayre', 202587496, 'impression', '4', 241434240L, datetime.datetime(2013, 5, 29, 11, 20, 19), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'impression', '5', 241433535L, datetime.datetime(2013, 5, 29, 11, 20, 19), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'expand_tile', '1', 241432673L, datetime.datetime(2013, 5, 29, 11, 20, 53), 0.481866329248799, True, 'best']
['stuayre', 202587496, 'view_full_application', '1', 241432673L, datetime.datetime(2013, 5, 29, 11, 21), 0.481866329248799, True, 'best']
['stuayre', 202587496, 'impression', '3', 241445834L, datetime.datetime(2013, 5, 29, 11, 21, 30), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '2', 241433226L, datetime.datetime(2013, 5, 29, 11, 21, 30), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '1', 241432673L, datetime.datetime(2013, 5, 29, 11, 21, 30), 0.481866329248799, True, 'best']
['stuayre', 202587496, 'impression', '6', 241433962L, datetime.datetime(2013, 5, 29, 11, 21, 30), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '4', 241434240L, datetime.datetime(2013, 5, 29, 11, 21, 30), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'impression', '5', 241433535L, datetime.datetime(2013, 5, 29, 11, 21, 30), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '7', 241448249L, datetime.datetime(2013, 5, 29, 11, 21, 30), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'expand_tile', '1', 241432673L, datetime.datetime(2013, 5, 29, 11, 21, 32), 0.481866329248799, True, 'best']
['stuayre', 202587496, 'view_full_application_via_name', '1', 241432673L, datetime.datetime(2013, 5, 29, 11, 21, 38), 0.481866329248799, True, 'best']
['stuayre', 202587496, 'impression', '2', 241445834L, datetime.datetime(2013, 5, 29, 11, 24, 46), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '6', 241448249L, datetime.datetime(2013, 5, 29, 11, 24, 46), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '5', 241433962L, datetime.datetime(2013, 5, 29, 11, 24, 46), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '1', 241433226L, datetime.datetime(2013, 5, 29, 11, 24, 46), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '4', 241433535L, datetime.datetime(2013, 5, 29, 11, 24, 46), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '3', 241434240L, datetime.datetime(2013, 5, 29, 11, 24, 46), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'expand_tile', '3', 241434240L, datetime.datetime(2013, 5, 29, 11, 24, 49), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'hire', '3', 241434240L, datetime.datetime(2013, 5, 29, 11, 24, 53), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'impression', '2', 241445834L, datetime.datetime(2013, 5, 29, 11, 25, 23), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '5', 241448249L, datetime.datetime(2013, 5, 29, 11, 25, 23), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '4', 241433962L, datetime.datetime(2013, 5, 29, 11, 25, 23), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '3', 241433535L, datetime.datetime(2013, 5, 29, 11, 25, 23), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '1', 241433226L, datetime.datetime(2013, 5, 29, 11, 25, 23), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'expand_tile', '2', 241445834L, datetime.datetime(2013, 5, 29, 11, 25, 33), 0.304712804121579, False, 'best']

['stuayre', 202587496, 'impression', '1', 241433226L, datetime.datetime(2013, 5, 29, 15, 37, 35), 0.327950282311959, False, 'best']
