['delsnyc', 202576006, 'impression', '5', 241161928L, datetime.datetime(2013, 5, 25, 18, 27, 13), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'impression', '3', 241169685L, datetime.datetime(2013, 5, 25, 18, 27, 13), 0.028724207229166, False, 'time']
['delsnyc', 202576006, 'impression', '4', 241161964L, datetime.datetime(2013, 5, 25, 18, 27, 13), 0.0543224086595552, False, 'time']
['delsnyc', 202576006, 'impression', '1', 241204865L, datetime.datetime(2013, 5, 25, 18, 27, 13), 0.133314819503137, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241169787L, datetime.datetime(2013, 5, 25, 18, 27, 13), 0.111108913518935, False, 'time']
['delsnyc', 202576006, 'expand_tile', '5', 241161928L, datetime.datetime(2013, 5, 25, 18, 27, 27), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'view_full_application_via_name', '5', 241161928L, datetime.datetime(2013, 5, 25, 18, 27, 38), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'impression', '1', 241204865L, datetime.datetime(2013, 5, 25, 18, 42, 57), 0.133314819503137, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241169787L, datetime.datetime(2013, 5, 25, 18, 42, 57), 0.111108913518935, False, 'time']
['delsnyc', 202576006, 'impression', '3', 241169685L, datetime.datetime(2013, 5, 25, 18, 42, 57), 0.028724207229166, False, 'time']
['delsnyc', 202576006, 'impression', '5', 241161928L, datetime.datetime(2013, 5, 25, 18, 42, 57), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'impression', '4', 241161964L, datetime.datetime(2013, 5, 25, 18, 42, 57), 0.0543224086595552, False, 'time']
['delsnyc', 202576006, 'view_full_application_via_name', '1', 241204865L, datetime.datetime(2013, 5, 25, 18, 43, 26), 0.133314819503137, False, 'time']

