['nandcgraphics', 202572705, 'expand_tile', '1', 241120185L, datetime.datetime(2013, 5, 23, 17, 28, 1), 0.144181453437087, False, 'time']
['nandcgraphics', 202572705, 'view_full_application', '1', 241120185L, datetime.datetime(2013, 5, 23, 17, 28, 29), 0.144181453437087, False, 'time']

['nandcgraphics', 202572705, 'impression', '4', 241110549L, datetime.datetime(2013, 5, 24, 7, 40, 45), 0.180206735557423, True, 'time']
['nandcgraphics', 202572705, 'impression', '2', 241120185L, datetime.datetime(2013, 5, 24, 7, 40, 45), 0.144181453437087, False, 'time']
['nandcgraphics', 202572705, 'impression', '7', 241104222L, datetime.datetime(2013, 5, 24, 7, 40, 45), 0.0884982126424957, False, 'time']
['nandcgraphics', 202572705, 'impression', '1', 241143000L, datetime.datetime(2013, 5, 24, 7, 40, 45), 0.40273608338425, True, 'time']
['nandcgraphics', 202572705, 'impression', '6', 241106780L, datetime.datetime(2013, 5, 24, 7, 40, 45), 0.0297714876156376, False, 'time']
['nandcgraphics', 202572705, 'impression', '5', 241107261L, datetime.datetime(2013, 5, 24, 7, 40, 45), 0.121942495563399, False, 'time']
['nandcgraphics', 202572705, 'impression', '8', 241104069L, datetime.datetime(2013, 5, 24, 7, 40, 45), 0.152998351819428, False, 'time']
['nandcgraphics', 202572705, 'impression', '3', 241113411L, datetime.datetime(2013, 5, 24, 7, 40, 45), 0.228504288330072, False, 'time']
['nandcgraphics', 202572705, 'impression', '9', 241103147L, datetime.datetime(2013, 5, 24, 7, 40, 45), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'expand_tile', '1', 241143000L, datetime.datetime(2013, 5, 24, 7, 40, 57), 0.40273608338425, True, 'time']
['nandcgraphics', 202572705, 'view_full_application', '1', 241143000L, datetime.datetime(2013, 5, 24, 7, 41, 10), 0.40273608338425, True, 'time']
['nandcgraphics', 202572705, 'expand_tile', '4', 241110549L, datetime.datetime(2013, 5, 24, 7, 41, 14), 0.180206735557423, True, 'time']
['nandcgraphics', 202572705, 'hire', '4', 241110549L, datetime.datetime(2013, 5, 24, 7, 41, 22), 0.180206735557423, True, 'time']
['nandcgraphics', 202572705, 'impression', '8', 241103147L, datetime.datetime(2013, 5, 24, 8, 1, 50), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'impression', '4', 241107261L, datetime.datetime(2013, 5, 24, 8, 1, 50), 0.121942495563399, False, 'time']
['nandcgraphics', 202572705, 'impression', '3', 241113411L, datetime.datetime(2013, 5, 24, 8, 1, 50), 0.228504288330072, False, 'time']
['nandcgraphics', 202572705, 'impression', '7', 241104069L, datetime.datetime(2013, 5, 24, 8, 1, 50), 0.152998351819428, False, 'time']
['nandcgraphics', 202572705, 'impression', '1', 241143000L, datetime.datetime(2013, 5, 24, 8, 1, 50), 0.40273608338425, True, 'time']
['nandcgraphics', 202572705, 'impression', '2', 241120185L, datetime.datetime(2013, 5, 24, 8, 1, 50), 0.144181453437087, False, 'time']
['nandcgraphics', 202572705, 'impression', '6', 241104222L, datetime.datetime(2013, 5, 24, 8, 1, 50), 0.0884982126424957, False, 'time']
['nandcgraphics', 202572705, 'impression', '5', 241106780L, datetime.datetime(2013, 5, 24, 8, 1, 50), 0.0297714876156376, False, 'time']
['nandcgraphics', 202572705, 'view_full_application_via_name', '1', 241143000L, datetime.datetime(2013, 5, 24, 8, 2, 10), 0.40273608338425, True, 'time']

['nandcgraphics', 202572705, 'impression', '6', 241104069L, datetime.datetime(2013, 5, 24, 17, 26, 56), 0.152998351819428, False, 'time']
['nandcgraphics', 202572705, 'impression', '2', 241113411L, datetime.datetime(2013, 5, 24, 17, 26, 56), 0.228504288330072, False, 'time']
['nandcgraphics', 202572705, 'impression', '1', 241120185L, datetime.datetime(2013, 5, 24, 17, 26, 56), 0.144181453437087, False, 'time']
['nandcgraphics', 202572705, 'impression', '5', 241104222L, datetime.datetime(2013, 5, 24, 17, 26, 56), 0.0884982126424957, False, 'time']
['nandcgraphics', 202572705, 'impression', '4', 241106780L, datetime.datetime(2013, 5, 24, 17, 26, 56), 0.0297714876156376, False, 'time']
['nandcgraphics', 202572705, 'impression', '3', 241107261L, datetime.datetime(2013, 5, 24, 17, 26, 56), 0.121942495563399, False, 'time']
['nandcgraphics', 202572705, 'impression', '7', 241103147L, datetime.datetime(2013, 5, 24, 17, 26, 56), 0.113307149690273, False, 'time']

