['whitie7', 202570449, 'impression', '6', 241058034L, datetime.datetime(2013, 5, 23, 2, 47, 1), 0.0632022875327479, False, 'time']
['whitie7', 202570449, 'expand_tile', '6', 241058034L, datetime.datetime(2013, 5, 23, 2, 47, 4), 0.0632022875327479, False, 'time']
['whitie7', 202570449, 'collapse_tile', '6', 241058034L, datetime.datetime(2013, 5, 23, 2, 49, 43), 0.0632022875327479, False, 'time']
['whitie7', 202570449, 'expand_tile', '6', 241058034L, datetime.datetime(2013, 5, 23, 2, 49, 44), 0.0632022875327479, False, 'time']
['whitie7', 202570449, 'impression', '6', 241058034L, datetime.datetime(2013, 5, 23, 2, 50, 54), 0.0632022875327479, False, 'time']
['whitie7', 202570449, 'impression', '6', 241058034L, datetime.datetime(2013, 5, 23, 2, 50, 55), 0.0632022875327479, False, 'time']
['whitie7', 202570449, 'expand_tile', '6', 241058034L, datetime.datetime(2013, 5, 23, 2, 50, 55), 0.0632022875327479, False, 'time']
['whitie7', 202570449, 'impression', '7', 241057883L, datetime.datetime(2013, 5, 23, 2, 50, 55), 0.067287653792576, False, 'time']
['whitie7', 202570449, 'expand_tile', '7', 241057883L, datetime.datetime(2013, 5, 23, 2, 51, 48), 0.067287653792576, False, 'time']
['whitie7', 202570449, 'impression', '7', 241057883L, datetime.datetime(2013, 5, 23, 2, 51, 59), 0.067287653792576, False, 'time']
['whitie7', 202570449, 'impression', '7', 241057883L, datetime.datetime(2013, 5, 23, 2, 52), 0.067287653792576, False, 'time']
['whitie7', 202570449, 'impression', '8', 241057502L, datetime.datetime(2013, 5, 23, 2, 52), 0.110987343359915, False, 'time']
['whitie7', 202570449, 'expand_tile', '8', 241057502L, datetime.datetime(2013, 5, 23, 2, 52, 2), 0.110987343359915, False, 'time']
['whitie7', 202570449, 'impression', '8', 241057502L, datetime.datetime(2013, 5, 23, 2, 52, 46), 0.110987343359915, False, 'time']
['whitie7', 202570449, 'impression', '8', 241057502L, datetime.datetime(2013, 5, 23, 2, 52, 47), 0.110987343359915, False, 'time']
['whitie7', 202570449, 'expand_tile', '8', 241057502L, datetime.datetime(2013, 5, 23, 2, 52, 47), 0.110987343359915, False, 'time']
['whitie7', 202570449, 'impression', '9', 241057350L, datetime.datetime(2013, 5, 23, 2, 52, 48), 0.833726143409105, False, 'time']
['whitie7', 202570449, 'expand_tile', '1', 241064131L, datetime.datetime(2013, 5, 23, 2, 52, 56), 0.103781876878327, False, 'time']
['whitie7', 202570449, 'collapse_tile', '1', 241064131L, datetime.datetime(2013, 5, 23, 2, 53), 0.103781876878327, False, 'time']
['whitie7', 202570449, 'expand_tile', '9', 241057350L, datetime.datetime(2013, 5, 23, 2, 53, 12), 0.833726143409105, False, 'time']
['whitie7', 202570449, 'expand_tile', '4', 241059157L, datetime.datetime(2013, 5, 23, 2, 55, 37), 0.0709106968389927, False, 'time']
['whitie7', 202570449, 'impression', '9', 241057350L, datetime.datetime(2013, 5, 23, 2, 56, 9), 0.833726143409105, False, 'time']
['whitie7', 202570449, 'impression', '4', 241059157L, datetime.datetime(2013, 5, 23, 2, 56, 9), 0.0709106968389927, False, 'time']
['whitie7', 202570449, 'expand_tile', '4', 241059157L, datetime.datetime(2013, 5, 23, 2, 56, 9), 0.0709106968389927, False, 'time']
['whitie7', 202570449, 'impression', '4', 241059157L, datetime.datetime(2013, 5, 23, 2, 56, 9), 0.0709106968389927, False, 'time']
['whitie7', 202570449, 'expand_tile', '10', 241057165L, datetime.datetime(2013, 5, 23, 2, 56, 16), 0.0189724478220101, False, 'time']
['whitie7', 202570449, 'view_full_application', '10', 241057165L, datetime.datetime(2013, 5, 23, 2, 56, 18), 0.0189724478220101, False, 'time']
['whitie7', 202570449, 'impression', '10', 241056529L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.00945334083661363, False, 'time']
['whitie7', 202570449, 'impression', '9', 241056711L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0756640608733951, False, 'time']
['whitie7', 202570449, 'impression', '5', 241057165L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0189724478220101, False, 'time']
['whitie7', 202570449, 'impression', '18', 241055965L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0226132854406155, False, 'time']
['whitie7', 202570449, 'impression', '19', 241055765L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0149523490997816, False, 'time']
['whitie7', 202570449, 'impression', '16', 241056026L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0395578990411584, False, 'time']
['whitie7', 202570449, 'impression', '17', 241055997L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0393808181914625, False, 'time']
['whitie7', 202570449, 'impression', '12', 241056337L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0193109962158702, False, 'time']
['whitie7', 202570449, 'impression', '7', 241056787L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.02930861710322, False, 'time']
['whitie7', 202570449, 'impression', '11', 241056417L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0456264832862965, False, 'time']
['whitie7', 202570449, 'impression', '13', 241056281L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0486642823710513, False, 'time']
['whitie7', 202570449, 'impression', '20', 241055735L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0678467780442017, False, 'time']
['whitie7', 202570449, 'impression', '6', 241056813L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0527774906491262, False, 'time']
['whitie7', 202570449, 'impression', '3', 241061085L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0358816386182982, True, 'time']
['whitie7', 202570449, 'impression', '8', 241056754L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0415951674261575, False, 'time']
['whitie7', 202570449, 'impression', '1', 241064131L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.103781876878327, False, 'time']
['whitie7', 202570449, 'impression', '2', 241061521L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.130544053655658, False, 'time']
['whitie7', 202570449, 'impression', '14', 241056091L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0588286145791631, False, 'time']
['whitie7', 202570449, 'impression', '15', 241056059L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.0339510727080216, False, 'time']
['whitie7', 202570449, 'impression', '4', 241057350L, datetime.datetime(2013, 5, 23, 2, 56, 40), 0.833726143409105, False, 'time']
['whitie7', 202570449, 'impression', '9', 241056711L, datetime.datetime(2013, 5, 23, 2, 57, 3), 0.0756640608733951, False, 'time']
['whitie7', 202570449, 'impression', '7', 241056787L, datetime.datetime(2013, 5, 23, 2, 57, 12), 0.02930861710322, False, 'time']
['whitie7', 202570449, 'impression', '7', 241056787L, datetime.datetime(2013, 5, 23, 2, 57, 13), 0.02930861710322, False, 'time']
['whitie7', 202570449, 'impression', '8', 241056754L, datetime.datetime(2013, 5, 23, 2, 57, 13), 0.0415951674261575, False, 'time']
['whitie7', 202570449, 'expand_tile', '8', 241056754L, datetime.datetime(2013, 5, 23, 2, 57, 16), 0.0415951674261575, False, 'time']
['whitie7', 202570449, 'impression', '8', 241056754L, datetime.datetime(2013, 5, 23, 2, 57, 19), 0.0415951674261575, False, 'time']
['whitie7', 202570449, 'expand_tile', '8', 241056754L, datetime.datetime(2013, 5, 23, 2, 57, 20), 0.0415951674261575, False, 'time']
['whitie7', 202570449, 'impression', '8', 241056754L, datetime.datetime(2013, 5, 23, 2, 57, 20), 0.0415951674261575, False, 'time']
['whitie7', 202570449, 'impression', '9', 241056711L, datetime.datetime(2013, 5, 23, 2, 57, 20), 0.0756640608733951, False, 'time']
['whitie7', 202570449, 'expand_tile', '9', 241056711L, datetime.datetime(2013, 5, 23, 2, 57, 24), 0.0756640608733951, False, 'time']
['whitie7', 202570449, 'collapse_tile', '9', 241056711L, datetime.datetime(2013, 5, 23, 2, 57, 42), 0.0756640608733951, False, 'time']
['whitie7', 202570449, 'expand_tile', '22', 241055617L, datetime.datetime(2013, 5, 23, 2, 58, 16), 0.0519852613251697, False, 'time']
['whitie7', 202570449, 'expand_tile', '22', 241055617L, datetime.datetime(2013, 5, 23, 2, 58, 19), 0.0519852613251697, False, 'time']
['whitie7', 202570449, 'collapse_tile', '22', 241055617L, datetime.datetime(2013, 5, 23, 2, 58, 19), 0.0519852613251697, False, 'time']
