['marijowc', 202562449, 'impression', '10', 240914458L, datetime.datetime(2013, 5, 22, 3, 49, 18), 0.129706173072145, False, 'best']
['marijowc', 202562449, 'impression', '3', 240911885L, datetime.datetime(2013, 5, 22, 3, 49, 18), 0.206153199059723, False, 'best']
['marijowc', 202562449, 'impression', '11', 240903495L, datetime.datetime(2013, 5, 22, 3, 49, 18), 0.119035854974089, False, 'best']
['marijowc', 202562449, 'impression', '13', 240915616L, datetime.datetime(2013, 5, 22, 3, 49, 18), 0.0997325101939265, False, 'best']
['marijowc', 202562449, 'impression', '2', 240909053L, datetime.datetime(2013, 5, 22, 3, 49, 18), 0.268149236021181, False, 'best']
['marijowc', 202562449, 'impression', '6', 240906007L, datetime.datetime(2013, 5, 22, 3, 49, 18), 0.145127322198507, False, 'best']
['marijowc', 202562449, 'impression', '7', 240910255L, datetime.datetime(2013, 5, 22, 3, 49, 18), 0.140687190250738, False, 'best']
['marijowc', 202562449, 'impression', '4', 240905561L, datetime.datetime(2013, 5, 22, 3, 49, 18), 0.153044564379832, False, 'best']
['marijowc', 202562449, 'impression', '8', 240922216L, datetime.datetime(2013, 5, 22, 3, 49, 18), 0.135175541360097, False, 'best']
['marijowc', 202562449, 'impression', '14', 240906646L, datetime.datetime(2013, 5, 22, 3, 49, 18), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'impression', '5', 240904075L, datetime.datetime(2013, 5, 22, 3, 49, 18), 0.148865760125327, False, 'best']
['marijowc', 202562449, 'impression', '9', 240902868L, datetime.datetime(2013, 5, 22, 3, 49, 18), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'expand_tile', '13', 240915616L, datetime.datetime(2013, 5, 22, 3, 49, 26), 0.0997325101939265, False, 'best']
['marijowc', 202562449, 'view_full_application', '13', 240915616L, datetime.datetime(2013, 5, 22, 3, 49, 54), 0.0997325101939265, False, 'best']
['marijowc', 202562449, 'impression', '4', 240905561L, datetime.datetime(2013, 5, 22, 3, 51, 55), 0.153044564379832, False, 'best']
['marijowc', 202562449, 'impression', '6', 240906007L, datetime.datetime(2013, 5, 22, 3, 51, 55), 0.145127322198507, False, 'best']
['marijowc', 202562449, 'impression', '7', 240910255L, datetime.datetime(2013, 5, 22, 3, 51, 55), 0.140687190250738, False, 'best']
['marijowc', 202562449, 'impression', '5', 240904075L, datetime.datetime(2013, 5, 22, 3, 51, 55), 0.148865760125327, False, 'best']
['marijowc', 202562449, 'impression', '9', 240902868L, datetime.datetime(2013, 5, 22, 3, 51, 55), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'impression', '8', 240922216L, datetime.datetime(2013, 5, 22, 3, 51, 55), 0.135175541360097, False, 'best']
['marijowc', 202562449, 'impression', '14', 240906646L, datetime.datetime(2013, 5, 22, 3, 51, 55), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'impression', '3', 240911885L, datetime.datetime(2013, 5, 22, 3, 51, 55), 0.206153199059723, False, 'best']
['marijowc', 202562449, 'impression', '11', 240903495L, datetime.datetime(2013, 5, 22, 3, 51, 55), 0.119035854974089, False, 'best']
['marijowc', 202562449, 'impression', '10', 240914458L, datetime.datetime(2013, 5, 22, 3, 51, 55), 0.129706173072145, False, 'best']
['marijowc', 202562449, 'impression', '1', 240969489L, datetime.datetime(2013, 5, 22, 3, 51, 55), 0.306958881269832, False, 'best']
['marijowc', 202562449, 'impression', '12', 240901725L, datetime.datetime(2013, 5, 22, 3, 51, 55), 0.114726749060006, False, 'best']
['marijowc', 202562449, 'impression', '13', 240915616L, datetime.datetime(2013, 5, 22, 3, 51, 55), 0.0997325101939265, False, 'best']
['marijowc', 202562449, 'impression', '2', 240909053L, datetime.datetime(2013, 5, 22, 3, 51, 55), 0.268149236021181, False, 'best']
['marijowc', 202562449, 'impression', '13', 240915616L, datetime.datetime(2013, 5, 22, 3, 52), 0.0997325101939265, False, 'best']
['marijowc', 202562449, 'expand_tile', '12', 240901725L, datetime.datetime(2013, 5, 22, 3, 52, 15), 0.114726749060006, False, 'best']
['marijowc', 202562449, 'collapse_tile', '12', 240901725L, datetime.datetime(2013, 5, 22, 3, 53, 31), 0.114726749060006, False, 'best']
['marijowc', 202562449, 'expand_tile', '12', 240901725L, datetime.datetime(2013, 5, 22, 3, 53, 33), 0.114726749060006, False, 'best']
['marijowc', 202562449, 'view_full_application', '12', 240901725L, datetime.datetime(2013, 5, 22, 3, 53, 37), 0.114726749060006, False, 'best']
['marijowc', 202562449, 'impression', '5', 240904075L, datetime.datetime(2013, 5, 22, 3, 54, 57), 0.148865760125327, False, 'best']
['marijowc', 202562449, 'impression', '9', 240902868L, datetime.datetime(2013, 5, 22, 3, 54, 57), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'impression', '1', 240969489L, datetime.datetime(2013, 5, 22, 3, 54, 57), 0.306958881269832, False, 'best']
['marijowc', 202562449, 'impression', '12', 240901725L, datetime.datetime(2013, 5, 22, 3, 54, 57), 0.114726749060006, False, 'best']
['marijowc', 202562449, 'impression', '2', 240909053L, datetime.datetime(2013, 5, 22, 3, 54, 57), 0.268149236021181, False, 'best']
['marijowc', 202562449, 'impression', '10', 240914458L, datetime.datetime(2013, 5, 22, 3, 54, 57), 0.129706173072145, False, 'best']
['marijowc', 202562449, 'impression', '8', 240922216L, datetime.datetime(2013, 5, 22, 3, 54, 57), 0.135175541360097, False, 'best']
['marijowc', 202562449, 'impression', '13', 240906646L, datetime.datetime(2013, 5, 22, 3, 54, 57), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'impression', '11', 240903495L, datetime.datetime(2013, 5, 22, 3, 54, 57), 0.119035854974089, False, 'best']
['marijowc', 202562449, 'impression', '3', 240911885L, datetime.datetime(2013, 5, 22, 3, 54, 57), 0.206153199059723, False, 'best']
['marijowc', 202562449, 'impression', '7', 240910255L, datetime.datetime(2013, 5, 22, 3, 54, 57), 0.140687190250738, False, 'best']
['marijowc', 202562449, 'impression', '6', 240906007L, datetime.datetime(2013, 5, 22, 3, 54, 57), 0.145127322198507, False, 'best']
['marijowc', 202562449, 'impression', '4', 240905561L, datetime.datetime(2013, 5, 22, 3, 54, 57), 0.153044564379832, False, 'best']
['marijowc', 202562449, 'impression', '12', 240901725L, datetime.datetime(2013, 5, 22, 3, 55, 2), 0.114726749060006, False, 'best']
['marijowc', 202562449, 'impression', '12', 240901725L, datetime.datetime(2013, 5, 22, 3, 55, 9), 0.114726749060006, False, 'best']
['marijowc', 202562449, 'expand_tile', '11', 240903495L, datetime.datetime(2013, 5, 22, 3, 55, 19), 0.119035854974089, False, 'best']
['marijowc', 202562449, 'view_full_application', '11', 240903495L, datetime.datetime(2013, 5, 22, 3, 57, 22), 0.119035854974089, False, 'best']
['marijowc', 202562449, 'impression', '2', 240909053L, datetime.datetime(2013, 5, 22, 4, 9, 19), 0.268149236021181, False, 'best']
['marijowc', 202562449, 'impression', '12', 240906646L, datetime.datetime(2013, 5, 22, 4, 9, 19), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'impression', '8', 240922216L, datetime.datetime(2013, 5, 22, 4, 9, 19), 0.135175541360097, False, 'best']
['marijowc', 202562449, 'impression', '1', 240969489L, datetime.datetime(2013, 5, 22, 4, 9, 19), 0.306958881269832, False, 'best']
['marijowc', 202562449, 'impression', '3', 240911885L, datetime.datetime(2013, 5, 22, 4, 9, 19), 0.206153199059723, False, 'best']
['marijowc', 202562449, 'impression', '11', 240903495L, datetime.datetime(2013, 5, 22, 4, 9, 19), 0.119035854974089, False, 'best']
['marijowc', 202562449, 'impression', '10', 240914458L, datetime.datetime(2013, 5, 22, 4, 9, 19), 0.129706173072145, False, 'best']
['marijowc', 202562449, 'impression', '5', 240904075L, datetime.datetime(2013, 5, 22, 4, 9, 19), 0.148865760125327, False, 'best']
