['jeff0256', 202570349, 'impression', '3', 241068158L, datetime.datetime(2013, 5, 23, 5, 3, 30), 0.0945466064716125, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241056560L, datetime.datetime(2013, 5, 23, 5, 3, 30), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241059190L, datetime.datetime(2013, 5, 23, 5, 3, 30), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '3', 241068158L, datetime.datetime(2013, 5, 23, 5, 3, 37), 0.0945466064716125, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241068158L, datetime.datetime(2013, 5, 23, 5, 3, 43), 0.0945466064716125, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241059190L, datetime.datetime(2013, 5, 23, 5, 3, 43), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241056560L, datetime.datetime(2013, 5, 23, 5, 3, 43), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241068690L, datetime.datetime(2013, 5, 23, 5, 3, 43), 0.105338203927331, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241068523L, datetime.datetime(2013, 5, 23, 5, 3, 43), 0.0582979230646724, False, 'time']
['jeff0256', 202570349, 'expand_tile', '3', 241068158L, datetime.datetime(2013, 5, 23, 5, 3, 47), 0.0945466064716125, False, 'time']
['jeff0256', 202570349, 'expand_tile', '3', 241068158L, datetime.datetime(2013, 5, 23, 5, 4, 19), 0.0945466064716125, False, 'time']
['jeff0256', 202570349, 'collapse_tile', '3', 241068158L, datetime.datetime(2013, 5, 23, 5, 4, 22), 0.0945466064716125, False, 'time']
['jeff0256', 202570349, 'expand_tile', '3', 241068158L, datetime.datetime(2013, 5, 23, 5, 4, 23), 0.0945466064716125, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '3', 241068158L, datetime.datetime(2013, 5, 23, 5, 4, 24), 0.0945466064716125, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241059190L, datetime.datetime(2013, 5, 23, 5, 4, 43), 0.19715093769759, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241056560L, datetime.datetime(2013, 5, 23, 5, 4, 43), 0.152722218232802, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241068158L, datetime.datetime(2013, 5, 23, 5, 4, 43), 0.0945466064716125, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241068690L, datetime.datetime(2013, 5, 23, 5, 4, 43), 0.105338203927331, False, 'time']
