['msscott001', 202586794, 'impression', '19', 241485025L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.284999368863997, False, 'best']
['msscott001', 202586794, 'impression', '2', 241417467L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.627019551332382, False, 'best']
['msscott001', 202586794, 'impression', '20', 241417496L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.249330053563213, False, 'best']
['msscott001', 202586794, 'impression', '18', 241423368L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.301702977211256, False, 'best']
['msscott001', 202586794, 'impression', '11', 241419504L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.347728176949966, False, 'best']
['msscott001', 202586794, 'impression', '17', 241417248L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.303391024009483, False, 'best']
['msscott001', 202586794, 'impression', '14', 241423463L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.321823320571493, False, 'best']
['msscott001', 202586794, 'impression', '3', 241418640L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.579035987000436, False, 'best']
['msscott001', 202586794, 'impression', '8', 241424414L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.417868360068458, False, 'best']
['msscott001', 202586794, 'impression', '1', 241417418L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.698560378855746, False, 'best']
['msscott001', 202586794, 'impression', '16', 241473528L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.309654352813229, False, 'best']
['msscott001', 202586794, 'impression', '6', 241417597L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.448102247426583, False, 'best']
['msscott001', 202586794, 'impression', '4', 241426891L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.546358420951536, False, 'best']
['msscott001', 202586794, 'impression', '13', 241418986L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.33238786080641, False, 'best']
['msscott001', 202586794, 'impression', '5', 241417353L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.45163225963274, False, 'best']
['msscott001', 202586794, 'impression', '10', 241417261L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.371289610033027, False, 'best']
['msscott001', 202586794, 'impression', '9', 241438376L, datetime.datetime(2013, 5, 28, 20, 3, 12), 0.404342748443144, False, 'best']
['msscott001', 202586794, 'impression', '2', 241417467L, datetime.datetime(2013, 5, 28, 20, 3, 13), 0.627019551332382, False, 'best']

