['ajay-sunker', 202561633, 'impression', '8', 240885256L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'impression', '13', 240880234L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240901262L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.00436463537533648, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240886780L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.00851248853033083, False, 'time']
['ajay-sunker', 202561633, 'impression', '12', 240881355L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240895586L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.0147281592335919, False, 'time']
['ajay-sunker', 202561633, 'impression', '9', 240882919L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240892659L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.0104261847840847, False, 'time']
['ajay-sunker', 202561633, 'impression', '10', 240881893L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '11', 240881628L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '2', 240899146L, datetime.datetime(2013, 5, 21, 7, 34, 55), 0.0256900999732444, False, 'time']
['ajay-sunker', 202561633, 'view_full_application', '2', 240899146L, datetime.datetime(2013, 5, 21, 7, 34, 58), 0.0256900999732444, False, 'time']
['ajay-sunker', 202561633, 'impression', '14', 240880234L, datetime.datetime(2013, 5, 21, 8, 3, 5), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240903639L, datetime.datetime(2013, 5, 21, 8, 3, 5), 0.0215826787655171, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240892659L, datetime.datetime(2013, 5, 21, 8, 3, 5), 0.0104261847840847, False, 'time']
['ajay-sunker', 202561633, 'impression', '12', 240881628L, datetime.datetime(2013, 5, 21, 8, 3, 5), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '11', 240881893L, datetime.datetime(2013, 5, 21, 8, 3, 5), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '13', 240881355L, datetime.datetime(2013, 5, 21, 8, 3, 5), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '8', 240886780L, datetime.datetime(2013, 5, 21, 8, 3, 5), 0.00851248853033083, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240899146L, datetime.datetime(2013, 5, 21, 8, 3, 5), 0.0256900999732444, False, 'time']
['ajay-sunker', 202561633, 'impression', '9', 240885256L, datetime.datetime(2013, 5, 21, 8, 3, 5), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240898572L, datetime.datetime(2013, 5, 21, 8, 3, 5), 0.0519509941316251, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240893947L, datetime.datetime(2013, 5, 21, 8, 3, 5), 0.016776655138859, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240895586L, datetime.datetime(2013, 5, 21, 8, 3, 5), 0.0147281592335919, False, 'time']
