['orangerockmedia', 202590449, 'impression', '2', 241500612L, datetime.datetime(2013, 5, 29, 14, 45, 59), 0.134927551839696, False, 'best']
['orangerockmedia', 202590449, 'impression', '3', 241553892L, datetime.datetime(2013, 5, 29, 14, 45, 59), 0.0962715441408344, False, 'best']
['orangerockmedia', 202590449, 'impression', '1', 241500793L, datetime.datetime(2013, 5, 29, 14, 45, 59), 0.182380919042319, False, 'best']
['orangerockmedia', 202590449, 'impression', '5', 241507019L, datetime.datetime(2013, 5, 29, 14, 45, 59), 0.0797238526886666, False, 'best']
['orangerockmedia', 202590449, 'impression', '11', 241513164L, datetime.datetime(2013, 5, 29, 14, 45, 59), 0.0273232764504701, False, 'best']
['orangerockmedia', 202590449, 'impression', '10', 241513188L, datetime.datetime(2013, 5, 29, 14, 45, 59), 0.0278015458768939, False, 'best']
['orangerockmedia', 202590449, 'impression', '8', 241512801L, datetime.datetime(2013, 5, 29, 14, 45, 59), 0.0568519400606183, False, 'best']
['orangerockmedia', 202590449, 'impression', '2', 241500612L, datetime.datetime(2013, 5, 29, 14, 46, 3), 0.134927551839696, False, 'best']
['orangerockmedia', 202590449, 'impression', '2', 241500612L, datetime.datetime(2013, 5, 29, 14, 46, 5), 0.134927551839696, False, 'best']
['orangerockmedia', 202590449, 'view_full_application_via_name', '1', 241500793L, datetime.datetime(2013, 5, 29, 14, 46, 25), 0.182380919042319, False, 'best']
['orangerockmedia', 202590449, 'impression', '3', 241506797L, datetime.datetime(2013, 5, 29, 14, 52, 18), 0.0810350961302511, False, 'best']
['orangerockmedia', 202590449, 'impression', '6', 241534425L, datetime.datetime(2013, 5, 29, 14, 52, 18), 0.0606355080152342, False, 'best']
['orangerockmedia', 202590449, 'impression', '11', 241571021L, datetime.datetime(2013, 5, 29, 14, 52, 18), 0.0166959638855449, False, 'best']
['orangerockmedia', 202590449, 'impression', '8', 241560200L, datetime.datetime(2013, 5, 29, 14, 52, 18), 0.04445196902795, False, 'best']
['orangerockmedia', 202590449, 'impression', '10', 241513164L, datetime.datetime(2013, 5, 29, 14, 52, 18), 0.0273232764504701, False, 'best']
['orangerockmedia', 202590449, 'impression', '7', 241512801L, datetime.datetime(2013, 5, 29, 14, 52, 18), 0.0568519400606183, False, 'best']
['orangerockmedia', 202590449, 'impression', '9', 241513188L, datetime.datetime(2013, 5, 29, 14, 52, 18), 0.0278015458768939, False, 'best']
['orangerockmedia', 202590449, 'impression', '4', 241507019L, datetime.datetime(2013, 5, 29, 14, 52, 18), 0.0797238526886666, False, 'best']
['orangerockmedia', 202590449, 'impression', '5', 241520146L, datetime.datetime(2013, 5, 29, 14, 52, 18), 0.078990559828653, False, 'best']
['orangerockmedia', 202590449, 'impression', '2', 241553892L, datetime.datetime(2013, 5, 29, 14, 52, 18), 0.0962715441408344, False, 'best']
['orangerockmedia', 202590449, 'impression', '1', 241500793L, datetime.datetime(2013, 5, 29, 14, 52, 18), 0.182380919042319, False, 'best']
['orangerockmedia', 202590449, 'impression', '3', 241506797L, datetime.datetime(2013, 5, 29, 14, 52, 25), 0.0810350961302511, False, 'best']
['orangerockmedia', 202590449, 'impression', '3', 241506797L, datetime.datetime(2013, 5, 29, 14, 52, 26), 0.0810350961302511, False, 'best']
['orangerockmedia', 202590449, 'impression', '4', 241507019L, datetime.datetime(2013, 5, 29, 14, 52, 33), 0.0797238526886666, False, 'best']
