['gabriel79a', 202541137, 'impression', '5', 240460100L, datetime.datetime(2013, 5, 15, 17, 7, 1), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'view_full_application_via_name', '1', 240471616L, datetime.datetime(2013, 5, 15, 17, 7, 4), 0.307193353390644, False, 'time']
['gabriel79a', 202541137, 'impression', '2', 240469937L, datetime.datetime(2013, 5, 15, 17, 27, 49), 0.148656060430242, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240458115L, datetime.datetime(2013, 5, 15, 17, 27, 49), 0.152840194808424, False, 'time']
['gabriel79a', 202541137, 'impression', '5', 240460100L, datetime.datetime(2013, 5, 15, 17, 27, 49), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'impression', '1', 240471616L, datetime.datetime(2013, 5, 15, 17, 27, 49), 0.307193353390644, False, 'time']
['gabriel79a', 202541137, 'impression', '3', 240460949L, datetime.datetime(2013, 5, 15, 17, 27, 49), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '4', 240460580L, datetime.datetime(2013, 5, 15, 17, 27, 49), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '8', 240455419L, datetime.datetime(2013, 5, 15, 17, 27, 49), 0.195356996276039, False, 'time']
['gabriel79a', 202541137, 'impression', '7', 240457164L, datetime.datetime(2013, 5, 15, 17, 27, 49), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'impression', '7', 240457164L, datetime.datetime(2013, 5, 15, 17, 27, 57), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'impression', '1', 240471616L, datetime.datetime(2013, 5, 15, 17, 27, 57), 0.307193353390644, False, 'time']
['gabriel79a', 202541137, 'impression', '4', 240460580L, datetime.datetime(2013, 5, 15, 17, 27, 57), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '3', 240460949L, datetime.datetime(2013, 5, 15, 17, 27, 57), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '8', 240455419L, datetime.datetime(2013, 5, 15, 17, 27, 57), 0.195356996276039, False, 'time']
['gabriel79a', 202541137, 'impression', '2', 240469937L, datetime.datetime(2013, 5, 15, 17, 27, 57), 0.148656060430242, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240458115L, datetime.datetime(2013, 5, 15, 17, 27, 57), 0.152840194808424, False, 'time']
['gabriel79a', 202541137, 'impression', '5', 240460100L, datetime.datetime(2013, 5, 15, 17, 27, 57), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'shortlist', '1', 240471616L, datetime.datetime(2013, 5, 15, 17, 28, 3), 0.307193353390644, False, 'time']

['gabriel79a', 202541137, 'impression', '9', 240457164L, datetime.datetime(2013, 5, 15, 18, 28, 46), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'impression', '2', 240476716L, datetime.datetime(2013, 5, 15, 18, 28, 46), 0.112218242760778, False, 'time']
['gabriel79a', 202541137, 'impression', '3', 240471616L, datetime.datetime(2013, 5, 15, 18, 28, 46), 0.307193353390644, False, 'time']
['gabriel79a', 202541137, 'impression', '1', 240476828L, datetime.datetime(2013, 5, 15, 18, 28, 46), 0.42332291514193, True, 'time']
['gabriel79a', 202541137, 'impression', '8', 240458115L, datetime.datetime(2013, 5, 15, 18, 28, 46), 0.152840194808424, False, 'time']
['gabriel79a', 202541137, 'impression', '4', 240469937L, datetime.datetime(2013, 5, 15, 18, 28, 46), 0.148656060430242, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240460580L, datetime.datetime(2013, 5, 15, 18, 28, 46), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '5', 240460949L, datetime.datetime(2013, 5, 15, 18, 28, 46), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '10', 240455419L, datetime.datetime(2013, 5, 15, 18, 28, 46), 0.195356996276039, False, 'time']
['gabriel79a', 202541137, 'impression', '7', 240460100L, datetime.datetime(2013, 5, 15, 18, 28, 46), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'view_full_application_via_name', '2', 240476716L, datetime.datetime(2013, 5, 15, 18, 29, 4), 0.112218242760778, False, 'time']
