['lebettega', 202558033, 'expand_tile', '3', 240832301L, datetime.datetime(2013, 5, 21, 0, 19, 13), 0.083313400446031, False, 'time']
['lebettega', 202558033, 'view_full_application', '3', 240832301L, datetime.datetime(2013, 5, 21, 0, 19, 39), 0.083313400446031, False, 'time']
['lebettega', 202558033, 'impression', '1', 240832301L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.083313400446031, False, 'time']
['lebettega', 202558033, 'impression', '13', 240816037L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.133933490840881, False, 'time']
['lebettega', 202558033, 'impression', '2', 240831279L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.176451744996889, False, 'time']
['lebettega', 202558033, 'impression', '6', 240820481L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.126969276781885, False, 'time']
['lebettega', 202558033, 'impression', '14', 240815785L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.130193752627279, False, 'time']
['lebettega', 202558033, 'impression', '12', 240817546L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.0741269182595835, False, 'time']
['lebettega', 202558033, 'impression', '8', 240819593L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.060719667024468, False, 'time']
['lebettega', 202558033, 'impression', '4', 240821505L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.139706427765689, False, 'time']
['lebettega', 202558033, 'impression', '7', 240820226L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.123254965190686, False, 'time']
['lebettega', 202558033, 'impression', '20', 240814306L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.0162482923120076, False, 'time']
['lebettega', 202558033, 'impression', '11', 240817585L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.0511821663702282, False, 'time']
['lebettega', 202558033, 'impression', '18', 240814539L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.0978022170191492, False, 'time']
['lebettega', 202558033, 'impression', '15', 240815367L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.152695473605036, False, 'time']
['lebettega', 202558033, 'impression', '5', 240821149L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.0471770503079671, False, 'time']
['lebettega', 202558033, 'impression', '3', 240826353L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.151995791365776, False, 'time']
['lebettega', 202558033, 'impression', '10', 240817616L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.02743233390935, False, 'time']
['lebettega', 202558033, 'impression', '17', 240814609L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.153506192119819, False, 'time']
['lebettega', 202558033, 'impression', '9', 240817741L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.0799427266437891, False, 'time']
['lebettega', 202558033, 'impression', '19', 240814418L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.106139800514685, False, 'time']
['lebettega', 202558033, 'impression', '16', 240814960L, datetime.datetime(2013, 5, 21, 0, 20, 10), 0.141884401564396, False, 'time']
['lebettega', 202558033, 'expand_tile', '2', 240831279L, datetime.datetime(2013, 5, 21, 0, 20, 12), 0.176451744996889, False, 'time']
['lebettega', 202558033, 'collapse_tile', '2', 240831279L, datetime.datetime(2013, 5, 21, 0, 20, 15), 0.176451744996889, False, 'time']
['lebettega', 202558033, 'expand_tile', '2', 240831279L, datetime.datetime(2013, 5, 21, 0, 20, 16), 0.176451744996889, False, 'time']
['lebettega', 202558033, 'expand_tile', '2', 240831279L, datetime.datetime(2013, 5, 21, 0, 20, 20), 0.176451744996889, False, 'time']
['lebettega', 202558033, 'view_full_application', '2', 240831279L, datetime.datetime(2013, 5, 21, 0, 20, 21), 0.176451744996889, False, 'time']
['lebettega', 202558033, 'impression', '1', 240832301L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.083313400446031, False, 'time']
['lebettega', 202558033, 'impression', '13', 240816037L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.133933490840881, False, 'time']
['lebettega', 202558033, 'impression', '6', 240820481L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.126969276781885, False, 'time']
['lebettega', 202558033, 'impression', '2', 240831279L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.176451744996889, False, 'time']
['lebettega', 202558033, 'impression', '16', 240814960L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.141884401564396, False, 'time']
['lebettega', 202558033, 'impression', '19', 240814418L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.106139800514685, False, 'time']
['lebettega', 202558033, 'impression', '8', 240819593L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.060719667024468, False, 'time']
['lebettega', 202558033, 'impression', '11', 240817585L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.0511821663702282, False, 'time']
['lebettega', 202558033, 'impression', '4', 240821505L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.139706427765689, False, 'time']
['lebettega', 202558033, 'impression', '7', 240820226L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.123254965190686, False, 'time']
['lebettega', 202558033, 'impression', '20', 240814306L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.0162482923120076, False, 'time']
['lebettega', 202558033, 'impression', '14', 240815785L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.130193752627279, False, 'time']
['lebettega', 202558033, 'impression', '3', 240826353L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.151995791365776, False, 'time']
['lebettega', 202558033, 'impression', '5', 240821149L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.0471770503079671, False, 'time']
['lebettega', 202558033, 'impression', '15', 240815367L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.152695473605036, False, 'time']
['lebettega', 202558033, 'impression', '18', 240814539L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.0978022170191492, False, 'time']
['lebettega', 202558033, 'impression', '17', 240814609L, datetime.datetime(2013, 5, 21, 0, 20, 31), 0.153506192119819, False, 'time']
