['akcan_marco', 202576497, 'impression', '13', 241185069L, datetime.datetime(2013, 5, 24, 11, 41), 0.00785198953198183, False, 'time']
['akcan_marco', 202576497, 'impression', '18', 241183125L, datetime.datetime(2013, 5, 24, 11, 41), 0.0454672435382245, False, 'time']
['akcan_marco', 202576497, 'impression', '12', 241185470L, datetime.datetime(2013, 5, 24, 11, 41), 0.10426397577631, False, 'time']
['akcan_marco', 202576497, 'impression', '5', 241187072L, datetime.datetime(2013, 5, 24, 11, 41), 0.0549396385313369, False, 'time']
['akcan_marco', 202576497, 'impression', '1', 241190055L, datetime.datetime(2013, 5, 24, 11, 41), 0.0700946089092562, False, 'time']
['akcan_marco', 202576497, 'impression', '16', 241183362L, datetime.datetime(2013, 5, 24, 11, 41), 0.0246150447415061, False, 'time']
['akcan_marco', 202576497, 'impression', '17', 241183346L, datetime.datetime(2013, 5, 24, 11, 41), 0.0451012195197539, False, 'time']
['akcan_marco', 202576497, 'impression', '2', 241188518L, datetime.datetime(2013, 5, 24, 11, 41), 0.0496459821557153, False, 'time']
['akcan_marco', 202576497, 'impression', '10', 241186609L, datetime.datetime(2013, 5, 24, 11, 41), 0.0029902508448502, False, 'time']
['akcan_marco', 202576497, 'impression', '11', 241185867L, datetime.datetime(2013, 5, 24, 11, 41), 0.0321981882159923, False, 'time']
['akcan_marco', 202576497, 'impression', '6', 241187031L, datetime.datetime(2013, 5, 24, 11, 41), 0.0840140085852754, False, 'time']
['akcan_marco', 202576497, 'impression', '7', 241186847L, datetime.datetime(2013, 5, 24, 11, 41), 0.0940247701823261, False, 'time']
['akcan_marco', 202576497, 'impression', '3', 241188096L, datetime.datetime(2013, 5, 24, 11, 41), 0.103219131626331, False, 'time']
['akcan_marco', 202576497, 'impression', '8', 241186730L, datetime.datetime(2013, 5, 24, 11, 41), 0.0343668008366018, False, 'time']
['akcan_marco', 202576497, 'view_full_application', '10', 241186609L, datetime.datetime(2013, 5, 24, 11, 41, 14), 0.0029902508448502, False, 'time']
['akcan_marco', 202576497, 'view_full_application', '10', 241186609L, datetime.datetime(2013, 5, 24, 11, 41, 16), 0.0029902508448502, False, 'time']
['akcan_marco', 202576497, 'impression', '16', 241183362L, datetime.datetime(2013, 5, 24, 11, 42), 0.0246150447415061, False, 'time']
['akcan_marco', 202576497, 'impression', '10', 241186609L, datetime.datetime(2013, 5, 24, 11, 42), 0.0029902508448502, False, 'time']
['akcan_marco', 202576497, 'impression', '17', 241183346L, datetime.datetime(2013, 5, 24, 11, 42), 0.0451012195197539, False, 'time']
['akcan_marco', 202576497, 'impression', '2', 241188518L, datetime.datetime(2013, 5, 24, 11, 42), 0.0496459821557153, False, 'time']
['akcan_marco', 202576497, 'impression', '19', 241182978L, datetime.datetime(2013, 5, 24, 11, 42), 0.0760224184317806, False, 'time']
['akcan_marco', 202576497, 'impression', '14', 241184014L, datetime.datetime(2013, 5, 24, 11, 42), 0.0457262308621299, False, 'time']
['akcan_marco', 202576497, 'impression', '9', 241186636L, datetime.datetime(2013, 5, 24, 11, 42), 0.14559223122504, False, 'time']
['akcan_marco', 202576497, 'impression', '4', 241187692L, datetime.datetime(2013, 5, 24, 11, 42), 0.0602793783887074, False, 'time']
['akcan_marco', 202576497, 'impression', '5', 241187072L, datetime.datetime(2013, 5, 24, 11, 42), 0.0549396385313369, False, 'time']
['akcan_marco', 202576497, 'impression', '1', 241190055L, datetime.datetime(2013, 5, 24, 11, 42), 0.0700946089092562, False, 'time']
['akcan_marco', 202576497, 'impression', '15', 241183770L, datetime.datetime(2013, 5, 24, 11, 42), 0.0568835779056755, False, 'time']
['akcan_marco', 202576497, 'impression', '3', 241188096L, datetime.datetime(2013, 5, 24, 11, 42), 0.103219131626331, False, 'time']
['akcan_marco', 202576497, 'impression', '6', 241187031L, datetime.datetime(2013, 5, 24, 11, 42), 0.0840140085852754, False, 'time']
['akcan_marco', 202576497, 'impression', '11', 241185867L, datetime.datetime(2013, 5, 24, 11, 42), 0.0321981882159923, False, 'time']
['akcan_marco', 202576497, 'impression', '8', 241186730L, datetime.datetime(2013, 5, 24, 11, 42), 0.0343668008366018, False, 'time']
['akcan_marco', 202576497, 'impression', '7', 241186847L, datetime.datetime(2013, 5, 24, 11, 42), 0.0940247701823261, False, 'time']
['akcan_marco', 202576497, 'impression', '12', 241185470L, datetime.datetime(2013, 5, 24, 11, 42), 0.10426397577631, False, 'time']
['akcan_marco', 202576497, 'impression', '13', 241185069L, datetime.datetime(2013, 5, 24, 11, 42), 0.00785198953198183, False, 'time']
