['vince32', 202546163, 'impression', '1', 240556897L, datetime.datetime(2013, 5, 17, 0, 50, 58), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '4', 240570501L, datetime.datetime(2013, 5, 17, 0, 50, 58), 0.315170405392125, False, 'best']
['vince32', 202546163, 'impression', '5', 240582766L, datetime.datetime(2013, 5, 17, 0, 50, 58), 0.0863991406864176, False, 'best']
['vince32', 202546163, 'view_full_application_via_name', '2', 240561320L, datetime.datetime(2013, 5, 17, 0, 51), 0.450109116572568, False, 'best']

['vince32', 202546163, 'impression', '4', 240570501L, datetime.datetime(2013, 5, 17, 3, 55, 26), 0.315170405392125, False, 'best']
['vince32', 202546163, 'impression', '3', 240567469L, datetime.datetime(2013, 5, 17, 3, 55, 26), 0.399767444293596, False, 'best']
['vince32', 202546163, 'impression', '5', 240582766L, datetime.datetime(2013, 5, 17, 3, 55, 26), 0.0863991406864176, False, 'best']
['vince32', 202546163, 'impression', '7', 240586941L, datetime.datetime(2013, 5, 17, 3, 55, 26), 0.103320108082439, False, 'best']
['vince32', 202546163, 'impression', '1', 240556897L, datetime.datetime(2013, 5, 17, 3, 55, 26), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '2', 240561320L, datetime.datetime(2013, 5, 17, 3, 55, 26), 0.450109116572568, False, 'best']
['vince32', 202546163, 'impression', '6', 240583460L, datetime.datetime(2013, 5, 17, 3, 55, 26), 0.338390462471844, False, 'best']
['vince32', 202546163, 'expand_tile', '4', 240570501L, datetime.datetime(2013, 5, 17, 3, 55, 41), 0.315170405392125, False, 'best']
['vince32', 202546163, 'impression', '4', 240570501L, datetime.datetime(2013, 5, 17, 3, 58, 1), 0.315170405392125, False, 'best']
['vince32', 202546163, 'impression', '1', 240556897L, datetime.datetime(2013, 5, 17, 3, 58, 1), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '2', 240561320L, datetime.datetime(2013, 5, 17, 3, 58, 1), 0.450109116572568, False, 'best']
['vince32', 202546163, 'impression', '7', 240586941L, datetime.datetime(2013, 5, 17, 3, 58, 1), 0.103320108082439, False, 'best']
['vince32', 202546163, 'impression', '6', 240583460L, datetime.datetime(2013, 5, 17, 3, 58, 1), 0.338390462471844, False, 'best']
['vince32', 202546163, 'impression', '5', 240582766L, datetime.datetime(2013, 5, 17, 3, 58, 1), 0.0863991406864176, False, 'best']
['vince32', 202546163, 'impression', '3', 240567469L, datetime.datetime(2013, 5, 17, 3, 58, 1), 0.399767444293596, False, 'best']
['vince32', 202546163, 'hide', '5', 240582766L, datetime.datetime(2013, 5, 17, 3, 58, 4), 0.0863991406864176, False, 'best']
['vince32', 202546163, 'hide', '6', 240583460L, datetime.datetime(2013, 5, 17, 3, 58, 6), 0.338390462471844, False, 'best']
