['crazydollardeals', 202543862, 'impression', '1', 240543672L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.171867555340611, False, 'time']
['crazydollardeals', 202543862, 'impression', '13', 240514321L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.086502608657681, False, 'time']
['crazydollardeals', 202543862, 'impression', '18', 240504177L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.235372834803086, False, 'time']
['crazydollardeals', 202543862, 'impression', '9', 240522902L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.243776683097144, False, 'time']
['crazydollardeals', 202543862, 'impression', '15', 240509933L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.0445034682873129, False, 'time']
['crazydollardeals', 202543862, 'impression', '7', 240525363L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.050846778949115, False, 'time']
['crazydollardeals', 202543862, 'impression', '4', 240533241L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.0969117986856607, False, 'time']
['crazydollardeals', 202543862, 'impression', '12', 240514435L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'impression', '14', 240510192L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.254132114717294, False, 'time']
['crazydollardeals', 202543862, 'impression', '19', 240504048L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '20', 240503550L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.172509323289984, False, 'time']
['crazydollardeals', 202543862, 'impression', '17', 240504235L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.174229803837848, False, 'time']
['crazydollardeals', 202543862, 'impression', '10', 240519380L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.322517746373968, False, 'time']
['crazydollardeals', 202543862, 'impression', '3', 240541764L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.085100615584787, False, 'time']
['crazydollardeals', 202543862, 'impression', '8', 240524683L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.0611946933379737, False, 'time']
