['leon740gk', 202540118, 'impression', '5', 240434073L, datetime.datetime(2013, 5, 15, 11, 13, 42), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240435878L, datetime.datetime(2013, 5, 15, 11, 13, 42), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'hide', '1', 240444623L, datetime.datetime(2013, 5, 15, 11, 13, 48), 0.041743043579629, False, 'time']
['leon740gk', 202540118, 'view_full_application_via_message', '2', 240441619L, datetime.datetime(2013, 5, 15, 11, 13, 49), 0.359805457848029, False, 'time']

['leon740gk', 202540118, 'impression', '1', 240441619L, datetime.datetime(2013, 5, 15, 11, 51, 29), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240435730L, datetime.datetime(2013, 5, 15, 11, 51, 29), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240434073L, datetime.datetime(2013, 5, 15, 11, 51, 29), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240435878L, datetime.datetime(2013, 5, 15, 11, 51, 29), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240434073L, datetime.datetime(2013, 5, 15, 12, 5, 49), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240435878L, datetime.datetime(2013, 5, 15, 12, 5, 49), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240435730L, datetime.datetime(2013, 5, 15, 12, 5, 49), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240441619L, datetime.datetime(2013, 5, 15, 12, 5, 49), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'view_full_application_via_name', '1', 240441619L, datetime.datetime(2013, 5, 15, 12, 5, 51), 0.359805457848029, False, 'time']

['leon740gk', 202540118, 'impression', '2', 240459987L, datetime.datetime(2013, 5, 16, 6, 22, 47), 0.349668587950094, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240441619L, datetime.datetime(2013, 5, 16, 6, 22, 47), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240471354L, datetime.datetime(2013, 5, 16, 6, 22, 47), 0.294524691535506, False, 'time']
['leon740gk', 202540118, 'impression', '5', 240435730L, datetime.datetime(2013, 5, 16, 6, 22, 47), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240435878L, datetime.datetime(2013, 5, 16, 6, 22, 47), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'impression', '6', 240434073L, datetime.datetime(2013, 5, 16, 6, 22, 47), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'hide', '1', 240471354L, datetime.datetime(2013, 5, 16, 6, 22, 48), 0.294524691535506, False, 'time']
