['kerriho', 202585047, 'impression', '13', 241382429L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.501261466493085, False, 'time']
['kerriho', 202585047, 'impression', '12', 241383943L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.183197824881884, False, 'time']
['kerriho', 202585047, 'impression', '14', 241381878L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.24907224605492, False, 'time']
['kerriho', 202585047, 'impression', '17', 241380952L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.297741283442129, False, 'time']
['kerriho', 202585047, 'impression', '11', 241384634L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.146633855485652, False, 'time']
['kerriho', 202585047, 'impression', '10', 241384957L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.172077889067843, False, 'time']
['kerriho', 202585047, 'impression', '19', 241378729L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.222282699668627, False, 'time']
['kerriho', 202585047, 'impression', '5', 241391198L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.0942780310520986, False, 'time']
['kerriho', 202585047, 'impression', '18', 241380775L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.129245974346929, False, 'time']
['kerriho', 202585047, 'impression', '8', 241389062L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.0476975786065185, False, 'time']
['kerriho', 202585047, 'impression', '2', 241418883L, datetime.datetime(2013, 5, 27, 23, 32, 39), 0.0462500921787425, False, 'time']
['kerriho', 202585047, 'impression', '4', 241392988L, datetime.datetime(2013, 5, 27, 23, 32, 41), 0.619306784148287, False, 'time']
['kerriho', 202585047, 'shortlist', '4', 241392988L, datetime.datetime(2013, 5, 27, 23, 32, 41), 0.619306784148287, False, 'time']
['kerriho', 202585047, 'impression', '6', 241390735L, datetime.datetime(2013, 5, 27, 23, 32, 45), 0.132253965517824, False, 'time']
['kerriho', 202585047, 'expand_tile', '5', 241391198L, datetime.datetime(2013, 5, 27, 23, 32, 48), 0.0942780310520986, False, 'time']
['kerriho', 202585047, 'impression', '5', 241391198L, datetime.datetime(2013, 5, 27, 23, 33, 29), 0.0942780310520986, False, 'time']
['kerriho', 202585047, 'expand_tile', '5', 241391198L, datetime.datetime(2013, 5, 27, 23, 33, 31), 0.0942780310520986, False, 'time']
['kerriho', 202585047, 'impression', '6', 241390735L, datetime.datetime(2013, 5, 27, 23, 33, 32), 0.132253965517824, False, 'time']
['kerriho', 202585047, 'impression', '7', 241389077L, datetime.datetime(2013, 5, 27, 23, 33, 34), 0.305816025319393, False, 'time']
['kerriho', 202585047, 'impression', '7', 241389077L, datetime.datetime(2013, 5, 27, 23, 33, 37), 0.305816025319393, False, 'time']
['kerriho', 202585047, 'impression', '7', 241389077L, datetime.datetime(2013, 5, 27, 23, 33, 40), 0.305816025319393, False, 'time']
['kerriho', 202585047, 'expand_tile', '7', 241389077L, datetime.datetime(2013, 5, 27, 23, 33, 44), 0.305816025319393, False, 'time']
['kerriho', 202585047, 'impression', '19', 241378729L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.222282699668627, False, 'time']
['kerriho', 202585047, 'impression', '18', 241380775L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.129245974346929, False, 'time']
['kerriho', 202585047, 'impression', '8', 241389062L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.0476975786065185, False, 'time']
['kerriho', 202585047, 'impression', '16', 241381117L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.40424874166528, False, 'time']
['kerriho', 202585047, 'impression', '15', 241381692L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.231955611115261, False, 'time']
['kerriho', 202585047, 'impression', '7', 241389077L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.305816025319393, False, 'time']
['kerriho', 202585047, 'impression', '20', 241377953L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.352512722867672, False, 'time']
['kerriho', 202585047, 'impression', '11', 241384634L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.146633855485652, False, 'time']
['kerriho', 202585047, 'impression', '3', 241403616L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.193375329720501, True, 'time']
['kerriho', 202585047, 'impression', '10', 241384957L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.172077889067843, False, 'time']
['kerriho', 202585047, 'impression', '17', 241380952L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.297741283442129, False, 'time']
['kerriho', 202585047, 'impression', '12', 241383943L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.183197824881884, False, 'time']
['kerriho', 202585047, 'impression', '13', 241382429L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.501261466493085, False, 'time']
['kerriho', 202585047, 'impression', '14', 241381878L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.24907224605492, False, 'time']
['kerriho', 202585047, 'impression', '2', 241418883L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.0462500921787425, False, 'time']
['kerriho', 202585047, 'impression', '6', 241390735L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.132253965517824, False, 'time']
['kerriho', 202585047, 'impression', '9', 241388972L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.11106817493801, False, 'time']
['kerriho', 202585047, 'impression', '4', 241394903L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.201727937884566, False, 'time']
['kerriho', 202585047, 'impression', '5', 241392988L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.619306784148287, False, 'time']
['kerriho', 202585047, 'impression', '1', 241423740L, datetime.datetime(2013, 5, 27, 23, 39, 42), 0.133753994023391, False, 'time']
['kerriho', 202585047, 'impression', '1', 241423740L, datetime.datetime(2013, 5, 27, 23, 39, 52), 0.133753994023391, False, 'time']
['kerriho', 202585047, 'impression', '1', 241423740L, datetime.datetime(2013, 5, 27, 23, 39, 52), 0.133753994023391, False, 'time']
['kerriho', 202585047, 'impression', '9', 241388972L, datetime.datetime(2013, 5, 27, 23, 42, 26), 0.11106817493801, False, 'time']
['kerriho', 202585047, 'impression', '1', 241423740L, datetime.datetime(2013, 5, 27, 23, 42, 26), 0.133753994023391, False, 'time']
['kerriho', 202585047, 'impression', '5', 241392988L, datetime.datetime(2013, 5, 27, 23, 42, 26), 0.619306784148287, False, 'time']
