['bryantwaters', 202538759, 'impression', '11', 240403072L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.08098857212605, False, 'best']
['bryantwaters', 202538759, 'impression', '2', 240412747L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.162431112150969, False, 'best']
['bryantwaters', 202538759, 'impression', '3', 240453901L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.156664739242072, False, 'best']
['bryantwaters', 202538759, 'impression', '4', 240404752L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.140275850653684, False, 'best']
['bryantwaters', 202538759, 'impression', '5', 240469042L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.130620458025697, False, 'best']
['bryantwaters', 202538759, 'impression', '13', 240481922L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.0789073113198383, False, 'best']
['bryantwaters', 202538759, 'impression', '20', 240428422L, datetime.datetime(2013, 5, 16, 22, 27, 49), 0.0172566339756772, False, 'best']
['bryantwaters', 202538759, 'impression', '3', 240532523L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.103214794784724, False, 'time']
['bryantwaters', 202538759, 'impression', '5', 240497135L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.0715354358530602, False, 'time']
['bryantwaters', 202538759, 'impression', '7', 240481922L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.0789073113198383, False, 'time']
['bryantwaters', 202538759, 'impression', '16', 240428422L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.0172566339756772, False, 'time']
['bryantwaters', 202538759, 'impression', '14', 240437035L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.112336437193965, False, 'time']
['bryantwaters', 202538759, 'impression', '1', 240575313L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.0478309455934159, False, 'time']
['bryantwaters', 202538759, 'impression', '12', 240445144L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.0789465060064922, False, 'time']
['bryantwaters', 202538759, 'impression', '6', 240496490L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.11880752070808, False, 'time']
['bryantwaters', 202538759, 'impression', '19', 240425102L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.0847028549011691, False, 'time']
['bryantwaters', 202538759, 'impression', '8', 240469042L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.130620458025697, False, 'time']
['bryantwaters', 202538759, 'impression', '2', 240575099L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.281390939974742, False, 'time']
['bryantwaters', 202538759, 'impression', '17', 240426865L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.0752552186361563, False, 'time']
['bryantwaters', 202538759, 'impression', '10', 240456700L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.0990132246524844, False, 'time']
['bryantwaters', 202538759, 'impression', '4', 240517100L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.096534825688227, False, 'time']
['bryantwaters', 202538759, 'impression', '13', 240441561L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.0721712797309902, False, 'time']
['bryantwaters', 202538759, 'impression', '15', 240433422L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.0954261662772324, False, 'time']
['bryantwaters', 202538759, 'impression', '9', 240461625L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.0484073848129321, False, 'time']
['bryantwaters', 202538759, 'impression', '18', 240426721L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.0122155820219914, False, 'time']
['bryantwaters', 202538759, 'impression', '20', 240412747L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.162431112150969, False, 'time']
['bryantwaters', 202538759, 'impression', '11', 240453901L, datetime.datetime(2013, 5, 16, 22, 28, 13), 0.156664739242072, False, 'time']
['bryantwaters', 202538759, 'expand_tile', '1', 240575313L, datetime.datetime(2013, 5, 16, 22, 28, 45), 0.0478309455934159, False, 'time']
['bryantwaters', 202538759, 'expand_tile', '2', 240575099L, datetime.datetime(2013, 5, 16, 22, 29, 17), 0.281390939974742, False, 'time']

